,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.284095691276198,0,0.0855255510284333,-0.102589878619848,0.250688921825376,0.344402300995441,0.126110269002355,-0.235238168942921,0.0510283971951333,0.190215779496982,-0.301817862676173,0.0492308722065744,0,0,0,0,0
ETH,0.189515234704982,0,0,0,0,0.647975010789992,0.0535452127382139,0,0,0,0,0,0.189934430325579,0,0,0,0,0
XRP,0,0,0,0,0.388536146459997,0,0.032238671305548,0.0297677598296312,0.0269367816327104,0,0,-0.0902437256390878,0.0986721541039977,0,0,0,0,0
DASH,0,0.0349404226025905,-0.0273774844170754,0,0,0.0579457358060603,-0.0273556609867314,0.0692644456406498,0,0,0,0,0,0,0.491880398609498,0,0,0
LTC,0.117826063411367,0,-0.0618058351020268,0,0,0.132236562158936,0.103455667951934,-0.082887579621689,0.0370818910525841,0,0,0,0,0,0.00893855919979201,0,0,0
XMR,0.720028857131155,0.635282440303027,0.0631266531746257,0,0.138401948395808,0,-0.280857326438973,0,0.0835828194742254,-0.0391751002698591,0.187772859474565,0,0.0426956959306549,0,-0.401353735359571,0,0,-0.00910602185592962
ETC,0.362704505644979,0.285533182450752,-0.190678854965263,0.0593618124160521,0.409764473808721,0,0,0.107137313485392,0.173385181546457,0.0740480182341559,0.506331606558355,0,0.02193775188102,-0.498578251273698,0,0,0,0.392762625585692
XEM,0.672674101885248,0.204631419051499,0,0.134427499706167,0,0,0,0,0.235207868458059,-0.287626631941182,-0.000643549349608926,0,0.0184625916652488,0,0,0,0,-0.259620235050079
ZEC,0,0.00364659159663627,0.00677965171922609,0.335692619262767,0,0,0,-0.0217093385118581,0,0.291741531118171,0,0,-0.0703067872003437,0,0,0,0,0
DOGE,0.236230542969107,0,0.0192877999735616,0,0,0,0.0171436082494881,0.0140749334684828,0.25835717630555,0,0.246446143531509,-0.109575290648283,0.147035111043706,0,0,0,0,0.117025477565428
XLM,0.321702153365538,0,0.132376536727895,0,0.126954060755869,-0.00000000000000000693889390390723,0.254729305239257,0.00825582445382603,-0.0575428723597736,0,0,-0.220759038915022,0.0708137813875497,-0.225143471307337,0,0,0,-0.323510623324865
NEO,-0.141728053948329,-0.154301513617674,0,0,0,0.0907554988404864,0.00773911607809581,0,0.175332735053481,0,0.0490999215046658,0,0.0916562280661654,-0.495745006536064,0,0,0,0
DGB,0.140668701887396,0.18293345788653,-0.10105271361729,0.105275792707709,-0.0783628772757268,-0.204383450342219,0,0.0971534648641413,0.00774469865599251,0.258084382097084,0.121095020637775,0,0,-0.200240680065993,0.419903782298872,0,0,-0.24173039296473
BV010082.INDEX,0.0410916754137414,0.0132594521649105,0.0224445616269587,0.00680079482646569,0.013172296486092,-0.0482801846736139,-0.153803305348067,0,-0.0125319289676421,0.107667286772114,0.0218861689241332,0,0.113517811323942,0,0.0102002264008039,0.75530331838821,0,0
CVIX.INDEX,0.138415883209798,-0.0070651214663235,0.0043007001504083,-0.0372165389615858,0.000491720015078358,0,0,-0.083008249196322,0.10699209331683,0.0802410690222845,0.132468892020121,0,0.0564853563264239,0,0,0,0,0.346538204889882
DXY.INDEX,0,0.00725586964577305,0.00143139061308835,-0.00278346718267007,0.0101916982267046,-0.00517699306797056,0.019591950353613,-0.011612288252698,-0.0161054810649411,0,0,0,0,0.143437141574474,0.0189456296336081,0,0,0
SPX.INDEX,0.0207596829383388,0.00930940086577815,0,-0.0000000000000000000542101086242752,0,0,-0.00504780445680191,-0.00210215471403798,-0.00182841851985744,0,0.0162680241825263,0,-0.00893059343837938,0,0,0,0,-0.0435146995147024
VIX.INDEX,0,0,0,0.0156244747896187,0,-0.0780839402146405,-0.0804712547656793,-0.201129178962474,0,0,0.142632412363143,0,0,-0.314363011561706,0.296920905126553,0,0,0
