,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.165088048979698,0,0,0.525137610125368,-0.0529425257618518,-0.274363853356174,0.0921197916024883,0.0124954073091322,0,0,0.0768506088090158,0,-0.0285578634825774,-0.0394243328784612,0,0,0,0,-0.0334049814147318
ETH,0,0,0.0219755346796519,0.102889638355345,0.0538511351007086,0,0.0126613167624322,0.0772936633034522,0.113584437584598,0.159473083338415,0.000000000000000000216840434497101,0.0356717591451811,0,0.0543475762058559,-0.00500002397824979,0,0,0,0,0
BCH,0.202319788841856,0,0,-0.0868098244627856,0,0,0,0.246304936850762,0.165216535221138,0.362922704790448,0.0404737948326268,0,0.0000461197434326224,-0.251791938093689,0,0,0,0,0,-0.602221572276613
XRP,-0.0723474132416291,0.520916289900661,-0.0623028932425955,0,0,-0.0573357745608921,0.0867453074684038,0.0513640174963824,0.162964050252138,0,0,0.0343573995072863,0,-0.0391311540006424,0,0,0,0,0,0
LTC,0.274294623366555,0.00972918317596655,0,0.264288835135727,0,0,0,0,0.0989927539362214,0.137907091594261,0.151350757621793,0,0.0374410574670266,0,-0.00288356992709946,0,0,0,0,0
DASH,-0.162062802361314,0,0.117396319110652,0,0.223175404232958,0,0.0972063045578226,0.0821370248605545,0.181560527167655,-0.0716758252095203,-0.154536239123558,0.0190892341761778,0.0643995215802269,0.046230183813393,0,0,0,0,0,0
MIOTA,-0.0822470970161173,0,0,0.249345378255664,-0.188040737137363,0.0566411481294041,0,0.375928225148727,0,0.186827128311503,0,0.162622683922605,0,0.0794214526695579,0,0,0,0,0,0.0204405279533441
NEO,-0.0722943707147393,0.480585142282153,0.0444721720808938,-0.0604051524487589,0,0,0,0,0.0913681811235225,0,0.0230564652940271,-0.0547498480132002,0.22622621285686,0.0939525960390709,0.129856087105871,0,0,0,0,0
XMR,0.113171213178415,0.297452688236965,0,0.144028143534728,-0.0603068896137276,0,-0.0357568358544918,0.0811658276332302,0,0.0500527246646652,0,-0.0578485586111581,0.301246251385661,0.202260084080215,0.0210953802032934,0,0,0,0,0
XEM,0,0.0693074199105767,0,-0.00198904172086722,0,0,0.139041545396441,0.0981352537964671,0.00000000000000000693889390390723,0,0.0497662684893604,0,0.0797648724691865,0.169910452677434,0.098865544372135,0,0,0,0,-0.210609433737434
ETC,0,0.33612330290074,0.119836471600009,0,0.168480746602814,-0.294406653073278,0.0678159546024013,0.129702190425148,0,0,0,0.00354543802335096,0,0,0.0208343120386522,0,0,0,0,0
EOS,0.187039280507469,0,0,0.0339889885245872,0.151473046375953,0,0,0.01952484906111,0,0,0.166113187374948,0,0.513352293089007,0,0.0569554987996205,0,0,0,0,0.0772486674957351
ZEC,0,0,-0.032752547951548,-0.00824333014765377,0.0592916291365435,0.338298730725127,0,-0.103050480974594,0.157834046150689,0.185130591851377,0.0840792833515515,0.113007479091156,0,0,0.0450673274177679,0,0,0,0,0.105393113600789
ADA,0,0,-0.184337791937854,0,0,-0.0767808536082661,0.288327970246632,0.220571321073892,0,0.310734276893933,0,-0.328783311056927,0,0,-0.0220281436148019,0,0,0,0,0.334056516307379
XLM,0,0.556941329070867,-0.0368398593110171,0.196684196906041,0,-0.00630200298344864,0.404808947717537,0.27131223115849,-0.237041753150465,0.136200786772028,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00988761228453332,0,0,0.00545653973408204,0,0,0,0,0
CVIX.INDEX,0,0,0.033620719730247,0,-0.0631433919942791,-0.0253367451835911,0.00471691879249751,-0.0286329442717707,-0.0279679408776763,0.108579964427839,0,0,-0.0266347726414451,0.0495202955569733,0.0129891935594641,0,0,0,0,0.0781037533269615
DXY.INDEX,-0.0315612971150647,0,-0.00508323355759966,0,0.00917288450693067,-0.0151375698177777,-0.0128312173220973,0,0.0099936661141079,0.00600775202130057,0,0.00458585229470352,0,-0.00605855431634245,0.00248896280994735,0.0953379635266103,0,0,0,0
SPX.INDEX,-0.00602026201378492,0,-0.00294202122599191,0,0.00362330755854064,0.0104247843932006,0.00697521875847399,0,0.00477837980790409,0.00148759499334996,0.00336842854925467,0.00527011239702839,-0.0337138173283522,0.000545933756366366,0.00167523463516328,0,0,0,0,-0.0393243116914098
VIX.INDEX,0,0,0,0.1666723152897,0,0,0.0775045981470539,-0.00000000000000000346944695195361,0,0,-0.0322040746628125,0,0,0.0410834648740612,0,0,0,0,0,0
