,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.779982462653732,-0.0108053331331368,0.100070464317646,0,0,0.237196849260923,0.0268106629061146,0,0,0,0,0.0365929294670691
XRP,0,0,0,0,0.0304941850007233,0,0,0.0793160486257924,0,0.0671719784715782,0,0,0,0,0
ETH,0,0,0,0,-0.149521310559932,0.031931235089765,0,-0.0245863387038028,0,0.0729039143250147,0,0,0,0,0.104149962475823
LTC,0.728089885111291,0,0,0,0.0516392038354145,0,0,0.00797944076841187,0,-0.000000000000000000433680868994202,0,0,0,0,-0.052221043207669
DOGE,0,-0.0129897782554693,0.181903112746436,0.875799685403227,0,0.0199571060151808,0.397978153456625,0,0.133882493064691,-0.250635822101024,0,0,0,0,0.0771430007890335
DASH,0.354032137896492,0.264004489751076,-0.390699884420094,0,0,0,-0.305877695933417,-0.100924594195927,-0.350645341857136,0.0543627414607426,0,0,0,0,-0.0334333897928624
XLM,0,-0.0088415698317348,0,0.0000000000000000138777878078145,0.345122656500283,-0.133110070811458,0,0.131453115305329,-0.111203208632068,0.116591588985848,-0.668865923399993,0.538311397319273,0,0,-0.191221145741288
XEM,-0.0757687609079596,0.254170141887729,0.0284372430134779,0,0,-0.0578995187479746,0.163631120806586,0,0,0,1.95085136890854,-2.9615978162196,0,0,0.323235571370914
XMR,0.733341389175511,0,-0.145403991843014,0,0.02897347481496,-0.0950076585278867,0,-0.103908275537627,0,0.030818785023162,0,0,0,0,-0.0651019195787824
DGB,0.65284757676169,0,0.0834653262177422,0.645543450745957,-0.51206157665903,0,0.136023041960417,0.201052574826275,0,0,-0.68117680162363,0,0,0,0.161043453316609
BV010082.INDEX,0,-0.00306283201867222,0,0.011352236683874,0.0293211000896428,0.0101471855602656,0,0.0210782138889126,0,0.00000000000000000010842021724855,0,-0.177406996319522,0,0,-0.050401988756455
CVIX.INDEX,0,0,-0.0277367557375206,0,-0.0251859898320978,-0.0425534066110078,0.0436178070825952,-0.0098465880062096,0,-0.0121937357034159,0,0,0,0,0.140926951206346
DXY.INDEX,-0.0360672612373902,-0.0184139903523634,0,0,-0.00413742050918961,0.0282651825464368,0.0460351095378483,-0.0117604054880333,0.0321278820302582,-0.0221256499836485,0.0322224943044645,0,0,0,-0.015530706702845
SPX.INDEX,0,0.0251052473248849,0,0,0,-0.0258600859050029,0.00418362871772682,-0.000916724174324705,0,0.00188177213688045,0.0861937519259058,0,0,0,-0.114821955042879
VIX.INDEX,0,0.110957896317646,0,0,0,0,0.00683402598910225,-0.205558438474716,-0.392676699333707,0.0466555534641061,0,0.454305456768387,0,-2.69702764072606,0
