,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,BSV,DASH,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.130974584609501,0,0.0681288506844589,0.101255784503522,0.0367600487327541,0,0,0,0,0.0533821507338991,0.0504089488746524,0,0.00716244658948643,0,0,0,0,0,0
ETH,0,0,0.313095136088838,0.0119191259912835,0.240948568384978,0,0.0705991361763816,0.053333265529982,0,0,0.0494966615348643,0.0329593945566373,0.0231810768488313,0.00633684543691159,0.0359268337872849,0,0,0,0,0
XRP,0,0.20928719367418,0,0,0.101464880611747,0,0.0429129732743944,0.108585822079457,0.0218112959529186,0.0948475089832787,0.0545473665616139,0.000232512656573682,0,0.0497896620926935,0,0,0,0,0,0
BCH,0,0.0437465450308235,0,0,0.047957475276843,0.366151628315416,0,0.143065080728657,0.331762068213905,0,0,0,0,0.000268646052857929,0.00854666906971726,0,0,0,0,0
EOS,0,0.153084112713527,0,0.0881035112295262,0,0.4119548163639,0,0.0589539620067824,0.0690795111108767,0,0.247387676090267,-0.0350995818451942,0,0.107037378526337,0.0851069902352403,0,0,0,0,0
LTC,0,0.0340109735795996,0,0.173495463128309,0.243206225121864,0,0.123084940895917,0,0.106321499920044,0,0,0.234810175692344,0,0.058394080818799,0,0,0.0490076148065975,0,0,0.0301125720397201
BNB,0,0,0,-0.0530290859984242,0.00000000000000000173472347597681,0,0,0,0,0,0.162006181673676,-0.0849826743164964,0.371513220955293,-0.00189072403818189,0,0.0576913850449033,0,0,0,-0.194092222143742
XLM,0,0.150578760193715,0.345378986989083,0.0798816151840435,0.109930809860988,0,0,0,0,0,0,0,0.0405929295634093,0,0.033712688343098,0,0,0,0,0
ADA,0,0,0.257543170023327,0.243529113393647,0,0.237523872881416,0,0.0719843574703417,0,0,0,0,0,-0.00722729334470546,0.164369199930942,0,0,0,0,0
TRX,0,0.179994729677687,0,-0.000000000000000000216840434497101,0.160099831613018,0,0,0.250932571356452,0,0,0.134943528204259,0,0.204663527538301,0.0912702161013813,0,0,0,0,0,0.0283890639301622
XMR,0,0.405159644569028,0,-0.0949309190160685,0,0,0.0547969664148906,0.219409536338028,0,0,0,0.0428385563011171,0.254002410658251,0,0.118618389069029,0,-0.114785644953514,0,0,0
BSV,0,0,0,0,0,0.47062172165185,0,0.101756857188029,0.195374126380181,0.123255539943204,0,0,0,0,0,0,0,0,0,-0.0137946232665742
DASH,0,0.428484914365792,0,0,0,0,0.0663598869978423,0.123801492571174,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.618824659263513,-0.303500166062796,0.422748697129699,0,-0.00669464344158327,1.08928665917215,0.229911469893735,-0.0612918594912042,-0.701551679479975,-0.0954854749963754,0,0,0,0,-0.696941795557897,0,0,0
MIOTA,0,0.39192555699881,0.128787158387215,0,0,0,0.0324944508793877,0.0568285532501709,0.103234549702515,0,0,0,0,0.0105698687529873,0,0,0,0,0,0
BV010082.INDEX,0.202574359658209,-0.0949048548889119,0.00881386085257582,0,0,0.0988363395958849,0.0462896664172933,0,-0.212542192263366,0.112792013428966,0.134567474083595,0,0,-0.008239396843261,-0.155310264908832,0,0,0,0,-0.0604143008105749
CVIX.INDEX,0,0,0,0,0,0.131372015577575,0,0.18543355944377,0,0,0,-0.153827952618761,0,-0.217640899277324,0,0,0,0,0,-0.0680126075997405
DXY.INDEX,0,0.00948876862667281,0,0.00552683016732187,-0.00832463121652127,0,0,0.00956076564588693,0,0,0.0097282316616515,0.011451809092084,0.019806400833672,0.00323097942077817,-0.0726027044167436,0,0.0055853359555846,0,0,0
SPX.INDEX,0,0,0,0.0145243714968777,0,0,-0.00581889299533543,0,-0.0164845899388094,0,0.0414443123999284,0,-0.00896585066958339,0,-0.0188444585798858,0.00497815846186693,0.00757876200617493,0,0,-0.0866168974143866
VIX.INDEX,0,0,0,0.161866409837092,-0.417864445415043,0,-0.0624016801761232,-0.0672834210465151,-0.150479403236494,0.323111394860946,0.256124239264485,0.119425751021022,-0.060485349216309,0.0511700527122088,0,-0.671146350852147,0.207411905406438,0,-4.97568779110386,0
