,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.200445427404513,0,-0.0715672983428932,0.197645237955407,0.297974500540699,0.122917907541314,0.21480817575743,-0.219398293400814,0.0502644057460572,0.252976155415998,-0.188487772199061,0.0864732553525982,0,0,0,0,0
ETH,0,0,0.00723017327103879,-0.032641518577048,0,0.223085641171846,0,0.708741172531602,-0.211929733693081,0,0.117271096284813,0,0,0,0,0,0,0
XRP,0,0.0563116106272931,0,-0.0154865145719147,-0.173993866132282,0,0,0,0,0,0.842849907479746,0,-0.296160774984154,0,0,0,0,0
LTC,0,0,-0.014253094062634,0,0.105057301791121,0.0699320705288603,-0.0138574342683743,0,0,0.393598835384301,0.0504952994615731,0,0.125235632692836,0.745275436104497,0,0,0,0
DASH,-0.142246005025985,0.00000000000000000173472347597681,-0.0314684910602392,0,0,0.130958049584176,0.0880777936918116,0,0.0923056950648179,0,-0.148258004093,0,0.0598648777313015,0,0.482736486019589,0,0,-0.0735204400108094
ETC,0,0.386417299478672,-0.0528545606300987,0.188318421494037,-0.00221574947060895,0,0,0,0.222093597361151,0.00366137843812455,0,-0.11957720175094,0.0626210905482438,-0.580065750145129,0,0,0,0
XEM,0,0.185466453718503,0.0776002664592124,-0.0633130092562444,0.155610452857422,0,0,0,-0.103601334073093,-0.263577377529085,0,0.284158457897165,0.342392477556547,0,0,0,0,-0.508376174540853
XMR,0.342602860445119,0.338486820281417,0.0331471301398903,-0.12253620306972,-0.0131293690670074,-0.142596550769151,0.0259228794301771,0,0.214724743997704,-0.0858681459451986,-0.0310201213429399,0,0.0810318972834976,0,-0.0195254067021288,0,0,-0.119798226220353
ZEC,-0.104343554765347,0,0,-0.059317612792631,0.247894356239354,0,-0.0759468991111009,0.167567584261953,0,0.26799255582965,0,0.0538288384044722,-0.0472787100814258,0,0.146199031547577,0,0,0
DOGE,0,0.0657040390941292,0,0.281224796945075,0,-0.118020297702967,-0.0797283625494746,0.210927670393549,0.276947386546491,0,0.315636356052313,0.154190265440954,0.110883576708552,0.29803434250039,0,0,0,0.338393801332433
XLM,0.218645157786331,0,0.337625080021402,0.178364594991222,0,0.0323786963989636,0,0,0,0.301026764395413,0,0.0260564506307947,0.0316630235881721,0,0,0,0,-0.114237202877409
NEO,-0.0618585675435316,-0.131927969660238,-0.00888313549979605,0,0.268580712770515,-0.0437905656892801,0,-0.142815374338319,0.326537604893074,0.256623400307451,0,0,0.0860935637459711,0,0,0,0,0.0256890879381284
DGB,0.212655900713281,0.0647259730898125,-0.0316212442671074,0,0,0,0.0506704736870161,0,0,0,0,0.183390867186771,0,0,0,0,0,0
BV010082.INDEX,0.106879042988277,0.0107163191822286,0.00188227407586664,0,0.0211957889522029,-0.0708773655440806,0,-0.0677225134519319,-0.00849141151894316,0,0,-0.0337125879477297,0.0112542948593407,0,0.0367774581187536,0,0,-0.0923873396441886
CVIX.INDEX,0,0,0,0.0704229906955288,0,0,-0.129098741994215,0,0.0604836830251568,0.0564828821192883,0,0,0.0580549260143783,0,0,0,0,0.222953083190824
DXY.INDEX,0.0227471081627002,0.00570521714337936,-0.000628925319773055,0,-0.00500827016324847,0,-0.0067518974124078,0,0,0,0.00521465648522145,0,-0.00328549419395029,0.0860717149927148,0,0,0,0.0280106801330918
SPX.INDEX,0,0.0102169794996226,0,0.00400711539360857,-0.00290421209699543,0,0,0,-0.00349146019614143,0,0.00411521862426685,0,0,0,0,0,0,-0.0347699383457637
VIX.INDEX,0,0,0.0925676728575166,-0.127305565280343,0.0819938827381412,0,-0.220347896754486,-0.13377537094662,-0.25291564324836,0.0858084468413203,-0.208000308693093,0.0725861131678075,0.157292931764084,-0.767642224078794,0,0,-1.91555121192872,0
