,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,EOS,ZEC,NEO,XLM,DOGE,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0116660473709564,0.255976312140916,0,0,0.122334892512917,0.0130923598960556,0.0377686500486376,0.0405673306054529,0.0739405814659759,0,0,0.00284268319994037,0.0586723876192646,0,0,0,0,0.085933761327912
ETH,0,0,0,0,0.204218848205066,0,0.147613764736336,0,0.0384559756978962,0.0131023659679726,0.0709427405214288,0.00640557637588101,0,0.0758774429971384,0.0292635152973396,0,0,0,0,0
XRP,0,0,0,0,-0.213079105042784,-0.0244655359795725,0.469427688410695,0,0.0808212692754366,0.055624569952377,0,0,0.339772642152558,0.0545000465272716,0,0,0,0,0,0
LTC,0.163724386819457,-0.0702062304815983,-0.0463895743117603,0,0.0705759373700996,0.136061408116442,0,0,0.178287148512523,-0.00000000000000000346944695195361,-0.0397968519036091,0.110857486073386,0,0,0,0,0,0,0,0
ETC,0,0.300958290865016,-0.132750234616649,0.249005733524052,0,0,0.293396351899602,0,0.11609389129328,0.0183954993282429,0.0115366606155527,0,-0.0812341591606847,0,-0.0199157190576216,0,0,0,0,0
XEM,0,0,0.214072371780532,0.145969218039518,0,0,0.0901146617910202,-0.112061976491385,0,0.136653557776662,0,0.0229898423427963,0.116131412802708,0.320805412933538,-0.0642368442800014,0,0,0,0,0
DASH,0,0.136904000487164,0.066506109034914,0,0.163400507015361,0,0,0,0.314622070737238,0,0,0.085591445909875,0.0490834487070144,-0.0124141902829903,-0.0172387505353085,0,0,0,0,0.138881841102861
MIOTA,0,0,0,0,0,0,0,0,0,0.0525983729622105,0.259809154691823,0.113374509922689,0.215335552235267,0,0.0681962620632604,0,0,0,0,0
XMR,0,0,0.000000000000000000867361737988404,0.125399541208075,-0.0334023545263492,0.107180881473169,0.476922591536444,0.0295196297208069,0,0.0223099645052375,0,-0.104350194131312,0.158530760593051,0,0.0088321124067791,0,0,0,0,0
EOS,0,0.201741546704542,0,0,0,0,0,0.0554818706408309,0,0,0.165018392090365,0.115111629832139,0,0,0.0968914985769372,0,0,0,0,0
ZEC,0,0.192180410537171,0,0,0.00323982706909263,0.0263730089538285,0,0.0971310386458037,0,0.0199238416802296,0,0.0604297466254869,0.0998202872040372,0.177288008039252,0.0221222721202782,0,0,0,0,0
NEO,0,0,0,0.526343364814409,0.295878592536518,0.0547780918432982,0.10085126565042,0,0,0,0,0,0,0,0.127163075621179,0,0,0,0,0
XLM,0,0,0.454019357154962,0,0,0.0689856906498612,0,0.082682287176284,0.33986484237152,0.100741311258165,-0.16356323706593,0.105682881884341,0,0,0.0883251349376857,0,0,0,0,0
DOGE,0,0.196090033333103,0,0.263888490921963,0.0652433693482932,0.270648664507702,0,0,0,-0.0549537842610828,0.068051630371392,0.0149719509143123,0.0275049093826184,0,0.0494935086612013,0,0,0,0,0
DGB,0,0,0,0,-0.205824768666251,-0.155255985134725,0,0.129120711034224,0,0.208961526512109,-0.694544700799816,0.160801728092974,0.6717892766381,0.784644014829504,0,0,0,0,0,0
BV010082.INDEX,0,0.0383267296304295,0.0414702003638463,0,-0.0401813334943046,-0.0383506208618466,0,0.00117175673583999,0,-0.0105065072658447,0,0.00256856798848854,0,0.0186649082305859,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0.0335051109130718,-0.0423814376729563,0,0,0.0189021223320264,0,0.0114199521950453,-0.0359934745087589,0.0552165488448514,-0.0306550071552697,0,0,0,0,0
DXY.INDEX,0,0.0125198018644703,0,0.0033889388504111,0,0,0.015243915209252,0,0,0.00194289995739829,0.000150177665256246,-0.00426164783013246,-0.00654602540610045,-0.01389730547008,-0.00391150173547354,0,0,0,0,-0.0132503200238209
SPX.INDEX,0,0.00300931681512287,0,0.0011285132487647,0,0,0.00798213943801598,-0.0030704125453083,0,0.000323561146327631,0.00391475387351652,-0.00207244598292695,0.00202624603141624,-0.0122961920645609,-0.000588726909473835,0.0233346958893051,0,0,0,-0.0580161319077143
VIX.INDEX,0,0.0336063116623607,0.162366488657123,-0.0806948683224531,0.337352977704836,0.327981702595244,0.198533671659119,-0.0365015738273794,-0.0505391753105106,0.0426180455591273,-0.0593856965975889,-0.18905876503294,-0.262703359338363,-0.153177864414327,-0.103078420608954,0,0,0,0,0
