,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0942899708620847,0.100784025971272,0.0210793064814975,0,0.0321724032504809,0.163769910186506,0.0774894984043253,0,0.0774134530552957,0,0,0,0,0,0,0
ETH,0,0,0.137845278406101,0,0,0.13607107449211,0.0555515633034471,0.00000000000000000173472347597681,0.120608652312927,0.147931965743636,0,0,0.180333170433784,0,0.116829707440774,0,0,0,0,0.0570317692508144
XRP,0,0.334612361052091,0,0.018602478772145,-0.0553837515075302,0,0.0262933260249171,0.0700762553409192,0,-0.00000000000000000173472347597681,0.0237383284284221,-0.0327791687397672,0.142784943422726,0.178006088787224,0.0868296819825632,0,0,0,0,0
BCH,0,0,0,0,0,0,0.434893753477542,0,-0.0263563588282693,0.411227500661972,-0.0996075646498501,0.396921830384033,0.0431379055728753,-0.552296848719892,0,0,0,0,0,-0.151370297270004
LTC,0,0,0.0187358733860384,0,0,0,0,0,0,0.771078408258979,0.0209843122087772,0,0,0,0,0,0,0,0,0
DASH,0.178190136972251,0.0514869791978781,0.0267356364861619,0.0723805317753319,0,0,0.077306484237223,0,0.0591284083593394,0.0466787091104758,0,0.150564963096121,0.102449855982518,0,0.102121400106398,0,0,0,0,0
XEM,0.0779582052604824,0,0.0878839999766589,0.0580356518102744,0,0.42629303157405,0,-0.116718493817133,0.0181006662778941,0.04258198043516,0.129305863593804,-0.0872714424372549,0,0.426101967830965,0,0,0,0,0,0.149490363065989
XMR,0,0,0.199228278115211,0.0803900938352766,0.0136994484057341,0.136935784053515,0.0827330961196644,0,0.101121968844188,0,0.0537653810825334,0.144608466335549,0,0.163837502869716,0,0,0,0,0,-0.0923897564421743
MIOTA,0.337952746791975,0.175121959640542,-0.110478888428916,-0.062793023294087,0,0.313458221229826,0.112823098090388,0.20848780055258,0,0.0352507356072077,0,0.00000000000000000693889390390723,0.218598401131594,0,0,0,0,0,0,0
ETC,0,0.306240872778631,0,0.00353265204844115,0.493742782867468,0,0,0.116312487498011,0.0655937583879771,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.191836078369139,0,0.279419784322567,0.0939100483518513,0.097619228782036,0,0,0.0030783626980366,0.348099656432969,0,0,0,0,0,0,-0.257466091839409
ZEC,0,0.0763535861791749,0,0.00567525192250737,0,0.101913726388415,0,0.0154069484866836,0.18265447947999,0.0266656888432375,0.00000000000000000173472347597681,0,0.0641482976093486,0.141816946420963,0.016073824809511,0,0,0,0,0
EOS,0.0611306803295017,0,0,0.0589325817660172,0.350918610403619,0,0,0.187781625820616,0.214387078778218,-0.0000000000000000277555756156289,0.150944691973539,0.0378992959797521,0,0.12237003547575,0.0970177942764133,0,0,0,0,0
XLM,0,0.165249925972818,0.168747204946857,0.00775504277870129,0,0,0.118117273798618,0.250757117305799,0,0.0727034092379103,-0.0256642957151602,0,0,0,0.186261013386054,0,0,0,0,0
BAT,0,0,0,0,0,0,0.0930374338177026,0,0.0313923316427866,0,0.175237307126177,0.254982777661951,0.0821085990667752,0.331737227283213,0,0,0,0,0,-0.0824863799819641
BV010082.INDEX,0,0,0,-0.00203407111207062,0,0,0,0,0,0,0,0.0466896130385885,0,0,0,0,0,0,0,-0.0852769285108823
CVIX.INDEX,0.0322513533166146,0,0.0159952469012557,0,0.0726139301470914,0.0204232962093739,0,0.0374589794947797,0.0634920843824282,0,0.0106091540067927,-0.130175863482791,-0.107223228215163,0,0.00703955408380306,0,0,0,0,0.0538910089013645
DXY.INDEX,0,0,0,0.0000364552056511263,0.00550587588087049,-0.00405271616051089,-0.000413519682265848,0,0.00563180988486483,0,0.00613376183325694,0,0,-0.00576734062867913,0,0,0,0,0,0
SPX.INDEX,0,0.00362977948883459,0,0,0,-0.00499863088950555,0,-0.00438412026226888,0,0,0.00126282453876309,0,0,-0.00140650995857872,0.000990869606395257,0,0,0,0,-0.042644663872758
VIX.INDEX,0,0.295317295467467,-0.0668291109934378,0,0,-0.178662231139353,0.0977904469869299,0,0.0380335650757201,-0.0390289177251857,-0.0347135737811142,0,-0.285235179493716,0,0.167411770163375,0,0.654596206628099,0,0,0
