,BTC,XRP,ETH,XLM,EOS,BCH,LTC,BSV,TRX,ADA,XMR,BNB,MIOTA,XEM,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.114013014358041,0.0497447582930304,0,0,0.00549170945598383,0.0596901879920299,0,0.376127787698786,0.114525860185757,0,0,0,0,0,0,0,0
XRP,0,0,0.00722007985557453,0.121545866527247,0,0.0849464243518933,0.0173739123095566,-0.0322331776089812,0,0.129189506422231,0,0,0,0.103238183851618,0,0,0,0,0,0
ETH,0,0.124113595532286,0,0.0688447912225739,0,0.0996151930848452,0,0,0,0.0230514833494427,0.400720778797053,0.109533048521736,0,0,0.109268068848129,0,0,0,0,0
XLM,0,0.0741664133904032,0,0,0,0.205805684830311,0,-0.0199510339789093,0,0,0.323714051182284,0.0709169943661203,0.0524107863389569,0,0,0,0,0,0,0
EOS,0,0.175724555528148,0,0.381843484998295,0,0.125295505089703,0.259770125122848,0.012049846824302,-0.478038261838158,0,-0.00000000000000000693889390390723,0.0324669458882197,0,0,0.376202094597814,0,0,0,0,0.0272043741132225
BCH,0,0.0105206074756521,0.0486564566029969,0.592092622710781,0.10067851305344,0,0,0,0,0.205754454007089,-0.00000000000000000693889390390723,0.0746770932018034,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.229933274207441,0.0932211131487282,0,0.0143706055946465,0,0,0.218394522539799,0.0166851878495107,0.202946990446356,0,0,0,0,0,0,0
BSV,2.04974207858417,-1.34846988588732,0,-1.69501084614153,0.177159780459054,0.853331573925603,-0.868255601615116,0,0.969333298882103,0,-0.512051720079237,0.352310505454688,0.28265135383231,-0.27945853908965,0.665163903214189,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0.0120200037910653,0,0.176631912364858,0.275974475783966,0.124975562429553,0.228424683140042,0,0,0,0,0,0,0
ADA,0,0,0,0,0.138929970563908,0.185865466736198,0,-0.000333953460030922,0.131904271698819,0,0.357018496263369,0,0,0,0,0,0,0,0,0
XMR,0.236989423439106,0,0.537743287238523,-0.00000000000000000010842021724855,0,0,0,-0.00736057238347994,0.114179619222611,0,0,0.00895662338246648,0,0,0.16911389925991,0,0,0,0,-0.0302669593662808
BNB,0,0,0.375904446820573,0,0.320916891060085,0.0150143498474961,0,0,0.104113728289555,0,0.112733676992823,0,0,0,0.0829132894714327,0,0,0,0,0
MIOTA,0,0,0,0.2657985091556,0,0.123157406075816,0,0.0587212245788533,0.148241451009015,0,0.0127497607914303,0,0,0.243367513081465,0,0,0,0,0,0
XEM,0,0,0,0.301983763464083,0,0.133173345852011,0,0,0,0,0.0398262702702633,-0.00000000000000000173472347597681,0.0997029027176758,0,0.126247326482385,0,0,0,0,0
DASH,0,0,0.11454978257142,0,0.238872986330165,0.041070199952518,0,0.00330044512993361,0,0.442577356868003,0,0.12107241073465,0,0.183967774087989,0,0,0,0,0,0.0274373477829569
BV010082.INDEX,0,0,0,0,0,-0.0570958585829803,0,0.00439684667514619,-0.0294034477574987,0,0,0.0616630637733497,0,0.0628031507006828,0,0,0,0,0,-0.0782739059510611
CVIX.INDEX,0,-0.0924922735236209,0,0.0732072606956036,0,0.03216224296976,-0.082250944532544,0.0292774965176225,0,0,-0.11069712172452,-0.048954672919866,0.110046109139334,0.0807644840144951,0,0,0,0,0,0.0958555153045967
DXY.INDEX,0,0,0,-0.0179536182800004,0.00983111678730732,0,0,0.00660283795583254,-0.00440315718943333,0,0.00797823024031469,0,0,0.00477778205944952,0,0.0591549260583778,0,0,0,0.0104418753389361
SPX.INDEX,0,-0.0034423705249063,0,0,-0.0617243238623464,0,0,0.00771832715353717,0,0,0,0,0.0121368760631301,-0.00000000000000000010842021724855,0.0283589340964024,0.0197819192847441,0.00802071370842524,0,0,-0.129385315365608
VIX.INDEX,0,0.0956382402880831,0,-0.0449713762284374,0,0,0,0,-0.0104760247329273,0,-0.238450938597001,0.120870189203841,0,0.213459356942937,0,0,1.2026437644473,0,-5.62986570550488,0
