,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,XMR,TRX,DASH,ETC,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.153840745098585,-0.0270145530540438,0,0,0,0.189950311448214,0,0,0.2114697222012,0.0504150572775539,0,0,0,0,0,0,0,0,0.0676029361818766
ETH,0.131987150055942,0,0,0.236561304752186,0.0593970980064512,-0.0639492714422822,0,0,0.000000000000000000433680868994202,0,0.0289806464059889,-0.00388373677136579,0.24243363427524,0.139400954663948,0.169749036003232,0,0,0,0,0
XRP,0,0,0,0.0356525870715907,0.189672403641967,0.0080548009557737,0,0,0.247169812843792,0,0,0,0.208486683428162,0.0373758819164151,0,0,0,0,0,0
BCH,0.0843828842198786,0,0,0,0.25164177868089,0,0.280284942897536,0.157152305228852,0,0.0633987724237097,0.0157681248773574,0.0304223722286714,0,0,0,0,0,0,0,0
EOS,0,0,0,0.286039060698248,0,0.0549094181980344,0,0,0,0.0524611007775874,0.398146107590981,0,0,0.211193250808798,0.0945556862235346,0,0,0,0,0
XLM,0,0,0,0,0.105970433395276,0,0,0.321354424474623,0.0628013308919788,0.210559902221009,0,0,0,0.121796476775292,0,0,0,0,0,0
LTC,0.0238272975028464,0,0,0.487826412603904,0.0607640557855305,0,0,0,0.162844545650046,0.031523228418265,0,0,0.0502574030884757,0,0,0,0,0,0,0
ADA,0,0,0,0.320966231275022,0,0.304641323245435,0,0,0.123030932597981,0,0.12168301920951,0.0345663030234441,0,0,0.0321837772583699,0,0,0,0,0
MIOTA,0,0,0.0113920676770841,0,0,0,0.188237841411203,0,0,0,0.352490630323336,0,0,0.583586541724395,0,0,0,0,0,0
XMR,0.264151195555413,0,0,0.321477376833567,0,0.020232992177485,0,0.143949879555803,0.0389809799266167,0,0,0,0.114076752047796,0.087954787011524,0,0,0,0,0,0
TRX,0,0.186655758406237,0,0.0555469577382798,0.0900010240081377,0,0,0.128090297181939,-0.00000000000000000693889390390723,0,0,0.0982113188983434,0,0.234183275423409,0.165876190407356,0,0,0,0,0
DASH,0,0.152021739898623,-0.0148152512088106,0,0,0,0,0.226403441606272,0,0,0.379373460676749,0,0.00795325694549849,0,0.104393415061905,0,0,0,0,0
ETC,0,0.297974999728715,0,0,0,0.158562935278298,0,0,0.31485415322954,0,0,-0.119420794995023,0,0,0,0,0,0,0,0.00982320237509275
NEO,0,0.177415536868508,0,0.0271610643796672,0.0215364175273471,0,0,0.115419366850205,0.246712204061693,0,0.218649059079498,0.0781748531197473,0,0,0.125362620392668,0,0,0,0,0
BNB,0,0.404979754896847,0,0,0,-0.0720694604076998,0,0.0109353214666499,0.225720748560642,0,0,0.172138790516424,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0417145830766915,0,0,-0.000000000000000000216840434497101,-0.151135551902351,0.0750213739327491,0,0.0604514066698708,0,0.0095221048136541,0.0319458233779226,-0.0143301959914361,0,0,-0.0633537993739202,0,0,-0.0368419879585159
CVIX.INDEX,-0.112859039667269,0,0,0,0,0,0,-0.0189747022206434,0,0,0,0,0.118705657547269,0.0254782000318021,0.211762671314717,0,0,0.154206399716641,0,0.145958946252452
DXY.INDEX,0,-0.0518610000945187,0,-0.0189601348440118,0,0,0,0,-0.0105571676653359,0.0362003222151177,0,0,0.0286451786999988,0.00773451192074267,0,0,0.117301722243879,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00795383707211204,-0.00156596417570315,0,0.0284057064256394,0,0,-0.0698801709948482
VIX.INDEX,0.966322691418913,0,-0.0213433660069326,0,0,-0.207611807927269,0,0.191516477799107,0,-0.338343577715319,0.0226814162571214,-0.30711058867753,-0.138966228520166,0,0,0,0.348667181345964,0,-1.35998794614551,0
