,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,ATOM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0589380021166081,0.0229772865374432,0.125448020827364,0,0.065829888679572,0,0.0164552119806285,0,0,0,0.0474008225728052,0,0.202713022181848,0,0,0,0,0
ETH,0,0,0,0.0877262913053096,0.33506173638251,0.117118326521458,0.211726590994048,0,0,0.0178105724778291,0,0,0.0597810430536653,0,0,0,0,0,0,0
XRP,0,0,0,0.338713652265981,0,0,0,0.0928654769014247,0,0,0,0.232849889373276,0,0,0,0,0,0,0,0
BCH,0,0,0.198712367023547,0,0,0,0.302130141049264,0.135566595696788,-0.0152000288041861,0,0.243908691537995,0,0.0776551001716332,0,0,0,0,0,0,0
LTC,0,0.220242588532347,0.0486938010747149,0.00000000000000000693889390390723,0,0.528123584731961,0,0,0,0,0.0367421436490245,0.00198664602211408,0.0629995693389823,0,0,0,0,0,0,0
EOS,0,0.0853966102829676,0,0,0.761456700009145,0,0,0,0.0195489098739233,0.0779720984695541,0.0128283519224398,0.0326135606305472,0.0238043033860467,0,0,0,0,0,0,0
BNB,0,0,0.105106537822521,0.287356662361925,0.069173050453419,0.255725345385589,0,0,0,0,0.0643193680820429,0,0.0190072314002419,0,0,0,0,0,0,-0.0369234255140934
BSV,0,0,0,0.440114803171781,0,0.194591054276197,0,0,0,0.227699256056707,0,0.107945477833604,-0.000000000000000000867361737988404,-0.114810107396924,0,0.00121858463807407,0.280630509181856,0,0,-0.0824047733658831
XTZ,0,0,0.680710799190747,0,-0.315748848741574,-0.166114468142146,0.478882561098221,0,0,-0.0000000000000000138777878078145,-0.408398633862412,0.332524608136725,-0.05098220561629,0.135315823672966,0,0.195239643096298,0,0,0,-0.0577945925875556
XLM,0,0,0.245221287826795,0,0,0,0,0,-0.0244650360597491,0,0.218521680780429,0,0.214682606768513,0.061795918255678,0,0,0.0914627305113344,0,0,0
TRX,0,0,0,0.327328458113691,0,0,0,0,-0.0498824252361747,0.194611871023326,0,0.404511897561245,0.0102615516523343,0,0.158380790374533,0.0165154205622294,0,0,0,-0.0658151211626399
ADA,0,0.163374942160608,0.0583702962588404,0,0,0.0794920594203615,0,0,0.0141371778971456,0.171990746651214,0.190886117396459,0,0.149704613376511,0,0,0,0,0,0,0
ATOM,0,0,0,0,0.0236524421152376,0.491304868837651,0,0.133924720831706,0.103837159454041,0.149916156319335,0,0.0924756555195205,0,0,0,0,0,0,0,0
LEO,0.380145384750692,0,0,-0.0862853722146779,0.383450432815972,-0.296573661413319,0,-0.142897129314615,0.0527088293196982,0.124526169057185,0,0.117886796633846,-0.106254484197348,0,-0.150101809296251,0,0,0,0,0
XMR,0,0,0,0.156486867470867,0.166279555492819,0,0.305163747244879,0,0.101781259920963,0,0,0,0.0161559717565862,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.119190454402778,0.235162404938337,0,0,-0.152769936835559,-0.0603529287297118,0.12142181958146,0,0.136897174856291,0,-0.234291748665854,0,-0.148784509162217,0,0,0,0,-0.156265436032579
CVIX.INDEX,0.378566329149928,0,-0.259492554642842,0,0.501615229528872,-0.429053855609993,0,0.200300510249468,-0.0000094286260350275,0,-0.287375117532026,-0.210583058969125,0.0206780282262849,0,0.187325339595006,0,0,0,0,0.0741492311474278
DXY.INDEX,0,0,0,-0.00685783323234145,-0.013842774628323,0,-0.0117200397250316,0.0000000000000000000067762635780344,-0.00542473116335573,0.0415704366938734,0,0,-0.0120326599542721,-0.0392236791727453,0.0115841690222234,0.0419559413852502,-0.0101818967453377,0,0,-0.00813356733561012
SPX.INDEX,0,0.00827475844748702,0,0,0,0.0215320594083511,0,0,-0.00888618517401507,0.00516349749261356,0,0,-0.0112603664909929,0,0,0.078263072570983,0,0,0,-0.0388683317084084
VIX.INDEX,0,0,-0.447959051795791,0,0,0,0,0,0,0.461680550378513,0,0,-0.184435319699387,-0.639728839998577,0,0,0.442455461913821,0,-3.3529107946344,0
