,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.237439072653431,-0.0813359308648975,0,-0.229673912972399,0.028621017458884,0.134030217625541,-0.0425468397232068,-0.0235336857018912,0,0.0191408266661865,0.149283101235868,0,0.00852825621177686,0,0,0,0,0,-0.21482061896182
ETH,-0.122290932988685,0,-0.0301614283794925,0.00114777249053742,0.192571921342603,0,0,0,0.0247227679310687,0.145997800139537,0.0463690143256463,0.0775853474660162,0.134140818838227,-0.0380302112582215,0.0181877847079081,0,0,0,0,0.117742982961435
BCH,0,0,0,0.0796775231671281,0,0,0,0,0,0,0.10148856720824,0,0.251132664824188,0.0366736276931684,0,0,0,0,0,0
XRP,0,0.326882661386377,0.123492316221231,0,0,0.0646073868301793,0,-0.0472250387020159,0.140498755770837,0.198409745746801,-0.0576549122605034,0.176824494344488,0,-0.0964111218486386,0.093007381305137,0,0,0,0,0
LTC,0,0.117133029215648,-0.123240467949262,-0.0696376476365696,0,0,0.0165033199372542,0,0,0,-0.0000000000000000000542101086242752,0,0,0,0.26212234900687,0,0,0,0,0
ADA,-0.206387100074049,0,-0.228460469310444,0.442631103356643,0.00000000000000000346944695195361,0,0.110123614526806,0,0.0557961988377798,0,0,-0.254767823783944,0.205430170476733,0,0.364609295726022,0,0,0,0,0
MIOTA,0,-0.169718268869251,0,-0.249944226712207,0.0759520507777657,-0.0909454470996984,0,0,0.100728862456086,0.496928936031583,-0.130851662765369,-0.0138413927947505,0,0.194752671785441,0.24441733786665,0,0,0,0,0.294627199492984
DASH,-0.104903698528919,0,0.0418767797543997,0,0.142965817221851,0.012295855997202,0.00577963197212607,0,0.0257053953264076,0.142068638903818,-0.00000000000000000346944695195361,-0.0641360411586386,0.0993329596338388,-0.0565267874286938,0,0,0,0,0,0
XEM,-0.0924060544878865,0,0,0,0,0.159658943217764,0,0.133350643469133,0,0,0,0.0825646884960764,0.154974706407125,0.100685610731444,0.0347824413979864,0,0,0,0,0
XMR,0.0863402854373408,0.042467097810196,-0.107732226434657,0.0594254767516722,0,0.0938370953378652,0.101180394793369,0,-0.0244105961035036,0,0.0290017594717063,0,0.230154145890566,0,0.189412096655241,0,0,0,0,0
BTG,0.361845289474451,0,0.978827129705412,0,0.666737479040717,0,0,-0.382029730684091,0,0,0,-0.691044919843708,0.00176367614452954,0,0.303096054958917,0,0,0,0,-0.190208043674804
EOS,0,0.394310684697099,0,0.249487666816679,0.0615723826189813,-0.0352214064715715,-0.0992408103335622,0,0.0832438641006998,0,-0.0584558280074077,0,0,0.100436485337701,0,0,0,0,0,0
NEO,0,0.34200962622775,0,0,0.164282119963535,0,-0.0787297754104066,0,0.0251961876527848,0,-0.0735231456978407,0.0661995937561693,0,0,0.0968561293793511,0,0,0,0,0
XLM,0,0,0,0.0719636329101818,0,0.224941497434853,0.37624030228665,0,0,0.373643888795157,-0.0889625620309035,0.293507905189437,0,0,0.100678512868586,0,0,0,0,-0.245721778452557
ETC,0,0,0.0660229235709066,0,0.205063047256706,0.228912172265686,0.0885217706439533,-0.283079241971296,0.0573172677000161,0,0.0511334556646787,0.0100985030916111,0.00575823405171805,0,0,0,0,0,0,0
BV010082.INDEX,-0.0282456620455852,0,-0.0528311606523701,-0.0131466113443508,0.012309377290052,-0.0154840342050709,0,0,0.00677515319140946,0,0.0000000000000000000542101086242752,0.011838596701809,0.0167133655402804,0.0203756863253708,0,0,0,0,0,-0.0153852682893359
CVIX.INDEX,0,0.000186882415894389,0,0.00000000000000000010842021724855,-0.00747036753900685,0.000919976043580886,0,0.0458533967587442,0.032434139871543,0,0,-0.0187561977925875,0,0.0197333033379789,0,0,0,0,0,0.108288448315533
DXY.INDEX,-0.0110838703654498,0,0,-0.0117711769986951,-0.00306553379697726,0,0,-0.00800076600921307,0.00488140602860846,0,-0.00325097572725477,-0.000355534528097044,-0.00110680150926154,0.00970928818309189,0.0061810308026201,0,-0.0615707299922128,0,0,-0.00542598520314477
SPX.INDEX,-0.00895175824764305,0.00987667041456399,0.000144199270323697,0,0,0.00250607703737393,0,0,0.000976878113264377,0,0.00090422717010102,0,0.0014038396602091,0,0,0,0,0,0,-0.0251843448873142
VIX.INDEX,-0.00115344338848298,0,-0.105470253190864,0.197818452305569,-0.118702854456141,-0.0703283014836066,0.144807480905679,0.0724157671809548,-0.0747724326056704,-0.238284193179696,0,0.117971741451586,-0.0473448754757413,-0.0354705423240582,0.0960732504096114,-0.773770738204665,0.55798560769152,0,0,0
