,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0798537147813411,0.0727287530025755,0,0.0719919632592736,0.280749491884963,-0.138641924019583,0.0967713119179625,0,0,0.204434520519327,-0.0253117944566938,0,0,0,0,0,0,0
ETH,0,0,0,0,0.185351682305559,0,0.0586065669715318,0.422655875627854,0.0196416010758556,0,0.0452391315964941,0,0,0,0.209104750671481,0,0,0,0,0
XRP,0,0,0,0,0.107623033719767,0.00000000000000000693889390390723,0.0933080293200018,0.242014899199809,0,0.213604941696684,0,0,0,0,0.179940944394551,0,0,0,0,0
BCH,0,0.215902564495256,0.0416243525043745,0,0.231909765569653,0,0.0323335976721702,0.19247771335158,0,0,0,0.119416719530292,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.349068820236706,0.0582971721921785,0.031970771078396,0.104758025029403,0.293900311849347,0,0.15065075140954,0,0,0,0,0,0
XLM,0,0,0.107646531280422,0,0.189169183616366,0,0,0,0.1502606926328,0.204495288954563,0,0.00784491203398968,0,0,0,0,0,0,0,0.0374466858083292
LTC,0,0.312525303431454,0,0.109070150530639,0,0,0,0,0.0173924470108949,0.230888757675735,0,0,0,0,0,0,0,0,0,0
ADA,0,0.188529871565402,0.0698143291234847,0.135946464408385,0,0,0,0,0.029148190548604,0,0.137613154209003,0.134877517153665,0.0767797425429232,0,0.0845189852945884,0,0,0,0,0
XMR,0,0.183115190158794,0,0.133707190755509,0.202240444109589,0.00213286765041982,0,0,0,0.054835985683448,0.114216645214759,0.0760393321191818,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.000347009689380853,0,0,0,0,0,0,0.720807930702621,0,0.353867600872777,0,0,0,0,0,-0.00923273107441797
DASH,0,0.361470153085442,0,0,0,0,0,0.142390456825344,0,0,0,0,0,0.309290310082847,0,0,0,0,0,0
TRX,0,0.199820246266756,0,0.0344035176590686,0.0000000000000000000542101086242752,0,0,0.372749791484143,0,0,0,0,0.150284499405304,0.316497629189387,0,0,0,0,0,0
BNB,0,0,0.0172668243149197,0,0,0,0,0.268857968758275,0,0.100206880132484,0.249596736132241,0,0,0.0635811675046778,0,0,0,0,0,0
NEO,0,0.0212270958508314,0.104467986649238,0.198118448558463,0,0,0.142528642567394,0.0117274574915418,0.0693275884609901,0.217278028812115,0.0815852384187394,0,0.379769690293343,0,0,0,0,0,0,0
ETC,0,0.21707730385073,0,0,0.335573860528091,0.0765664818988057,0,0,0,0.21735928110073,-0.151759471546031,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0.0521908367798776
BV010082.INDEX,0,0,0,0,0,-0.0530443335725115,-0.100300816812489,0,-0.0327493079324368,0,0,0.0806722783971276,0.101187075984722,0,-0.0168605928643715,0,0,0,0,-0.0685317185084271
CVIX.INDEX,0,0,0.0543219693589511,0,0,0,-0.34210385970742,0.0924889946427884,-0.180449833943307,0.0273321716003142,-0.0406417394187401,0,0.48769851741673,0,0,0,0,0,0,0.118554683724943
DXY.INDEX,0,0,-0.0124924829712503,0.0133975136608607,0,0.00153637533750989,0.00142187379593547,0.0115832487922843,0,0,0.0108936309560675,-0.0427873218670435,0,0.00650443069813326,0.0115569702439559,0,0.0726352351292648,0,0,-0.00985250182017374
SPX.INDEX,0,0,-0.00580214984535625,-0.00340119109369942,0.00939666380475629,0,0,0,0.0061862811561707,-0.00477178831543346,-0.00571002776496016,0.000000000000000000216840434497101,0,0,0,0,0,0,0,-0.044591337563233
VIX.INDEX,0,0,-0.22393819728789,0.197837039077571,0.0747795631361995,-0.136785871178774,0,0.33526904061341,0.0639766240249605,0.090165264945142,-0.21261000388402,0,0.255189938215799,-0.324662356991045,-0.195993328479983,-0.0526361268529668,0.36060902049679,0,-6.943664212058,0
