,BTC,XRP,ETH,BCH,ADA,TRX,XEM,LTC,XLM,MIOTA,DASH,EOS,NEO,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0828557490927492,0,-0.127309654248668,-0.012560263421482,-0.0754008324172499,-0.0179428389787136,0,0.107674818516736,0,0.0711786946964701,0.165695197488444,0.0814586713787533,0.173894896129093,0,0,0,0,0,0
XRP,0,0,0.513862116727481,0.152429414801225,0.0683339398169011,0.0156539978305791,0,0,0,0,-0.11033735175601,0.0716649726573545,0,0.164842418690559,-0.0230008842942563,0,0,0,0,0
ETH,0,-0.0161640941202368,0,0,0,0.0266562486948212,0.0297835992749979,0.161668621932368,0,0.0167126025438285,0,0.0854128882692251,0.100216551869984,0.0940290238067534,0.0687975206682718,0,0,0,0,0
BCH,0,-0.112360205332548,0,0,0,0.0236424024721256,0.0604693070066066,0,0.0127966966332312,0,0.170304097241775,0,0.149018036741188,0.190688742055614,0.178961544308764,0,0,0,0,0
ADA,0,0.154245492964714,0.270437457532181,0,0,0.047580884576298,0.131623848417533,0,0.226417878432231,0,0,0,0.0970670158860972,0,0.0358895327961989,0,0,0,0,0
TRX,0.192996903453189,0,0.0671686280053071,-0.0239429390686789,0.115668293412855,0,0,0.173159055748145,-0.195926662638035,0,-0.0475924084855009,0.0549480038832398,-0.0879347604067012,0.411348306181925,0.0399182012005134,0,0,0,0,0
XEM,0,0.143397368990764,0,0,0.0923517930311898,0,0,0,0.194163818949999,0.0433145362798414,0.20815659832762,0.0952810284324109,0.0522365416751577,0,0.0494783293118674,0,0,0,0,0
LTC,0.172197862642376,0,0.316769691728439,0,0,0,0,0,-0.0291066100755544,0.150602105278858,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0833957063262113,0,-0.0530540733801909,0.381083309535331,-0.0695048608743434,0,0.163447841316135,0,0,-0.0980224672953085,0.0926069596161192,0.101888208660147,0.137737513933639,0,0,0,0,0,0
MIOTA,0.411739097754345,-0.109920449971164,0,-0.0396001874537335,-0.0608133590369859,-0.0912426526975789,0,0.0165918378968607,0.239773742250523,0,0,0.208621078566251,0.089167711591656,0.373631309801965,0,0,0,0,0,0
DASH,0,0,0,0.109447953469681,0,0,0,0.282027604432413,-0.00978877095301376,0.0349253447777798,0,0,0.110810273533849,0.14932405707601,0.033801940099815,0,0,0,0,0
EOS,0,-0.0127542271570542,0,0,-0.0527547312193613,0.155169720423277,0.0827343594888234,0.314460450523205,0.283283787055608,0,0,0,0,0,0.221587843369234,0,0,0,0,0
NEO,0,0.00857587218252944,0.493193927066087,0,0.00943671435040745,0.0366311599191312,0,0.121899636424795,0.105040883221133,-0.0388841561597347,0.0779554456177723,0,0,0,0,0,0,0,0,0
XMR,0.221219977852775,0,0,0.0690177741797557,0,0.10560019577621,0,0.0893082350359142,0.131748666084047,0.136102411915443,0,0,0.198077555427132,0,0,0,0,0,0,0
BTG,0,0,0,0.806548818591059,0,0.0736301642036673,0,0.324831493713722,0,0.0963738902537963,-0.49875612443235,0,0.0403815993353034,0,0,0,0,0,0,0.110124347822615
BV010082.INDEX,0,-0.012759966760007,0,-0.0402961413785821,-0.00866245623684162,0,0.0100796120852904,0.0110383572508303,0.00714182194707734,0.01085461908441,0,0,0,0.0157437892355045,0,0,0,0,0,0
CVIX.INDEX,0,0.0330923092617634,0,-0.0185877924690835,-0.00519816541431789,-0.0230997981985803,0.0210334163456006,-0.0151881960558281,0.0144711870647735,0,0.0145634062094233,0.0242163700935124,-0.0436822097939216,0,-0.0163469008308238,0,0,0,0,0.0059270002956951
DXY.INDEX,0.00198336289570411,0,0,-0.00767555801492086,-0.00240104766833295,0.00591415294246685,0,0.000722495257617873,-0.00515853702373231,0.00815528431902233,0,0,-0.00450873066843855,0.015509293192867,-0.00139879439483427,0,0,0,0,0
SPX.INDEX,0,0.000829813012898054,0.0114567031134687,0.00112197669706644,0.0036324176903692,0,0.00157592076769209,0,-0.00364687526867808,0,0,0,0,0,0,0,0,0,0,-0.0277373237911944
VIX.INDEX,0.186482625202839,0.0698182049729452,0,-0.0526362989493303,0.0207356190165742,-0.0861875053879031,-0.0569731279000525,0.0430471773235835,-0.128766152292893,0.0608200496586659,-0.0570293240666737,0.238432928425437,-0.106944650890241,0,0,-0.633096751952713,0.705672870091348,0,0,0
