,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,TRX,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.123414603028031,0,0.0882097595997773,0.120202411644959,0,0.0591250574085435,0,0,0,0,0,0.0606830843225023,0,0,0,0,0
ETH,0,0,0.152272597957044,0.133413313872702,0,0.101284292841452,0,0,0.112620613552358,0,0.00304042395940358,0.0343235566041743,0.290125600683061,0,0.0960931180692756,0,0,0,0,0
XRP,0,0.158196287979575,0,0.069212259605115,0.0133796437403277,0.23472584594809,0,0,0.0736415500598683,0,0,0.0207025585443534,0.148394410705106,0,0,0,0,0,0,0
BCH,0,0.0217985088047893,0,0,0.233209603285132,0.253331161559187,0,0.0682691263317921,0,0,0,0.259194058325091,0.0407033285320561,0,0.09785221180095,0,0,0,0,0
BSV,0,0.486922787116301,0,0.811999908883081,0,0,0.588814603185793,0,0.150969150711693,0,0,-1.24014372270384,0,0,-0.311799811217174,0,0.12768368352758,0,0,-0.0305253395630216
LTC,0,0.239054169211112,0,0.0726290209847412,0.0539358979003138,0,0.244902559551316,0,0,0,0.227765476104848,0,0.0278131342292797,0,0,0,0,0,0,0
EOS,0,0,0.331208800310227,0.110793281565691,0.123412314341708,0.0769040498288697,0,0.191465327795984,-0.118267502328311,0,0.032029861490564,0,0.236848199299882,0.00515228296715856,0,-0.123997542640082,0,0,0,0
BNB,0,0.0996399523754269,0,0.328133295262314,-0.0180768246656248,0,0.00000000000000000693889390390723,0,0.144550031389959,0,0,0,0,0,0.249809472843011,0,0,0,0,0
XTZ,0,0.202566693222751,0,0,0,0,0,0.117251345118876,0,0.34509901815461,-0.257946490840331,0,0.342033211997077,0,0.0290145061440616,-0.22302659591908,0,0,0,-0.0680539499759259
LINK,0,0,0,0,0.0228234644462144,0.106752715058794,0,0.194774764356768,0.17902233766713,0,0,0,0.271001208986162,0,0,-0.0506395112555953,0,0,0,-0.0640314419857499
ADA,0,0,0,0,-0.0107286268541183,0.252545398611646,0.132038014177085,0,0.00000000000000000173472347597681,0.0580800503506625,0,0,0.299193017686237,0,0.143180882857211,0,0,0,0,0
XLM,0,0.0559226129473661,0,0.141964966986998,0,0.0774201201402741,0.00439888997803319,0,0,0,0,0,0.197315662387499,0,0,0,0,0,0,0
TRX,0,0,0.227294973608054,0.0427157879335251,0,0.209291735567064,0.197480631605413,0,0.0288309756026662,0,0.241168392668302,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,-0.0406944422498703,-0.140943582865483,0,0.228535464605509,-0.0632259495613493,0.0130813301592609,0.284506076699568,0,0,0,0,-0.0915964759542407,0,0,0,-0.0391034247799041
XMR,0,0,0,0,-0.00645427229763099,0,0.171138830567835,0.0973965954384988,0.00525665047661143,0.0390670805506934,0.38371024176974,0.210567536960067,0,0,0,0,0,0,0,0.0511480299436984
BV010082.INDEX,0,0.187150668084421,0.138172531531426,0,0.0708220115875249,0.00000000000000000173472347597681,-0.212450732113055,-0.756007528449896,0,0,0,0,0.121003712097087,0,0.387833749452689,0,-0.0974112861598153,0,0,-0.130343555597893
CVIX.INDEX,0,-0.0665555692496389,0,0,0.0452146912329861,0,0,0,-0.0694775061932291,-0.063278964281846,0.412827040010737,0,-0.422262731944096,0,0,0.129686342095243,0,0,0,0.00745527774005833
DXY.INDEX,0,-0.0133521794758478,0,0,0.00182353589311891,0,0,0,-0.00323274965404765,-0.01444430957721,0,0,0.0168011179923541,0,0,0.0455779094573808,-0.02759728193204,0,0,-0.00152557218964097
SPX.INDEX,0,0,0,0,0,0.0126609159093546,0,0,0,0,0.034082319081563,0,0,0,0,0.0737822099700244,-0.00601578616059538,0,0,-0.114429373481459
VIX.INDEX,0,0,-0.4035461768125,-0.436420605115861,0.0217533883104232,0,0.480672334919016,0.0389890429060922,0.0669632985938327,0,0,-0.0636936107066068,0.142931064598441,0,0.0446875878152073,-0.0314733162629445,0,0,-3.59572226483277,0
