,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00649280398546968,0.228934267453103,0,0,0,0,0,0.283082002196182,0,0,0,0.102581093115652,0,0.0759825832789669,0,0,0,0,0
XRP,0,0,0,0,0.0603664641083483,0.545392805769559,0,0,0,0,0,0.465738053404141,-0.277420032964488,0.116545115836791,0,0,0,0,0,0
ETH,0,0.00571535669738646,0,0.0486958565273709,0.07757073140197,0.281362306677499,0,0,0,0.0581118960919773,0.368596801284317,0.191437056687267,0.0682010143348311,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.39902337251747,0,0,0,0.366952928803683,0.509425127808459,-0.00111160127703236,0,0,0,0,0,0.0243333688148683
XLM,0,0.166657364874392,0.0555753379594449,0.130503813527142,0,0,0,0.204941137816263,0,0.143463356988561,0,0,0,0,0,0,0,0,0,-0.0244607512736399
EOS,0.0774710730102686,0,0.212676311642706,0.0534735015843476,0.0964128516447668,0,0.136792910555135,0,0,0.0859142178404138,0.172358399841677,0,0,0.0572124920155711,0,0,0,0,0,-0.03031015458021
LTC,0,0,0,0.16530349969206,0.0922196594443937,0,0,0.0251790333612738,0,0.0768324176675971,0.21659208360634,0.152755181126614,0,0,0.0988800640068022,0,0,0,0,0
ADA,0,0,0.124190840048499,0.0693536013407377,0.193083413437388,0.0508992268607248,0,0,0.0172133051315953,0.185167514402302,0.0690758883394251,0.152885488531487,0.0257038169190794,0,0.0757336942476927,0,0,0,0,-0.000000000000000000433680868994202
XMR,0,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0.28397101854232,0.164241487419342,0.20095069385299,0,0.267877255428734,0,0,0,0,0
TRX,0,0,0.337798643827856,0,0,0,0,0.400200945549766,0,0,0,0,0.0867872142953489,0.0439836066664043,0.0798895325097648,0,0,0,0,-0.0456351301289403
DASH,0,0,0.387502313697357,0,0,0,0,0.198934795984339,0.0917693436246869,0,0,0,0.0660650770081782,0,0,0,0,0,0,0
MIOTA,0,0.0215918423731793,0.0810666962399809,0.0344449349144736,0,0,0,0.204402800969063,0.395842805024584,0.148479472364947,0,0,0.0341932052300234,0,0.204081453110982,0,0,0,0,-0.000708933154634098
BNB,0.782047239304711,0,0,0.0541916841509327,0,0,0,0,0,0.000000000000000000867361737988404,0.056261268674819,0.0506393551804492,0,0,0.198880545639964,0,0,0,0,0
XEM,0,0,0,0.0983395930262655,0.139005295694533,0,0,0,0,0.156098503289933,0.177595825045397,0.137984875852793,0,0,0,0,0,0,0,0.00908804655865801
ETC,0,0,0.513819508998299,0,0,0,0,0.0682442664759562,0.112081617334306,0.0000000000000000138777878078145,0.157182457006619,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0170426330107301,0,-0.0535402499207427,-0.139397435789769,0,0,0.0757085146858629,0,0,0,0,0.12035011572527,0.0113089382101707,0.0645981779524592,0,-0.0142869694109512,0,0.922167751203588,0.0475909514782793
CVIX.INDEX,0,0.00984085145631957,0.245735125796351,-0.122505310109592,-0.0992522459017262,0.11776061421513,-0.38003519891972,0,0,0.0223612640296831,0,0.257553152691745,0.0711101410385016,-0.0169461412089834,0,0,0,0,0,0.0600430975186085
DXY.INDEX,0,0,0,0,-0.0118077050004429,0,-0.0399561575638763,0,0,-0.0270350752179892,0,0.0218548508286782,0.0100501566347926,0,0.0400507798565887,0.0328858177739501,0.0121468816371126,0,0,0.00496071238493802
SPX.INDEX,0,-0.0382009599429834,0,0,0,0,0,0,0,0,0,0,0,0.0345123123994536,0,0.0421828980140305,0.0371358369099814,0,0,-0.121125113573334
VIX.INDEX,0,-0.135988113685258,-0.190409097857193,0.150620438018803,0,0,0,0,0,-0.0681571864028685,-0.241937962728123,0.174214477984538,0,0.264759394003408,0,0.159075233063851,1.33583777076248,0,-6.00002630025805,0
