,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,BSV,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.17077252610282,0,0.0729925237744875,0.0602906560228966,0.0594980059597031,0,0.0656078179685656,0.016563238339663,0,0,0.0338905442794898,0,0,-0.000000000000000000216840434497101,0,0,0,0,0
ETH,0,0,0.171387140484528,0,0.279860114187963,0,0,-0.00000000000000000173472347597681,0,0.0634979473969341,0.108551878764915,0.0245993924795272,0.0282688506693583,0.023849945392149,0,0,0,0,0,0
XRP,0,0.205295597530429,0,0,0.120233668299636,0,0.0499479076753205,0.108450750539239,0,0.101968533558537,0.0277897684336103,0.00586000185273651,0,0,0.0494746983117286,0,0,0,0,0
BCH,0,0.152875913552966,0,0,0.139348334927752,0.219583891183783,0,0.100217014148058,0.280233026019997,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.351260933409829,0,0.120412528472644,0,0.268761991414304,0.0139863417834665,0,0.0843529560259278,0,0.353148342396483,-0.13681714451932,0,0.0611188991569938,0.038316113685343,0,0,0,0,0
LTC,0,0,0,0.209043942857335,0.226556780619523,0,0.122090240221996,0,0.131509126188498,0,0,0.222659160725437,0,0,0.0326848498497898,0,0.0409404228334253,0,0,0
BNB,0,0,0,-0.170906898479225,0.00000000000000000346944695195361,0.330822127097126,0,0,0,0,0.270315044307126,-0.0826885531878229,0.174132336378675,0,0.0071202188171505,0,0,0,0,-0.164257806658733
XLM,0,0.254256207041258,0,0.0816909385867526,0.0346311102157027,0,0.0224077378526393,0,0,0,0.0624696172596634,0.0921257531999267,0.0735165673755857,0.0867641601588866,0,0,0,0,0,0
ADA,0,0,0.180107400713059,0.241080121147821,0,0.228645624842221,0,0,0,0,0,0.0209181082546472,0,0.171877018074103,0.0430807490356164,0,0,0,0,0
TRX,0,0.0670604396879865,0,0,0.111722140707894,0.052390907912476,0,0.262742745016845,0,0,0.273256300897439,0.0812015051548724,0,0,0.087758864064852,0,0,0,0,0.0613355093211682
XMR,0,0.206415271661435,0.183427118914111,-0.0483271133423544,0.005955034926118,-0.0679220665319341,0.0281242603077706,0.162355020046034,0.00556410532304738,0.181075835424405,0,0,0.231103747118656,0,0.00747267984335906,0,0,0,0,0
BSV,0,0,0,0,0,0.452094635977664,0,0.170040252267041,0.19498636780252,0.0785387267193809,0,0,0,0,0,0,0,0,0,0
DASH,0,0.225294567763641,0,0.0174935694757792,0,0.111832550807926,0,0.089854071019244,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.293693441444706,0.224978931365502,-0.00285937070093638,0,0,0.0129361267856245,0,0.11461460279413,0,0.0750543720046238,0,0.0427298044259337,0,0.0296466597235655,0,0,0,0,0
XTZ,0,0,0.724927800391715,-0.215854363369435,0.138383431840073,0,-0.102405155400053,0.375753311472326,0.386677189695279,0,-0.285376472048821,-0.181451237052854,0,0,0,0.226979836243418,-0.749924270718624,0,0,-0.0546520975614162
BV010082.INDEX,0,0,0,0,0,0.0397375415551483,0.0578088859185105,0,0,0,0,0,0,0,-0.0483567006876365,0,0,0,0,-0.127564599341058
CVIX.INDEX,0,0,0,0,0,0,0,0.132516559348769,0,0,0,-0.0355798116696478,0,0,-0.244154923519273,-0.356704821629573,0,0,0,-0.0424301016079054
DXY.INDEX,0,0,0,0.00418016018178695,0,0,0,0.0158407192216468,0,0,0,0.0122770592677677,0.025403210001617,-0.0676112944749182,0.00256802095362661,0,0,0,0,0
SPX.INDEX,0,0,0,0.0142020962277665,0,0,0.000000000000000000216840434497101,0,-0.0184107912671154,0,0.0254450933901134,0,0,0,0.00659772915235522,0,0,0,0,-0.0818420452228869
VIX.INDEX,0,0,0,0.0291877524893743,-0.486173736428403,0.197271675904173,0.0349710507708011,0,0.147254466787437,0.398818458918878,0,0,-0.266850825904656,0,0,-0.845015481354012,0,0,-3.00176413764306,0
