,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.019276895601783,0,0.0954293409752047,0.0384370616483497,0,0,0.236426816794908,0.169074631960338,0,0,0.0539552776362399,0,0,0,0,0,0,0
INNBCL,0,0,10.1222434319194,9.8123678622642,0,-3.36838383569793,5.70533637748381,-14.4780917050247,-7.43745873159196,1.12180723917724,3.30031001183667,12.0373670772751,0,0,-13.4124528481438,0,0.400616462349606,0,9.02371827520457,0
ETH,0,-0.000337998662972583,0,0,0.339849272968876,0.0645447892329334,0,0.0597276829308193,0.0138643584664772,0.288803621405405,0,0,0.00587127067398869,0,0.177456346840564,0,0,0,0,0
XRP,0,-0.00249980804782331,0.119249037382436,0,0.0829994912972629,0,0.239516201557648,0,0.119057437357568,0,0,0.058877393097368,0,0.161780214000554,0,0,0,0,0,0.0277264376530579
BCH,0,0,0.347297342011548,0,0,0.286044014512026,0,0.115979392672447,0.0859358568371331,0.099519903196907,0.0133868844489757,0,0,0,0,0,0,0,0,0
BSV,0,-0.00873986061344772,0.02681446451835,0,0.343566282351102,0,0,0.235801079744554,0,0,0,0,0,0,0.425923798154047,0,0.112295931685397,0,0,-0.0645446300248694
LTC,0,0.00314317622698218,0,0,0,0.131532620943134,0,0.45692361443474,0,0.0553053975222647,0,0,0,0.188849028429276,0,0,0.0153598166850942,0,0,0
EOS,0,0,0.196326119923546,0,0.450667768028392,0.0939625071102735,0.0620784193666016,0,0.0792816487181291,0,0,0,0,0,0,0,0,0,0,0
BNB,0,-0.00652384985306211,0.341256041500274,0,0.344748182973079,0.0611456723037909,0,0,0,0.0876904210250026,0,0,0.038804616535263,0,0,0,0,0,0,0
XTZ,0,-0.00202965072092033,0.270896474927126,0,0,0.107125702097478,0,0,0.332108446533394,0,0.00889784230491881,0,0.329946849066127,0,0,0,0,0,0,0.00273961276451897
TAGZ5,0,-0.00246002017664037,0,0,0.510558174345473,0,0,0,0,0.136109707031967,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.16206195130117,0,0.213278199699186,0.0279653974912987,0.0778813147873772,0.0180341286899904,0.168299374552946,0,0,0,0,0.0642411072897261,0,0,0,0,0,0
LINK,0,-0.00160966613464749,0,0,0.0459468710835017,0.199492239305981,0,0,0.147062766055962,0.606226109613307,0,0,0,0,0,0,0,0,0,0
ADA,0,-0.00271925024494673,0.176745856052367,0,0.0141666303042881,0,0.521978927840306,0,0.156116656031852,0.102500573966529,0,0,0.00877475576790354,0,0,0,0,0,0,0
XMR,0,0,0.273064892870464,0,0,0.146461666400083,0,0,0.251852161944725,0.109510774269733,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00746692806224725,0.137854568656684,0,0,0.38609481288831,0,-1.04451442184881,-0.581377457432991,-0.974255345262646,0.204077021574146,1.0363871380947,0.471786703225498,0.248112047693054,0.31531252441896,0,0.064769915798131,0,0.290052261564267,0
CVIX.INDEX,0,-0.003481142495787,0,-0.544200418466647,0,0,0.29502084773998,0,-0.19000900552601,0.398507709438062,-0.174343858180758,0,0,0,0,0.323192779649786,0,0,-0.49945121997302,0.332252160224386
DXY.INDEX,0.0520132573535572,0.000232951205802924,0,-0.115991524226988,0,0,0,0,0.0362037841965875,0.0375796486619057,-0.00397849694985683,0.0208386260115311,-0.0373568447630171,0,0,0.018073134147494,-0.0131876440823053,0,-0.0201963757181237,-0.0122606464695934
SPX.INDEX,0,0.00767214880595916,0,0,0,-0.110462303202882,0,0,0,0,0,0,0.104445629867566,0,-0.0191969973955698,0.2565751316362,0,0,0,-0.254061685405472
VIX.INDEX,0,0.0289625405340162,0,0,0,0,0,0,-0.396658865096832,0,0.0484575590997852,0.354131368699327,-0.0835440281861041,0,0,0,0,0,-1.90805816322281,0
