,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,TAGZ5,XTZ,LINK,LEO,XLM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00172506088357278,0.0323898647140469,0,0,0.0250455512677226,0,0.194836319750075,0.0398580581624205,0,0.15231785725053,0.0765982183532267,0,0,0,0,0,0,0,0
INNBCL,0,0,15.9032468671982,0,0,0,0,-1.65438821735738,0,-0.451729892623551,0,0,0,0,-18.3864664730701,0,0.0730574994910064,0,3.25975731603982,-0.883141727170396
ETH,0,0,0,0,0.525945197076564,0.0323997548439535,0,0.0592084409284945,0,0,0.174491158595721,0.0758738011848592,0,0,0.0711986479875689,0,0,0,0,0
XRP,0,0,0.146358293051098,0,0.0269023629427662,-0.00000000000000000346944695195361,0.132239794007318,0.122535362244788,0.0764967093758393,0,0.084914610727637,0.0185232462974185,0,0.147206585688024,0,0,0,0,0,0
BCH,0,0.00137503630450956,0.407315517427037,0,0,0.281588652970149,0,0,0.187768240043872,0,0,0.0776965522581709,0,0,0,0,0,0,0,0
BSV,0,-0.00617916851343014,0,0,0.335692493891086,0,0,0.337106543102628,0.354276656101074,0,0,0,0,0,0,0,0.0464654015985708,0,0,0
LTC,0,0.00318288930561527,0.0872110043111119,0.144956952401756,0.145950318950932,0.0741453356413501,0,0.333996995577676,0,0,0,0.0361701566448243,0,0.0163398886807335,0.0746549980877513,0,0.0110672695373008,0,0,0
EOS,0,0,0,0,0.505909327393716,0.146902930609259,0.177123991648632,0,0,0.0106264892649564,0,-0.00201098787175759,0,0,0.0681254968547634,0,0,0,0,0
BNB,0,-0.00932659072857494,0.393158169130658,0,0.211535965278613,0,0,0,0,0,0.0378903469064472,0.0918329909016837,0,0,0,0,0,0,0,0
TAGZ5,0,-0.00284555103413452,0,0,0.512160469868117,0,0,0,0,0,0,0,0,0.278318228403751,0,0,0,0,0,0.0976864947181514
XTZ,0,-0.000441339592746454,0.109884238450866,0,0,0.246530968968836,0,0,0.107575596873764,0,0,0.484496864298989,0,0,0,0,0,0,0,0
LINK,0.0166330856536188,0,0.000227003893456255,0,0.074104198905134,0.180149526062092,0,0,0,0,0.664807717060545,0,0,0,0,0,0,0,0,0
LEO,0,-0.00137691422599763,0,0.00000000000000000173472347597681,-0.201528777710374,0.153748225378063,-0.0702351643281818,0,0.19626668183232,-0.0138558154106652,0.0989621661411759,-0.0208864166658483,0,0,-0.181115609369008,-0.0261261796136455,-0.0165886349962164,0,0,-0.0463354283755492
XLM,0,-0.00184078856758177,0.081563227291199,0,0.295603969244064,0.000000000000000000433680868994202,0,0.12812658218703,0,0,0.0453021491928312,0,0,0,0.170132127471212,0,0,0,0,0
XMR,0.140337461351349,0,0.13655543510773,0.0362125722311299,0.00430978376393344,0,0,0.347895691029499,0.0948506079674995,0,0.132949657415737,0.00811983384807507,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00870691108931169,0.629387071739124,0,0,0,0,0,-1.08388502605541,0.278925176800429,-0.290254101230357,0.374323074090675,0,0,0,0,0,0,0.563609749272303,-0.0228708639812634
CVIX.INDEX,0,0,0,0,0,0,0,0,0,-0.472073738702852,0.171212716699424,0,0,0,0,0.228620504902048,0,0,-0.207267297490493,0.370254799979147
DXY.INDEX,0.00970617057972519,0.000376836567278429,0.00217478150787529,-0.116322950237732,0,0,0.0308949195773304,0,0.0245482238660882,0.0172150886706606,0.0376288644436929,-0.0316434835940943,0,0,0,0.00589299916926212,-0.0161897670453561,0,-0.0580001747475065,-0.021692117730979
SPX.INDEX,0,0.0059495872680269,0,0,0,-0.118930245197002,0,0,0,0.000763771961497005,0,0.0999072901053334,0,0,-0.000888708309604483,0.296190690174355,0,0,0,-0.23273337537791
VIX.INDEX,-0.214715442711307,0.0207394802833261,0,0,0,0,0,-0.61520527431577,0,0.286462407176842,0.764183287533247,-0.0911328067832907,0,0,-0.361388472521311,0,-0.0968331462041789,0,-1.97692069252807,0
