,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,XTZ,ETC,XMR,TRX,XLM,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.162376785656342,0,0,0.158932043607829,0,0.0132492904197883,0.0166903629142053,0,0,0.0925499834766043,0,0,0,0.0192602151605733,0,0,0.00589994829375179
ETH,0,0,0.162786448044704,0,0,0.306932394047008,0.0561949089784045,0.146227217468138,0.0986603145989418,0.0274246275944343,0,0,0,0,0.0162279071269838,0,0,0,0,0
XRP,0,0.341889826423263,0,0.0941012424444998,0.0111578149606499,0.0821783242976361,0,0,0,0,0,0,0.0767673315207097,0,0.0226808917453497,0,0,0,0,0.0097193016802015
BCH,0,0,0,0,0.245759884951684,0.186465102752593,0,0,0.0000000000000000000542101086242752,0,0,0.215426051638578,0,0.0813885121231468,0.0624473527312477,0,0,0,0,0
BSV,0,0,1.05765388487633,1.4334802150568,0,0,0.539013905617535,0,0,0,-0.198644261824798,-0.79085153636931,0,-1.81856472351135,0.00000000000000000693889390390723,0,0,0,0,-0.0514279887539416
LTC,0,0,0.0593244474750617,0.113167545050296,0.0184868602629547,0,0.437454923842931,0,0.0231293697722954,0,0.0209411499942833,0,0.127616267135961,0,0.0410843276089986,0,0,0,0,0
EOS,0,0.481841182940161,0,0,0.0635344439317915,0.120932748790702,0,0.0617910536368878,0.0923081990571212,0.0308538078896497,0.0551565858414771,0,0.0504605736212062,0,0.00852267383411501,0,0,0,0,0
BNB,0,0,0.376283634914342,0.111814290150765,0,0,0,0,0.0366237697787443,0,0,0,0,0,0.127924063167239,0,0,0,0,0
ADA,0,0.320129489928773,0.00000000000000000693889390390723,0,-0.00331090899351572,0,0.168447984132102,0,0,0,0,0,0.31113600865827,0,0,0,0,0,0,0
XTZ,0,0,0,0,-0.0690822903116607,0,0.51940839500922,0,0,0,0,0,0,0.226955851147314,0.0654486519803245,0,0,0,0,0
ETC,-0.00487721327373933,0,-0.282254523295784,0.173288784132154,0.0408371097934573,0,0,0,0,0.00120256666378295,0,0.465226344032473,0,0,0.424469400512309,0,0,0,0,0.0965894238027685
XMR,0,0.139664754057056,0,0.11122081937489,-0.0987139082887388,0,0,0.389711704155086,0.054502526078031,0.0657403922274704,0,0,0,0,0.131260502947576,0,0,0,0,0
TRX,0,0.257211151531671,0.242387844251792,0,-0.001752434517547,0.194738018903797,0,0,0.250312613122925,0,0.0139977477667433,0,0,0,0.0859387158965009,0,0,0,0,0
XLM,0.390539886043131,0,0.300352219499869,0.169953942842821,-0.091339747751838,-0.0522320513690371,0,0.0475285930097887,0,0.0259795695543725,0,-0.0491163369951368,0.0736824851246376,0,0.0772195892288923,0,0,0,0,-0.0355500265409021
DASH,0,0,0,0,0.197547609343003,0,0.460826157140664,0.467845283312694,-0.171901154600113,0,0.103594536853587,0,-0.186319660719621,-0.0907057650167472,0,0,0.331743860614239,0,0,0.130288135441856
BV010082.INDEX,0,0,0,0,0.0242884260549546,-0.318829681152602,0,0,0,0,0,-0.0477647411666813,0.25345699626616,0.0859433610687753,0,0,-0.00696621545744339,0,0,-0.103029506071694
CVIX.INDEX,0.289058801710698,0,-0.107895496073841,0.117671781516584,-0.0267827463189664,-0.0938235215969239,0,0,0,0,-0.103938781663078,0.149102410998827,0,0,0.0121276736142517,0.999482459527061,0,0,0,0.136103247519544
DXY.INDEX,0.0112856703913528,0,0,0,-0.00129023959990747,0,0,0,-0.0242587791516002,-0.0122426682561713,0.0228956821745503,0.0206564436750452,0,0,-0.00616641913833476,0.0399786806610742,0,0,0,-0.00458108952696798
SPX.INDEX,0,0,0,0.00160988482595703,0.00536330087046896,0,0,0.0274554677636644,-0.0035130116347344,-0.00751139240700458,0,0,0,0,0,0.0390286792137584,0.0065641060704096,0,0,-0.0616049988472262
VIX.INDEX,0,0,0,-0.0334362638152437,0,0,0,0.341755950352339,0,0.00375169470058347,0.296698472952353,-0.384399897890316,0.0568929136154651,-0.384254439632967,0,0,0.632809676069784,0,-7.80786607668581,0
