,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0856439208543535,0,0.392592342885383,-0.0117790495763029,0.00470858431081436,0,0.100503801024959,0.179134410529898,0,0.000397876077266099,0,0,0,0,0
ETH,0.166869905757107,0,0.177663613939926,0,-0.242104552212386,0.308359885316229,0.0871570756431665,0.0582772649326595,0.0547904314445799,0,0.232231136856821,0,-0.645086618371031,0,0,0
XRP,0,0.0418891452481725,0,0,0.00593844965117176,0,0.0439770223407676,0.0162930430888804,0.00936061849457385,0.0410225969408117,0.0805422814221035,-0.244716081936148,0.0861755639262469,0,0,-0.0982849151735727
LTC,0.393559253654681,0,0,0,-0.000049853046506735,0,0.0412893020635366,0,0,0,0,0,0,0,0,0
ETC,0,-0.676992664477729,0,0,0,0.418143363706869,0,0.062036920733875,-0.915007044528705,0.128791722250164,0,0,0,0,0,-0.468274002743743
DASH,0,0.233580425977393,0,-0.221550130632584,0.0186557371216745,0,0,0.0237558364281485,-0.00711251490456316,0.134003950918324,-0.0435963852599029,-0.300364632754457,0.0101349942203031,0,0,-0.0833522399027557
XMR,0.788839675224868,0.0118093566435691,0,0,-0.0295771898388547,0,0,-0.0171647494382614,0,0,0.0976042352765244,0,0,0,0,0
XEM,1.2405485454349,0.100158335739636,0,0,0.0706749282097136,0.370241879100875,0,0,0,0.614319955107103,0.105581427992818,0,0,0,0,0.217180962552309
DOGE,0.447924306711117,0,0.384685420029744,0.190338300514099,0,0.0575034318513905,0.000000000000000000867361737988404,-0.0433865416586372,0,0.103839587841703,-0.0812631855030372,0,0,0,0,0.0553139728656019
XLM,0.672639068499458,0,0,0.413222834027715,-0.0390930543826058,0,0,0.12319286458714,-0.0324619695162032,0,-0.190372049580505,0,-0.0116091364392836,0,0,0.117376188219505
DGB,0.276455825042985,0.689382855371633,0,0,0.113231994972426,0,-0.027166843811004,-0.117055366904499,0,0.431928676150488,0,0,0.679781002356582,0,0,0
BV010082.INDEX,0,0.0157025537966263,-0.490229478265008,0,0.00219810346998971,0.0749975273841571,0,0.033738882491763,0,0,0.0265698986961531,0,0.0830649368726656,0,0,-0.109844962597832
CVIX.INDEX,-0.0518495816100272,-0.225222151888702,0.111548873172347,-0.142849367440006,0,0.238878023276621,0.0500311633127313,-0.0421490398375872,0,0.162050470765084,0.0374154821573141,0.136820014907111,0,-0.863135637608305,0,0.171689846824965
DXY.INDEX,0,-0.00202709664077203,0,0,0.00220718257456861,0.0314400365046156,0,-0.0177340907067142,0.00854446598186019,0.0201456771452261,-0.0257845021519306,0.057843105928766,0.0249593827816885,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.00478687326076952,0,0.00961991190272168,0,0,0,0,0,-0.0842787041735411
VIX.INDEX,0,0.201823832408001,-1.08242394213951,-0.00158233287465878,0,0,0.0335850995286359,-0.164190511265437,-0.316904537145203,0.380667873667676,-0.145021738287842,0,0.904170132507108,0,-1.40495684266738,0
