,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00000000000000000346944695195361,0,0.0750103416282308,0,0.108213843439548,0,0,0.0736181221306978,0.0233617218384167,0.0699879943114102,0,0,0.112641150506566,0,0,0,0,0,0
ETH,0,0,0,0.104429152154354,0,0.126457620121095,0.0571081777413567,0,0.0972917737095613,0.134102982934888,0,0,0,0.102422614548491,0.130025935962686,0,0,0,0,0
BCH,0,0,0,0.225974668747853,0,0,0.633229275114233,0.0814202425924529,-0.249189925290366,0,-0.120259223011903,0.508660426699867,-0.841339474205784,0.295611878784723,0,0,0,0,0,-0.0905203981709875
XRP,0,0.203035187621326,0,0,-0.00634287393586884,0,0.139333906616322,0.065128848829132,0,0,0.00300100600906312,0,0.0741972788671268,0.123605443491999,0.107295264600367,0,0,0,0,0
LTC,0,0,0.0103603604469937,0,0,0,0,0,0.0034480290188046,0.598267957748014,0.0185786545577041,0,0.0290753639788458,0.0586262406906414,0,0,0,0,0,0.0263468552324592
DASH,0.0674407326861455,0,0.0416366999911598,0,0,0,0.0788237589828604,-0.000000000000000000433680868994202,0.0554836487859372,0,0,0.230207402366106,0,0.15298079847518,0.0923626644203689,0,0,0,0,0
XEM,0,0.153915092366681,-0.0175649129609327,0,0,0.286428917907784,0,-0.112288771530929,0,0,0,0,0.169906709198892,0,0.0361671298017736,0,0,0,0,0.0785027368056354
XMR,0,0,0.0584146440833126,0.282893224260714,0,0.148915750736662,0.0361703901185848,0,0.0986771413273137,0,0.0356795907358866,0.0782787897636132,0.115472674334695,0.00000000000000000173472347597681,0,0,0,0,0,-0.0485691046245059
MIOTA,0.455303227534351,0.223802200003496,-0.0692647829748977,-0.147146516549463,0,0.283562434489247,0.187766782048897,0.229443584987063,0,0.0209780707202551,0,0,0,0.130530222834362,0,0,0,0,0,0
ETC,0,0.404316837465466,0,0,0.423239338825448,0,0,0,0.0694058437837723,0,0,0,0,0,-0.00000000000000000693889390390723,0,0,0,0,0
NEO,0,-0.174071840407426,0.0302981923380288,0,0.173572529226503,-0.0451603840608364,0.353675860838509,0.172596129053904,0.144984018961669,0,0,0,0,0.325272976493292,0,0,0,0,0,-0.237848835144231
ZEC,0,0.0734538856544444,0.00908934931438876,0,0,0.106191365376894,0,0,0.177697603075433,0.0374248026825912,0,0,0.15609100372187,0.0823661151791834,0,0,0,0,0,0
XLM,0,0,0,0.295814292909882,0,0,0.212768746915052,0.137725680067448,0,0.0279739703475674,-0.0549331183305682,0.0622218349175347,0,0.160075319610387,0.171492380001603,0,0,0,0,0
EOS,0,0.148450073016189,0.0398699530604647,0,0.407616081171934,0,0,0.188980574340741,0.211751908888603,0,0.149415998550411,0.0587963011683934,0,0,0.0978533721798051,0,0,0,0,0
BAT,0,0,0,0,0,0,0.0993313697347012,0,0.0350667269362377,0,0.15973869651985,0.258321441498223,0.322478041520515,0.057859862086579,0,0,0,0,0,-0.0643617571804734
BV010082.INDEX,0,0.0261334377097645,-0.00837717451053837,0,0,-0.00541092406525725,0,0,-0.0148047238250905,0,-0.00572172604362854,0.0589124646987408,0,0,0.0176220481530304,0,0,0,0,-0.0813761805767006
CVIX.INDEX,0.0110400741518885,0,-0.0223185069672073,0,0.057173619692471,0,0,0.0231791725799383,0.0260288261941863,0.0476180959210571,0,-0.0831208635247172,0,-0.0777247249078124,0.0132027829506513,0,0,0,0,0.0810426049394904
DXY.INDEX,0,0,0.000517965786440718,0,0.0054381831285554,-0.00381679801692662,-0.000305693704745331,0.0000000000000000000135525271560688,0.0050367607877339,0,0.00576866763051904,0,-0.00524597158146464,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00805077474811041,0,-0.00498547960298534,0.00130319516024481,0,0,0,-0.0014737978267248,0,0.00305581804953243,0,0,0,0,-0.0485312261481861
VIX.INDEX,0,0.306117552434484,0,-0.0861795918389684,0,-0.210085060938708,0.225290230106341,0,0.0176108396208991,0,0,0,0,-0.235154749805125,0,0,0.430383408222304,0,0,0
