,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LINK,LEO,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.368115160869871,0,0.00000000000000000346944695195361,0,0,0.164568790298935,0,-0.0798136286831276,0.0616717849737976,-0.125569656474601,0.262123311000485,0,0,0.0136133564761882,0,0,0,0,-0.016476443828372
ETH,0.457326665200945,0,0.0745687535285738,0.0966777483002591,0,0.149299573696638,0,0,0,0.162559130202088,0,0,0.060080951559495,0,0,0,0,0,0,0
XRP,0,0,0,0.0000000000000000138777878078145,0,0.206950649583191,0,0,0.171347745707408,0.0762133030957246,0.0568980685853741,0.0717178487640991,0,0,0,0,0,0,0,0.0121235041264018
BCH,0,0,0,0,0,0.365886663385622,0.0946532820193944,0.2998072424515,0,0.0915865747299968,0,0.18508309169956,0,0,0.00222306094342704,0,0,0,0,0
LTC,0,0.209318575041825,0,0.169081801800657,0,0.248520799029227,0,0,0.190005293213549,0,0.029873935825526,0.0442270360750626,-0.0110317567317755,0,0.0833748724276555,0,0,0,0,0.0153676182096039
EOS,0,0,0,0.204682120449787,0.00000000000000000173472347597681,0,0,0.334735552497728,-0.104447568253492,0.118926448484511,0.382790569580945,0,0,0,0.00745979553456419,0,-0.0410846013572018,0,0,-0.0288245795509819
BNB,0,0,0,0.245678158226706,0,-0.0460532716943169,0,0,0.170931387496453,0.259825241164631,0.0147655355522134,0.0285540183452946,0.043519536449495,0,0.156430783829252,0,-0.118992886998761,0,0,0
BSV,0,0,0,0.814602264170432,0,0.0326503508384581,0.259106383305694,0,0,0,0,0,0,0,0,-0.0376677746788751,0,0,0,0
XLM,0,0,0.28793572898483,0,0.314383085195673,0,0,0,0,0,0,0.0858511812400549,0,0,0.0124041124505603,0,0,0,0,0.0247497258001826
TRX,0,0,0.4750954284681,0,0,0.244649662170403,0,-0.00650532747256347,0,0,0.413842119119498,-0.0257582254569559,0,0,0,0,0.157860164391877,0,0,0.0525110947803072
ADA,0,0,0,0.0569890289468599,0.255518080610444,0.128367341699733,0,0,0.149171984798261,0.320577617090284,0,0,0,0,0,0,0,0,0,0
XMR,0.173710512671281,0,0,0,0.0162595935431692,0.227175116631718,0.376263207345942,0,0,0,0,0,0.0454452407124399,0,0,0,-0.167558611495958,0,0,0
LINK,0,0.119558621836357,0,0,0,0.186381979125471,0,0,0,0,0.352938396585031,0.103213843382843,0,0,0.145414375374474,0,0,0,0,0.0363800133783832
LEO,0,0.233139311096508,-0.302283282130529,-0.136841548454273,0,0,0,0.115309463049643,0.0259255024024282,0,0.122596486044905,0.216897022245846,0,0,0,0.327299442657188,0.087480492550125,0,0,0.0838412641285047
HT,0,0.261903901954653,0,0,0.0324303945291422,0,0.234420046012157,0,0,0.149714526244641,0.00000000000000000693889390390723,0,0.111036348804496,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0641868475164822,0,0,0,0,0.204007566912181,0,0,-0.341229371046407,0,0.109016561335673,0,0,0,0,0,-0.145626557183161
CVIX.INDEX,0.796471574802542,0,0,0,0,0,-0.670576712018813,0,0.139478473491431,0.164994052217764,0,-0.296125598561697,0.063207025094049,0.262702366874987,0.0689627277738784,-0.187438728383058,0,0,0,0.0375983138844231
DXY.INDEX,0.0302079490925719,0,0,0.0194132727212471,0,0,-0.0429819072265627,0,0.00553424473806568,0,0,-0.0249576114858937,0.00956336214204498,0,0,0.000478554356110195,0.020644419614859,0,0,-0.0134293335242889
SPX.INDEX,0.0288431040832171,0,0.0480062056516558,0,0,-0.035753685831403,0,0,0,0,0,-0.0033950033644067,0,0,0,0.00540532778189552,0,0,0,-0.11735579430698
VIX.INDEX,0.301936268063335,0,0.320791535865232,0,0,-0.186704085045547,-0.0555181540383152,0,0.0507235445592193,0,0,-0.0511232943517511,0,0,0,-0.0857598366438241,0.086428350452424,0,-7.50359665427177,0
