,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.211102613857058,0,0,0.123738639533965,0,0.133606121359696,0,0,0.0798157440771633,0.00142903252922574,0.0133945752313797,0.0411671927911534,0,0,0,0,0
ETH,0,0,0,0.00945226570263957,0.158489730688758,0,0.0592057893258302,0.0187169872022502,0,0.0626417759471097,0.0634834975027714,0.284896787226189,0,0,0.109410081022476,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.119222931516985,-0.0504186867941619,0.19815156603776,0.0261720179140199,0,0.0856857419315118,0.358646964779912,0.143005821158217,0,0,0,0,0.00735218807130574
BCH,0,0,0.079413055227286,0,0.0992260623080596,0,0.165132207751328,0,0,0.0902509661765371,0.05535651688004,0.191477188999631,0,0.00679020116425074,0.065206407162394,0,0,0,0,0
LTC,0,0,0.0169312058511138,0.107626735766473,0,0.0809695708920078,0,0.0395951421574932,0.127210864044966,0.0343876853288516,0,0,0,0.0394209826037896,0.176144390316501,0,0,0,0,0
ADA,0,0,0.0503564191588449,0,0,0,0.121385100921418,0,0.311182074728014,0,0.113795848717699,0,0.148849862825101,0.000000000000000000867361737988404,0,0,0,0,0,0
NEO,0,0.0194036780629439,0,0.144915697321886,0,0.185476834700745,0,0,0,0.0115688618749018,0.0732928092536243,0,0,0,0.294376491909814,0,0,0,0,0
XLM,0,0,0.421855006004295,0,0,0,0.0732316329094003,0,0,0,0,0.0856746416485642,0.0101285249952021,0.128015972175243,0.133121043871024,0,0,0,0,0
EOS,0.417103638025999,0,0,0,0,0,0,0.129288759036786,0,0,0.0288429036707999,0,0.0896081184734652,0.08744695400819,0.275706552513729,0,0,0,0,-0.0102675150906927
MIOTA,0,0,0.15499651388102,0.263928390232237,0.104896009737386,0,0.00998914813867562,0,0,0,0.189916845777186,0.0063582274133531,0.151660920675849,0,0,0,0,0,0,0
XMR,0.0813279855968478,0,0.0342541930700061,0,0.326749627308309,0,0.201656681471909,0.069221358300037,0,0.148310341171654,0,0,0,0.0229273479231867,0,0,0,0,0,0.0305337536800797
DASH,0,0,0,0.0335528969825824,0,0,0.0372403932542633,0,0,0,0,0,0.0962803853718878,0.209089701357768,0.174094905490179,0,0,0,0,0
XEM,0,0,0,0,0.276051456491889,0.376490179496452,0.202966130803104,0.0701745990846967,0,-0.0889142269477032,0,0,0,0.140498278213229,0.0169416797815027,0,0,0,0,0.0656412266894256
TRX,0,0,0.204723656885834,0,0.126535201904747,0,-0.0595128106988464,0.0964786102446525,0.211894520704971,0.0756876020820486,0,0.105938041213166,0.21593235612716,0,0,0,0,0,0,0.122598611221388
ETC,0,0,0.156371000282582,0.393348840408944,0,0,0.0927620039797143,0,0,0,0,0,0.14569158275129,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0415231715257469,0,0.058986316456067,0,-0.0215351558493149,-0.0359129495300958,0,0.00962041219975289,0.06839246139853,0,0,0.0206623384350703,-0.0496067216025012,0.00790331097708207,0,0,0,0,-0.0333455658127495
CVIX.INDEX,0,-0.0990633921820352,0.00397765162934372,-0.0909825676657565,0.0555890767616605,0.1531782501792,0.0271821181885803,0.0655885529936554,0.070584366329875,0,0,0.101259146311491,-0.199831937481543,-0.0913430955300406,0,0,0,0,0,0.0945712579825192
DXY.INDEX,0.0342436972739385,0.0327994791818934,0.000000000000000000216840434497101,-0.0121703857093467,-0.00344094779658898,0,-0.0127919727764184,-0.00741175992652582,-0.0144569240631666,0,-0.0138302555143842,0.00247447634374344,-0.00755212346210902,-0.00961951292869223,0.0144633930856501,0,0,0,0,0.0138954270888606
SPX.INDEX,0,0,0,-0.0052503221503023,0,0,0,0,0,0,0.0129285892321155,0,0.0224162559993831,-0.0399740509079013,-0.00241337378892403,0,0,0,0,-0.0580566279744214
VIX.INDEX,0,-0.398631597663886,-0.536708940307183,0,0,0,0.259900549696541,0.105546890845887,0,-0.271218007378961,0.0762445931751636,-0.033264043455741,0.137839471748815,0.692584826610208,-0.0176916538730714,-1.46803970686265,0,0,-4.01273402348327,0
