,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,DASH,XMR,MIOTA,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.139103859202855,0,0.106998292003509,0.018159869088453,0.0569253490062585,0.0358886053462554,0.0409218710321954,0,0,0,0.010268195626277,0,0.0225209926512181,0.066787173245405,0,0,0,0,0
ETH,0,0,0.0475522229946826,0,0,0.346591687884009,0,0,0,0.0104170662776437,0.0422483328478209,0.0390988131967905,0.0804777992889864,0,0,0,0,0,0,0
XRP,0,0.12736446608683,0,0,0,0.184357461872976,0,0.040762830696299,0,0,0,0,0.0736737174457197,0.148718304052001,0,0,0,0,0,0
BCH,0,0.252246970011519,0,0,0,0.264165193268797,-0.0299865037640102,0.0581057662245612,0.189669164866261,0,0.156067563863972,0,0,0,0.0685959302720356,0,0,0,0,0
LTC,0,0.225479825597751,0,0.139789136617388,0,0.213965656615101,0.126142021814465,0,0.158397295847754,0.143425042018825,0,0,0,0.0414051242183464,-0.0769455807922976,0,0,0,0,0.0360767444137945
EOS,0,0.357691631442931,0,0.177674934535733,0.170099237837061,0,0.0750065075149083,0,0.0695184370693256,0,-0.0988787385397618,0.00862559613605028,0.292216805558471,0.0575143117167335,0.0333439614649022,-0.172084967321383,0,0,0,0
BNB,0,0.135963462028736,0,-0.150962777480327,0.330962418684858,0.0657705985869127,0,0,0,0.394048345294008,-0.175361407497272,0,0.0957031854832725,0,0,0.0553957004315941,0,0,0,-0.087790445186711
XLM,0,0.0833871089762704,0.163320622685299,0.0227365636745823,0.161519082887235,0.0401285194234311,0,0,0,0,0,0.168008651791324,0,0.102339862135647,0,0,0,0,0,0
ADA,0,0,0.214059119667873,0.232403789147612,0.197039009006013,0.0934913648043297,0,0.0305706397758407,0,0,0,0,0,0.208643653117056,-0.023119011416501,0,0,0,0,0
TRX,0,0,0.211101439569652,-0.0124513177062002,0,0,-0.106865659812436,0.178016795273889,0,0,0,0,0.245040012857266,0,0.254142876256454,0,0,0,0,0
BSV,0,0.250757217572095,0,0.248315852650704,0,0.0913521838211915,0,0,0,0,0,0.0324344625980973,0,0,0,0,0,0,0,0
DASH,0,0.113104377953942,0,0,0.0688651489507569,0.120508299762723,0.0677790944945152,0.11225217877878,0.148940298460852,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.349995016501388,0,-0.0859510691500419,0,0,0,0.186876409413368,0,0.206177716967012,0,0.105761703411839,0,0.00608196900568671,0,0,0,0,0,0
MIOTA,0,0.233271298529364,0.172251191793593,-0.0325631777299753,-0.00000000000000000346944695195361,0.0529564306139183,0,0,0.0608598636355359,0,0,0,0.125907888470935,0,0.189302965073462,0,0,0,0,0
ETC,0,0.364346982935595,0,0.111427355287118,0,0,0.0614960751675897,0,0.0635815766273036,0,0,0,0,0.156542573150853,0,0,0,0,0,0
BV010082.INDEX,0,0,0.140724992364229,0,0.0163215709424772,-0.0386044689698986,0.0827670854240249,0.00463030998147709,0,0,0.0324931304068135,0.0152846080110288,0,-0.285361964002016,0.0972268473719567,0,0,0,0.579591862366784,-0.0629274631327721
CVIX.INDEX,0,0.25309505565385,-0.343180489382153,-0.0724202881469666,0.0249532290974105,0,0,0.16291029585139,0,-0.135360624607119,0,0,-0.307822852017041,0,0.027894776575768,-0.437940135757412,0,0,-1.05011284756942,-0.0782759640769548
DXY.INDEX,-0.0244064490570129,0.000366340897133935,0,0,0.0136816372231077,-0.0117566088634935,0.0117174803581136,0.00811883015082813,0,0,0.0191113696561769,0.011113193602658,0.0171696386289578,-0.0774197468217131,0.0202024513820326,0,0.0282926723913836,0,0,0
SPX.INDEX,0,0,0,0.0156542418790968,-0.0134612818016565,0,0,0,-0.0251917431266355,0,0.0192289661635878,0,0.0122330170625497,-0.0113110545301101,0.00294226007585104,0,-0.0264910401356537,0,0,-0.0849343769424345
VIX.INDEX,0,0,0.17898601611014,0,0,-0.323869001505788,0.272432011104679,0,0,0,0.29309556805821,-0.422075281561396,0,0.167325880045151,0.15363723327173,-0.531554617244791,0.242990989820787,0,-3.50519970839062,0
