,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.293694096452075,0.025570867794083,0,0.0472517670873694,0,0.0364345407922003,0,0,0.0765936465988255,0.0414474572019622,0.00287708463672641,0.0381871418068522,0,0,0,0,0
ETH,0,0,0,0,0.0635853297794307,0.0776879059094426,0.0358928726558343,0,0.0169092389445345,0.348688930961446,0,0,0.136921878087768,0.135381166592437,0,0,0,0,0,0
XRP,0,-0.281411031546243,0,0,0.183976922608442,0.212712306502167,-0.0334360534082675,0.061719280475918,0.0148747971217435,0,0.105409558175939,0,0.245207865748717,0.26594172431297,0.143206587946812,0,0,0,0,0
BCH,0,0,0,0,0.338843186122909,0,0.205862216629331,0,0,0,0,0.132859319516686,0,0.194122827492842,0.0140917790403849,0,0,0,0,0
LTC,0,0,0,0.202974311462868,0,0,0,0,0.0971626073731998,0.117540184264108,0.0322709098177985,0,-0.0000000000000000000542101086242752,0.142023736389309,0.0188159846532756,0,0,0,0,0
ADA,0,0,0.0425368347497617,0,0,0,0.0412513816610486,0.135236096265738,0.129875436170503,0,0.101110968970296,0,0.178312306388106,0,0.0634055104051248,0,0,0,0,0
NEO,0,0.188658680427978,0,0.104778329394776,0,0,0,0.0681662469332483,0,0,0.143272199448622,0.0279675223363168,0.153167202169259,0.179390248643204,0,0,0,0,0,0
XLM,0,0,0.316114000801855,0.251103050312371,0,0.158072567615149,0.161897819046054,0,0,0,0,0,0.0895741295553443,0,-0.121977451273572,0,0,0,0,0
EOS,0,0,0.0677399653507949,0.00833793063155689,0,0,0,0,0,0.234417099324177,0,0.309788724369729,0.101001948633912,0.178309382011661,0.0639354249211866,0,0,0,0,0
DASH,0,0,0,0,0.257840031449105,0,0,0,0.158042786686128,0,0.133843415855908,0.0698818397150428,0,0.131654970513347,0.0413046771159223,0,0,0,0,0
MIOTA,0,0,0.114468943574926,0,0,-0.00000000000000000173472347597681,0,0,0.218328901579385,0.120613361681138,0,0.114410510545219,0.0793185983297075,0.171478539789269,0.0189023097497975,0,0,0,0,0
XMR,0,0,0.0728793403323701,0.273848585690525,0,0,0,0,0.0211837654808246,0,0,0,0.00948696284623653,0.197648040888367,0.032795353628937,0,0,0,0,0
XEM,0,0,0.205125787970692,0.0880627336197856,0,0,0.0197498917506669,0.188254731468427,0.0184113881207795,0,0.1678238029285,0,0,0,0.0351437179354034,0,0,0,0,0
ETC,0,0,0.0651046278915507,0,0,0,0.0584810285175957,0,0.121287292813222,0.163809282997377,0.0440481982969883,0.184906752613019,0,0,0.0581655352170866,0,0,0,0,0
TRX,0.649162957953421,0,0,0.125909455749876,0,0,-0.48186936632346,0,0.0314987432221623,0.488452724228268,0.183092973486682,0.0874948010186579,0,0.0878664986387957,0,0,0,0,0,0.0736982605871242
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428008284547174
CVIX.INDEX,0,-0.0107197480215123,0.0560471097199823,-0.0241158374701746,0,0.0134327916590708,0,0,0.00621849225343583,-0.00228749252500739,-0.000000000000000000867361737988404,-0.0778520689987082,0.0317609424960529,0,-0.015142969052585,0,0,0,0,0.0590793245068256
DXY.INDEX,0,0.0191797971891111,0.00551884005614911,-0.00660465445566176,-0.00000000000000000010842021724855,-0.0117898820837719,0,0,-0.00865592173195184,0,-0.00358496370791415,0,0,0,-0.00427814091787706,-0.0662677734191862,-0.00766494539310292,0,0,0
SPX.INDEX,0,0,0,-0.0175236288646398,0,0,0.0194814469286572,0,0,0,0,0,0,-0.0114511318151713,0,0,0,0,0,-0.0626358135252841
VIX.INDEX,-0.356063029099115,0,0,0,0.352716301084618,-0.0293602021603662,0.189646496137509,-0.00000000000000000693889390390723,0,-0.0799970308045814,-0.180356299295779,0,-0.0117412073647278,0.182515768174805,0.0407602866391454,-2.31503742843244,0,0,-4.47760360257371,0
