,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,XLM,ADA,TRX,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.247527327433457,0,0,0.133925780005079,0,0.0985883955519763,0,0.190016821289759,0,0.0152931774012352,0,0,0,0,0,0,0
ETH,0,0,0,0.0751556236908358,0.271541125091151,0.105024389897586,0.20003144155028,0,0.104677925866585,0.0716468445448937,0,0.0724016005726264,0,0,0.0159735196367023,0,0,0,0,0
XRP,-0.300635362920688,0,0,0.44032492897264,0,0,0,0,0.00616002145851779,0.210508948206542,0.525126446937273,0.0214228053243123,0.0826002667624899,-0.153187833291415,-0.139305636369809,0,0.157673989643406,0,0,0.164457289616199
BCH,0,0,0.229879148738331,0,0,0.125584851707762,0.22667345048155,0.0266346566621363,0,0.0569416052521967,0,0.207797529876166,-0.0105478756980586,0,0.0863962275016153,0,0,0,0,0
LTC,0,0.211433293021824,0.0790593856548674,0,0,0.516124661412329,0,0,0,0,0.0206476165284068,0.0394536700647759,0,0,0.0638416378578937,0,0,0,0,-0.0073398501934783
EOS,0,0.222642699802537,0,0,0.528171187338942,0,0.00000000000000000173472347597681,0.151795093165238,0.0610884315271618,0,0.00571035298980172,0.0207402401386314,0,0,0.0304179036850747,0,0,0,0,0
BNB,0,0,0.127770331475194,0.197520959623888,0,0.377346912054179,0,0,0,0,0,0.105329657127317,0.0285645971857003,0,0.00311376278109046,0,0,0,0,-0.0203568266392235
BSV,0,0,0.238705838680829,0.52899148764468,0,0.121083462085573,0,0,0,0.0260023490146524,0,0,0,0,0.0589747619151317,0,0,0,0,-0.108385094128109
XMR,0,0.273447336730653,0,0.159651191538212,0.197884528634742,0,0.238770206989124,0,0,-0.0543373813708282,-0.0415925881934203,0,0.0631550847513163,0,0,0,0.0344608712619012,0,0,-0.0433346361356424
XLM,0,0,0.279702730613045,0.109435094166364,0,0,0,0,0,0,0.118118617698769,0.13917227110205,-0.000000000000000000433680868994202,0,0.10256692973712,0.00953956914804444,0.116909715877562,0,0,-0.087937936673922
ADA,0.0650076857469235,0.217476508611672,0.17659842831914,0,0.0636239763168688,0,0,0.0536652411279222,0,0.0720304590539872,0,0.157713140022981,0.03252569812582,0,0.12166008211946,0,0,0,0,0
TRX,0,0,0.214640592479784,0.215113442497828,0,0,0.23363872897797,0,0.00145128632122767,0.102100842849324,0.168684836138721,0,-0.105249868820025,0.152269137253008,0.136943111346205,0,0,0,0,0
XTZ,0,0,0.315732669682696,0,0,0,1.2687410242986,0,-0.239155625675102,0,0,-0.652563820908577,0,0.229470351269058,0.0710795688621144,0.145638948999423,0,0,0,-0.172936066829105
LEO,0.10071185675577,0,0,0.084989990863138,0,-0.255948093196358,0,-0.0128928734873798,-0.211033437335565,0,0.147911091865837,0.357236315580222,0.0893805350800834,0,-0.0959727328243741,0,-0.0104006918932586,0,0,0.0359899290676532
ATOM,0,0,-0.213577955724631,0,0.147410774915715,0.627123032245581,0,0.173451213522124,0,0,0,0,0.333421578305238,0,0,0,0,0,0,0.0333665304866671
BV010082.INDEX,0,0,0,0.0496748470717271,-0.167272870977989,0.192202627316816,-0.2748845731909,-0.0449071089097989,-0.0690170728306629,0.142960874092793,-0.112746505673548,0.329905881555713,0.0775098130410645,-0.0378639912697552,-0.0748798551018252,0,0.0915910246095439,0.64403602831025,0.146494578958746,-0.0047748903122397
CVIX.INDEX,0,0,-0.114582285842075,0.149506538700402,0,0,0.471813253442576,-0.382630425399236,0,0.34375450437492,-0.0238517738648597,-0.26605787447884,0.148284952460751,-0.553029797771699,-0.0986340226981493,0.588401991578603,0,0,0,0
DXY.INDEX,0,0,0,0,-0.0381698686328741,0,0,0.025837342804981,0,0.0243754542460147,0,0,-0.00202627199201554,0,-0.0105833373714686,0.0214772183846733,0,0,0,-0.00694983522164111
SPX.INDEX,0,0,-0.00857385999279013,0,0,0.031550066706661,0,0,0,0,0,0.00158150051332019,-0.00504702018270472,0,-0.00783174331111784,0.0837542991192241,0.00101830467075767,0,0,-0.039730234121424
VIX.INDEX,0,0,-0.18935238470239,-0.158344404932263,0,0,0,0,0,0.309306014693238,0,0,0,0,-0.171749372099572,0,0,0,-5.13466179947583,0
