,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,MIOTA,EOS,ZEC,NEO,XLM,DOGE,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0351338174031549,0.289886802121143,0.0276001457699785,0.0736959129110599,-0.0739267717125512,0.0561146144393051,0,0.0465401504533934,0.0351865717965988,0,0,0.0212219641019423,0.0465744789156022,0,0,0,0,0.172742758002444
ETH,0,0,0,0,0.2139824937454,0.0935814849997204,0,0.054794358970761,0.0136363851317511,0.0510791673723602,0.0607811057001194,0,0,0.110585738041172,0.027585367783223,0,0,0,0,0.0604299849240424
XRP,0,0,0,0.0970464372236737,-0.292304707919227,0.475115694517746,-0.0264474934059927,0.0719538806083773,0,0.0428287543145343,0,-0.0248540779262831,0.292021703691594,0,0,0,0,0,0,0
LTC,0.221705099745833,-0.0242789594111317,-0.0319989758910084,0,0,0,0.231180742567853,0.136231157852183,0,0,-0.0586969675728186,0.113046899806291,0,0,0,0,0,0,0,0
ETC,0,0.267715330942065,-0.13685405394901,0.246412850436786,0,0.252336712736505,0,0.0755514106192782,0,0.0170093150228664,0,0,0,0,-0.0295142616400535,0,0,0,0,0
DASH,0,0.136904000487164,0.0665061090349139,0,0.163400507015361,0,0,0.314622070737238,0,0,0,0.0855914459098751,0.0490834487070144,-0.0124141902829903,-0.0172387505353085,0,0,0,0,0.138881841102861
XEM,0,0,0,0.115929769493832,0.0523664835221482,0,0,0.011823007814964,0,0,0,0.0317290902496023,0.273305484347021,0.229416320535235,-0.0390628558961194,0,0,0,0,0
XMR,0,0,0,0.124355615199957,-0.0333474195069797,0.477816032601959,0.106316694730395,0,0.0345798922930831,0.02277209823859,0,-0.109116030006579,0.157603450549313,0,0.00863872594085367,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.0525981501100597,0.259809550917708,0.113374386421194,0.2153359361004,0,0.0681960586865755,0,0,0,0,0
EOS,0,0.210723067530574,0,0,0,0,0,0,0,0,0.172790128529952,0.121672318566295,0,0,0.101473107682186,0,0,0,0,0
ZEC,0,0.204755555963508,0,0,0,0,0.0536811160341373,0,0.0821569313334476,0.00970259596456789,0,0.0627077316967629,0.120005709623948,0.164956300661955,0.0206537001420943,0,0,0,0,0
NEO,0,0,0,0.524847127004345,0.32448279574802,0.118623083403069,0,0,0,0,0,0,0,0,0.12631438550795,0,0,0,0,0
XLM,0,0,0.649363185568221,0.0516683033007621,0,0.152756203706685,0.0403761020134087,0.304508076693471,0.201210906553489,0.0845484149352067,-0.206702040721953,0,0,0,0.0433841138109716,0,0,0,0,0
DOGE,0,0.0958071856867665,0,0.211685119018584,0.0912220163964651,0,0.382960363266366,-0.0716657393653586,-0.0325558280655663,-0.0648551438298829,0.207361120041094,0.00715737133306165,0.0192258847719417,0,0.0491664563742442,0,0,0,0,-0.146050397946898
DGB,0,0,0.0458603759429778,-0.139351270554269,-0.0499552585858333,-0.362639102486974,-0.321734782007247,0.294455694862926,0.0128968440355818,0.230190374259935,-0.793415621482058,0.178262238444423,0.877257668003403,0.979919306667617,0,0,0.853484534970133,0,0,0
BV010082.INDEX,0,0,0.030770204122499,0,0,0,-0.0373417418495876,0,0.000520038798186842,0,0.023217756352516,0.00446777617514921,0,0,0.00379757887514044,0,0,0,0,0
CVIX.INDEX,0,0.062080910163954,0.0329284138428696,0,-0.00839129331565882,-0.0937374654736221,0.0807456393184139,0.0333883078089951,-0.0476464323601641,0.00923242204302102,0,0.0199346905961967,-0.0632070852368579,0.024308988592223,-0.0178069866498957,0,0,0,0,0
DXY.INDEX,0.0157779402238459,0.0170163715126838,0.00366418673813463,0,0.000000000000000000216840434497101,0.0146568746297512,0,-0.00204630800758237,-0.00704708103952732,0.000417523392371994,0,-0.00322395652066759,-0.00301295835642612,-0.0209266411571935,-0.00333818762366151,0,0,0,0,-0.0124805414168358
SPX.INDEX,0,0,0,-0.00168960506417011,0,0,0,0,0,0.00191306648093888,0.00206061658265185,-0.00111280586396794,0,0,-0.0036601475157101,0,0,0,0,-0.0546330444465365
VIX.INDEX,0,0.0518760174508432,0.153622037676061,-0.0522976044205696,0.294696200984225,0,0.156277707367658,-0.038262008968789,-0.0686633834128053,0.0666833669459591,0,-0.155703755192811,-0.142516851713932,0,-0.163109583107358,0,0,0,0,0
