,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.168482499281211,0.0425354324966371,0,0.0516063682070958,0,0.0397474275681264,0.090621794427918,0,0.0889043223902374,0,-0.00000000000000000173472347597681,0,0,0,0,0
ETH,0,0,0,0,0.274197938433386,0,0.0673644006391264,0.0805301572903855,0.15224448171551,0.0531281343012134,0,0,0,0,0.0386400809060104,0,0,0,0,0
BCH,0,0,0,0.0707221357373373,0,0,0.481476167097264,0,0,-0.111930706829199,0.380429045504402,0.418051503362574,0,0.0400508185943311,-0.62635186574256,0,0,0,0,-0.130997110815898
XRP,0,0.093379776490468,0.0598355333597106,0,0.0451959119442187,0,0,0.0792350200931541,0,0,0,0,0,0,0.266103284037016,0,0,0,0,0.0190983363024284
LTC,0.118380619469014,0.0321510494429755,0,0.0401611021932995,0,0,0,0,0,0,0.736864319757567,0,0,0,0,0,0,0,0,0
DASH,0.0483222350896862,0,0.0447357292697148,0,0,0,0.0903594241337802,0.0425400439575276,0,0.00429887173508686,0.168917689892466,0.0628120805984597,0.177388289995711,0.101177823504986,0,0,0,0,0,0
XEM,0,0.174556313619015,0.0641836145131657,0,0.200894700227384,0.279044395509963,0,0,0,0.128843985933812,0,0,0,0,0.047582675068345,0,0,0,0,0.125747277886579
MIOTA,0,0.158385654358775,-0.118522394950647,-0.218929625890005,0,-0.0000000000000000138777878078145,0.170821198424256,0,0.180863577640435,0.0867887577411519,0.0126178741037705,0.308352282028042,0,0.230808741253338,0,0,0,0,0,0
XMR,0,0,0.114249338430804,0.0672913075472639,0.0566078603344385,0.135727175650846,0.0338912617322854,0,0,0.110953837530549,0,0.264715648197073,-0.0530000490560035,0,0.192440686829758,0,0,0,0,-0.0288401250734028
NEO,0,0,0.0260395052922542,0,0.104740772757263,0,0.401561607313958,0.120353389014332,0.146009459164087,0,0,0,0,0.293555607118697,0,0,0,0,0,-0.145064487573569
ETC,0,0,0.000666408057817557,0,0.63066047962417,0.127258021469873,0.123556900382546,0.0645243686235146,0,0,0,0.00385338945402858,0,0,0,0,0,0,0,0
ZEC,0,0.0702711078887906,0.0288095807168315,0,0,0.0170745914736061,0.0483814668652191,0.219260328415533,0,0,0,0,0.00376454173770491,0,0.193714550288143,0,0,0,0,0
BAT,0,0,-0.0358378867584709,0,0,0,0.0786784144709884,0.0347650675902885,0,0.186429985964814,0,0.242918728536733,0,0,0.348743616575935,0,0,0,0,-0.124488069339807
EOS,0,0,0,0,0.263249462903108,0,0,0.12438520563616,0.0850677655455335,0.147909052782434,0,0.0999566164488486,0.0522692474913346,0,0.216097211632569,0,0,0,0,0
XLM,0,0.430490200257171,0,0,0.00000000000000000693889390390723,0,0.00691524640037793,0,0.309190785143267,-0.00000000000000000346944695195361,0.00612087150937489,0,0.192885696377552,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00572470132325177,0,0.0035144404286824,-0.0680804635271562,0.0350862351594047,-0.00328448888025378,0.0283992102350389,-0.00761547210439491,0,0.0907372486837904,0.0252654019308676,-0.0491757573876508,-0.00938094851050845,0,0,0,0,-0.0858422642713431
CVIX.INDEX,0,0,0,0.0582489681041059,0.0528082930833389,0,0.0155547345396215,0.0599618471134692,0.0171228317033322,0.0137371136533871,0,-0.131617510077325,0.0304406341115543,-0.102069513717024,0,0,0,0,0,0.0560501142300374
DXY.INDEX,0,-0.0141486571748171,0.00129328782435667,0,0.00981777374801559,-0.0111766968995781,0,0.00131846995121387,0,0.00692048882396622,0,0,0,0,0.0000000000000000000067762635780344,0.0114363153577568,-0.0199843955127948,0,0,0
SPX.INDEX,0,0,-0.0000978788970991637,0,-0.000273564270203169,-0.00974288507264278,0,0,-0.00347483840564023,-0.000416685873741132,0,0,0.0082316504117981,0,0,0,0,0,0,-0.0470962085777931
VIX.INDEX,0,0.24032798016713,0,-0.144913916891681,0,-0.199604027876054,0.205675730007949,0,0,0,-0.0417685485652342,0,0.0587274125057501,-0.256907167385928,0.0960970599285488,0,0.661865847976771,0,0,0
