,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.20351068016132,0,0,0.119387451677079,0,0.146434886891288,0,0.0827985624555384,0.0143163475561733,0.00426687343926426,0.00895207778264113,0.0355658163454447,0,0,0,0,0
ETH,0,0,0,0,0.12557953892016,0,0.0878890036873956,0.0490570822772876,0.178381516216822,0.0574575524764051,0.237516143966699,0.0154564657033384,0,-0.000000000000000000867361737988404,0.0486892082380479,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,-0.0521583637683535,0.088909704507927,0,0.195184664752246,0.076910717256271,0.361214396531448,0.224430980846519,0,0,0,0,0.0021535394392523
BCH,0,0,0.0305217669265007,0,0.104298956764967,0,0.1727632892904,0,0.0203442294426613,0.0117566686848185,0.279479010242007,0.0820177026991649,0,0,0.0846463896227018,0,0,0,0,0
LTC,0,0,0,0.142134304783876,0,0.116259964132564,0,0,0.148936574124387,0,0,0,0,0.0459925134127669,0.215001216728443,0,0,0,0,0
ADA,0,0,0.442868493276013,0,0,0,0.0479288267458329,0,0.120790155108211,0,0,0.157331799880383,0,0,0,0,0,0,0,0
NEO,0,0.0853641405089323,0,0.183226766297199,0,0.139848383470435,0,0,0,0.0131746752312698,0,0.095342408741418,0,0.00000000000000000173472347597681,0.261081390228279,0,0,0,0,0
XLM,0,0,0.219041762440149,0,0,0.206544019854212,0.0790227163633932,0,0.0690109710782285,-0.00000000000000000173472347597681,0.0468008292426323,0,0,0.167947644859633,0.127782122849436,0,0,0,0,-0.0147329129305686
EOS,0,0,0,0,0,0,0,0.181331263459452,0,0.196078287508568,0,0.017134589203751,0.154108531206541,0.0559678587587537,0.247546911758253,0,0,0,0,-0.0252709340439304
XMR,0.11813180757754,0,0.0292162556703156,0.0045734241218197,0.330141787973484,0,0.214084106537979,0.0436404816211858,0.0513903272437381,0,0,0.132138453201854,0,0,0,0,0,0,0,0.0424156069473493
DASH,0,0,0,0.0702103814310985,0,0,0,0,0,0.0687418972493547,0,0.0620499092740024,0.0793993346265364,0.202565656498895,0.121097205870604,0,0,0,0,0
MIOTA,0,0,0.145118665852476,0.26247339325656,0.112562604735537,0,-0.00000000000000000173472347597681,0,0,0.177111979901191,0.070151107219764,0,0.138549788412745,0,0.00000000000000000346944695195361,0,0,0,0,0
XEM,0,0,0,0,0.27071883659525,0.229121972244744,0.160745850953067,0.036501198933408,0.141131685593597,0,0,0,0,0.139031757260798,0.00000000000000000693889390390723,0,0,0,0,0.0831911382584649
TRX,0,0,0.243262489531448,0.151005777939622,0,0,-0.192383521701414,0.0667827738321285,0.117650071673874,0.0454294522131143,0.206990677528402,0,0.266561535619094,0,0,0,0,0,0,0.107528651621427
ETC,0,0,0.156371000282582,0.393348840408945,0,0,0.092762003979714,0,0,0,0,0,0.14569158275129,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0502006342913002,0,0.0526134033923147,0,-0.0238158347379327,-0.0198531923501442,0,0.0113213446688384,0,0.0111307895883605,0.0630673788018515,0.0221795414748687,-0.0565748945506799,0.00610611151205559,0,0,0,0,-0.0363498923170935
CVIX.INDEX,0,-0.106440790179045,0.0257739143166672,-0.126256292281848,0.0735403745688772,0.106367502626467,0.0326723952293784,0.0601454177938995,0.0583879666204652,0,0.169554129842055,0,-0.172421608367521,-0.10200348380829,0,0,0,0,0,0.0816374737141331
DXY.INDEX,0.0204977073521143,0.0156265158198543,0.0144756119923333,0,0,0.024799330333515,-0.0133270129404802,-0.00840789341377245,-0.0396581651131493,-0.0113280998477688,0,0,0,-0.0143367240099335,0.00685838748913254,0,-0.00740727470952449,0,0,0.0109536662053037
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.0103693141955606,0,0,0.0210538626525726,-0.0404029608151651,-0.0036266094053283,0,0,0,0,-0.0578034242683233
VIX.INDEX,-0.0898138806431322,-0.194120508837792,-0.348417816878374,-0.11086745821476,0,0,0.399593498679333,0,0.0000000000000000138777878078145,0,0,-0.246736770980975,0.144535956844208,0.532944749991464,0,-0.888394251866371,0,0,-4.28074460149722,0
