,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,TRX,XMR,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0233876635270808,0,0.0859196691298877,0,0.0546790547860902,0.0808074785058192,0,0,0.0392311812709128,0.0648247957642439,0,0,0.0994010470142518,0,0,0,0,0,-0.00254291652196269
ETH,0,0,0.203137958557055,0,0.00253941811782136,0,0.140818821112009,0,0.0316894957728042,0,0.114197694921737,0,0.216076520009537,0.0754796892531059,0,0,0,0,0,0
XRP,0,0.113249399552506,0,0.0852947317639332,0.0212252302549377,0.226119937394006,0,0,0.0718227451661972,0,0,0,0.158756403513443,0,0,0,0,0,0,-0.0094537832122193
BCH,0,0,0,0,0.252078860850987,0.20047437786187,0,0.135168716482114,0,0,0.00000000000000000346944695195361,0,0.122527264812672,0.122297329256567,0,0,0,0,0,0
BSV,0,0.551278401224042,0,0.837713798470225,0,0,0.68687764252957,0,0.0759215101369719,0.157309743253023,0,-1.34114977102346,0,-0.471002756833146,0,0,0.205010081560903,0,0,-0.0421297381200612
LTC,0,0.181074536260783,0,0.173482017588504,0.0331626192172694,0,0.140471175814604,0,0,0,0.12401306082303,0,0.230210366070085,0.0412212034663501,0,0,0,0,0,0
EOS,0,0,0,0.0802886636861473,0.133151971024039,0.074426584133361,0,0.256726899109908,-0.0593158552327141,0,0.0413187837332621,0,0.238919523016479,0.298315835430807,0,-0.0955773529607178,0,0,0,0
BNB,0,0,0,0.205377921810709,0,0,0.00644678923611371,0,0.0117938342628779,0.0821348936121993,0.252092889578561,0,0.108530166928205,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0,0,0.409025132357236,0,0,0.298879340845198,0,0.097196738326076,0,0,0,0,-0.0341008752784024
LINK,0,0,0,0,0.0153134232688781,0.378560851112025,0,0.0452003095008304,0.257480816642826,0,0,0,0.00609639760449146,0,0.13752324919484,0,0,0,0,-0.0208456476570498
ADA,0,0,0,0,0,0.0456880735245627,0.296811300309974,0,0,0.0653127293331316,0,0.0450660087052754,0.259346796049037,0.279658413670931,0,0,0,0,0,0
XLM,0,0,0,0.130500221317931,0,0,0,0,-0.00000000000000000346944695195361,0,0,0,0.322853336317516,0,0,0,0,0,0,-0.0191548191732507
TRX,0,0.0719903556342625,0.268465492398609,0.0438613975869844,0.0118487914185107,0.185502906841275,0.146803440208125,0,0.0405357442513154,-0.0243566653502955,0.262709052950619,0,0,0,0,0,0,0,0,0.0093935825458442
XMR,0,0,0,0,-0.00368380453453121,0,0.0809229729733285,0,0.00687944739646257,0.0260738592401968,0.364977560881163,0.0900849679510605,0.20592021160366,0,0.0417776876955797,0,0,0,0,0.0150462083279252
HT,0,0,0,0,0,0,-0.11967155739196,0.119687055122049,0.216859860340039,0.0681091352807257,0.0646044253827989,0.0797085080277238,0.117983305752184,0.204103114877728,0,0,0.00890522349953833,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118864027520227
CVIX.INDEX,0,0,0,0,0.0375677371028089,0,0,0,-0.0545607919181005,-0.0560632632308973,0.438065593083623,-0.0459625402492961,-0.458253357792384,0,0,0.129918552035434,0,0,0,-0.00561745802290314
DXY.INDEX,0,-0.0111245102854673,0,0.00658928823801715,0,0,0,0,-0.00715299492603738,-0.0147059606916862,0,0,0.00682693323196022,0.00839913848287887,0.00290882687586778,0.0434676882366001,-0.0234571429871859,0,0,-0.00277438539077831
SPX.INDEX,0,0,0,0,0.000905727385943499,0.0209363138767633,0,0,0,0,0.0234853678544021,0,0,0,0,0.0782560799783373,0,0,0,-0.10109429052496
VIX.INDEX,0,0.0802867628206192,-0.292634015701898,-0.244246103972384,0.042969053279373,0,0.0964884349189762,0.0722959079779668,0,0,0.354322830019266,-0.356856847233645,0,0.231738341424138,0,-0.0755406962741626,0.220893999537772,0,-4.22401167168638,0
