,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,BAT,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00269931885435572,0.0536385797917924,0,0.0438801584294012,0.029141422482531,0.0909643563071907,0,0.165078817012467,0,0,0.0599078160927552,0,0,0,0,0,0
ETH,0,0,0.0177741766978762,0.0322927525140955,0.210982921048152,0,0.130175925466621,0.00835214727047487,0.142308659746079,0.111669508487993,0,0,0,0.0945350852825676,0.00880198005189952,0,0,0,0,0.0648136271926639
XRP,0,0,0,0.0284518927402115,0.034743912886712,0,0.0214716884892805,0.00791405242257528,0.054621710399225,0.0737008396903955,0,0,0,0.130657153494014,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.590410901567344,-0.0462274337088607,0,-0.0865692810725461,-0.0000000000000000138777878078145,0,0.1985860603284,0,0,0,0,0,0,0
LTC,0,0.170515895828009,0.0479178961329563,0,0,0,0,0,0,0,0.732456574882973,0,0,0,0,0,0,0,0,0.0195234430567925
DASH,0.215485157918191,0,0,0.0978941343202837,0,0,0.0925436456696161,0,0.0762622447802379,0.0605564778767959,0.067206693137903,0,0.0158607133565397,0.110970435835643,0.0217482841442032,0,0,0,0,0
XEM,0,0.173607399382551,0,0,0.145690865136756,0.211589274567014,0,0.0738117436737946,0,0,0,0,0,0.0903810866537088,0,0,0,0,0,0
NEO,0,0,0.10925351668881,0.0194878859984189,0.165614443190672,0,0.376219472843198,0,0.207549622372344,0.0874281114742999,0,0,0,0,0.0994613942034883,0,0,0,0,-0.334025191852239
MIOTA,0,0.0935615131511546,0,-0.0924526108728009,0,0.031533246513086,0,0,0,0.0582332976212722,0,0,0.391909448942243,0,0.312169949536908,0,0,0,0,-0.0186275598609543
XMR,0,0,0.347704095103829,0.0661905606772254,0.0511963257078185,0,0.028325473046544,0.0627744327410013,0,0,0.0865525619019631,0,0.223191012366245,0,0,0,0,0,0,0
ETC,0,0,0,0.027234288240905,0.597609255065159,0.074566892926296,0,0,0.120431424625506,0.0185283953953748,0,0,0.0245171310026281,0.0149853129191345,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,-0.000000000000000000433680868994202,0,0.0227331115960589,0,0.249426999329312,0.119281964921472,-0.0206347762930069,0.181500428016176,0.0314732954838545,0.205022858034208,0,0,0,0,0,0,0,0,0
BAT,0,0.205408956842563,0,-0.107954989183607,0,0,0.286171783926595,0.031606029341277,0.041710606947115,0,0,0,0.289471014571668,0,0,0,0,0,0,-0.0686909605313046
EOS,0,0.126358432981032,0,0.025488493479514,0.35785013484404,0,0,0.152181613850494,0.202948756614788,0.0663670796121946,0,0,0.193082955111495,0.0865772139538761,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.0172981357387412,-0.0160139823771452,0,0,0,0.0279746444667779,0.0257277759676687,0.0127723021243326,0,0,0,0,-0.0475255527773393
CVIX.INDEX,0,-0.252867611045499,0,0.00796985364507989,0,-0.0226484136175478,0.0989907234048999,0.0206235488424937,0.0106048479709771,0.0567003915016352,0,0.0225135948787863,-0.0527354123713074,0.111204589778485,-0.0370043617935773,-0.2851239533055,0,0,0,0.0674023370300726
DXY.INDEX,-0.00234635980514083,0,0,0.0035239947663862,0,-0.0347379894363376,0,0.00676003173182641,0.0024002728019072,0.00651532494116282,0,0,0.00999706659842326,0,0.00598835328338883,0.02403738138418,0,0,0,-0.00200566036327832
SPX.INDEX,0,0,0,-0.0000827256960387471,0,-0.0101551311056477,0,-0.000494365698658637,0,-0.0035630895915332,0,0,0,0.00843606609171267,0,0,0,0,0,-0.0474878840967753
VIX.INDEX,0,0.160318846240218,0,-0.0139681937011277,0,-0.380350473961723,0,-0.0877156378452599,0.137645475563863,0.0411665017710625,-0.0559536267779073,0,0.215404208374378,0.190155374553315,-0.273610077470706,0,0.620665680042036,0,-1.3296732528745,0
