,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.148072877490827,-0.0496585535400662,0,0,0,0,0,0.00310896076355042,0.00290211251393858,0,0,0,0,0,0.0069287010432129
ETH,0,0,0,0.613406827754164,0.195922850074884,0.115858898119355,-0.125734917718844,0.000000000000000000433680868994202,0.324963130312536,0.316869304474226,0.0239228440702849,0.00562546475390434,0.0448107666276797,0,0,0,0,-0.152769580241738
XRP,0,0.259936078204119,0,0,0.0372341725876111,0.00508044627140748,-0.118260451097691,0,0,0.0452759562982314,-0.0682438446459384,-0.0322897350165354,-0.256368235869333,0,0.0572024745273369,0,0,0
LTC,0.665044745469093,0,0,0,-0.047522269551213,0,0.0765961665436165,-0.018324008757517,0,-0.0181587260113806,0,-0.00921070569171145,0,0,0,0,0,-0.029541164532785
XMR,-0.760721046271807,0,0,-0.308509280676592,0,0.0927879713047653,0.508520761116149,0,0,-0.0161645805308144,-0.0334896027980728,0,0,0,0,0,0,0
ETC,0,0.279335161323936,-0.123727634473502,0,0,0,-0.093461309322534,0.0521629776647594,0,-0.156198073240599,0.0243780045583152,-0.0727560082631445,0,0,0,0,0,-0.169307813152168
DASH,0,-0.0528945936328791,-0.034018478579314,0.146636209272331,0.138415181611425,0.0557292397030315,0,0.0561334375119294,0,0,-0.0798748940007279,-0.087899759721134,0,0,0,0,0,0
XEM,0,0,0.56249659041325,0.230098419793155,0.0515636836465966,0,0,0,0,0,0.00690066288756814,0.0327461549179082,0.159105245354118,0,0,0,0,-0.0156100986304355
DOGE,0,0.0171192633794426,0,0,-0.140342513805265,0.0307065662860406,0.076524349697934,0.0870065744393175,0,0,-0.00749558731432917,0.00899939889054788,-0.0208594819644201,0,0,0,0,0.0526189221764649
XLM,0,0.310476169535269,0,-0.4960017387165,0,0.190090683870352,-0.130437137645282,0,0,0,-0.0708631902059886,0.0380405376909091,0.17478346766244,-0.7235666224835,0,0,0,0
ZEC,0,0.0000000000000000138777878078145,-0.974191218207793,0,0.341221644000543,-0.0779407291746111,-4.73137136928866,0,0,0,0,-0.492238845163156,-1.22946684530699,0,0,0,0,-0.598221191460743
NEO,0.435670344356105,1.56685314512693,-1.10662855712378,0,0.0847725528039135,0,-1.69522656057617,0.63852426465057,0,-0.0331811673928427,-0.099895488179878,0,-0.279438840062582,0,0,0,0,0.301165695599206
DGB,0,0,0,0,-0.0591586544535441,-0.113274493986416,0.173445409009295,0.121726413065467,0,-0.0661661980947773,-0.0344371723866161,-0.0994566733228906,0,0.232165349445397,0,0,0,-0.108992108419978
BV010082.INDEX,-0.113467002643998,0,-0.0862881037316762,0,-0.0148498742540237,0.0343792786667517,0.0124079346466557,0.00820811092171284,0,0.0051106149673286,-0.00182429217094893,0.0132199394143508,0.0109748054042375,0,0,0,0,-0.12643533860434
CVIX.INDEX,0,0,0,0,0.0171033694128672,-0.236363430599592,0,-0.110156203723317,0,0.00182197613909791,-0.0290893226771738,-0.0308822130705333,0.120819720525088,0,0,0,0,0.181048441120036
DXY.INDEX,0,0,-0.00723377766953566,0,0,0,0,0.0265075666490961,0,-0.012316496091076,0.00284721582218365,-0.0000784076050974764,0,0.0898224388273089,0,0,0,-0.0178213353682074
SPX.INDEX,0,-0.00854873934745461,0,0.0183246576627182,-0.00229849297036345,0.00685746385013711,0.0122498758786564,0.0158942235159941,0,0,0.000355550859112196,0.0110710773826147,0,0,-0.00175720877687036,0,0,-0.0429347376146675
VIX.INDEX,-0.856900816250421,0,0,0,-0.0919146171712258,0,0,0,0.537327806505111,-0.0607785145542355,0.0158765153406728,0.0721521886840963,-0.0423131515783855,-2.06853858081615,1.17869058207538,0,0,0
