,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.025402113360783,0.0376463439414953,0.207383457981922,0,0.117853713837958,0,0,0.000000000000000000867361737988404,0.0787429884368882,0,0.0348502187239304,0,0.0247262094278805,0,0,0,0,0
ETH,0,0,0,0.137503443799488,0,0.0196202503562717,0.11816298050257,0.117785969690279,0,0.13468963220775,0,0.0475141254342969,0.0274874576341203,0,0.17304007847782,0,0,0,0,0
BCH,0,0,0,0,0,0.898681459693795,0,-0.493322257630709,0.186713516264139,0,-0.00840582430773867,0.297137649000839,0,-0.645777040687812,0,0,0,0,0,-0.428622636265639
XRP,0,0.243683835509251,0,0,0,0.131933712838456,0,-0.00000000000000000346944695195361,0.0720285149235265,0,0,0,0.0723259512445299,0.0534327886700968,0.087030801511757,0,0,0,0,0
LTC,0,0,0,0.0572241389879349,0,0,-0.099772456291357,0.10908622689488,0.0864735122757971,0.250036652385399,0.017311443596784,0,0.00137224963462949,0.019044755584214,0.00731934780327777,0,0,0,0,0
XEM,0.314148208479072,0,0.0273717402352105,0,0,0,0.11797646936868,0.00892958421310474,-0.0551620835451472,0,0,0,0.273958347415802,0.254913483709831,0.0496623939012184,0,0,0,0,0
DASH,0.167725430584178,0.0312529703089428,0.0739737510247368,0,0,0.0701041146943359,0,0,0.0153322059258529,0.0280560580945464,0,0.216227346675654,0.152385891063437,0,0.0913364573549837,0,0,0,0,0
MIOTA,0,0.0619122846004655,-0.0815496892384383,0.0367233055293107,0,0.157237822001603,0.416891420727267,0,0,0,0.205080804584648,0.172316867752991,0.0853817758438479,0.051400184188122,0,0,0,0,0,0
XMR,0,0,0.0491246846333862,0.268520746036268,0,0,0.165663530787934,0.101262244079887,0,0,0.0267639609091111,0.0154218157355722,0.0649246109838429,0.149617205700808,0,0,0,0,0,0
ETC,0.0709649756848648,0.348806027139527,0,0,0.227169061880694,0,0.0189372903760591,0,0.0771732799319282,0,0.0103821983281239,0,0,0,0.00194519281094807,0,0,0,0,0
NEO,0,0,-0.031748231065,0,0,0.395521854873335,0,0.0925391122458375,0.037821163785884,0,0,0.0512433476758095,0.107632502805653,0.0597873233866916,0,0,0,0,0,-0.0409699826099673
ZEC,0,0.0795370043292504,0.00992626343819509,0,0.0383082642971434,0,0.102742283728946,0.201247302278995,0.0330692180101431,0,0,0,0.0266589550200948,0.146261391837521,0.0185308594093908,0,0,0,0,0
EOS,0,0.400464953228918,-0.00556754838952321,0,-0.18234072763144,0,0,0,0,0.300122209776278,0.118583860533366,0.288338453463783,0,0.106336298688721,0,0,0,0,0,0.118065844289815
XLM,0,0.0936734469377047,0,0.130321137879208,0,0.183276141247852,-0.0750598574166181,0.0679451929574815,0.277678255941602,0,-0.0260401562038368,0.0823806106214657,0.164752711144466,0,0.190827266465474,0,0,0,0,0
BAT,0,0.0459993003901032,0,0,0,0.0992295128083782,0,0.0272603700808038,0,0,0.184304128292383,0.250271759859231,0.071242960049714,0.313026060263968,0,0,0,0,0,-0.1069130569272
BV010082.INDEX,0,0,-0.0280593215388646,0,0.0188125632756272,0,0,-0.00134445847719444,0.0194118205281338,0,-0.0330255436467443,0.0358469632582104,0,-0.0390902365372249,0.0434564749375357,0,0,0,0,0
CVIX.INDEX,0,-0.0746409034565581,0.00878363504245736,0.0502919355481242,-0.017641431977981,0.00251131702084047,0.0217192838347915,0.0212837344146532,0.0694462232563456,0.128844061686202,0.0230961878272705,-0.0611720055739603,0.0322708137478582,-0.116795806202621,0.0134947261157115,0,0,0,0,0.0761646348404495
DXY.INDEX,0,0,0,0.00478718663835555,0.00876538071950491,0,0,0.006452619592463,0.0018618379073262,0,0.000638812035907299,-0.00904954831269968,0,-0.00384908094737295,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.0000248299483459497,0,0,-0.00615764225151444,0.0010484776524722,-0.00623229635780474,0,0,0,0,0,0.00265618214471768,0,0,0,0,-0.0497688671418441
VIX.INDEX,0,0.064618686808267,-0.0558627706969607,0,-0.270616723190573,0,-0.213188048916934,0.105344668737667,0,0,-0.0837646619588981,0,0,-0.0474685302572031,0.265158248972856,0,0.901378051222715,0,0,0
