,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.217463466878897,0.000000000000000000433680868994202,0,0,0,0.0977106254407732,0.0576574486177945,0.0915952792158162,0,0,0.0960490389872657,0.06761226179059,0,0,0,0,0
ETH,0,0,0.117366745216096,0.183551855234753,0,0,0,0,0.166521311173743,0.273589388685105,0.034430718802553,0.0118312579772983,0,0.0700726857320142,0,0,0,0,0,0
XRP,0,0.0843976050048201,0,0.102141457022722,0,0,0,0,0.134605248776348,0.163388668442864,0,0.107875903759634,0,0.0464232949673913,0,0,0,0,0,0
BCH,0,0,0,0,0.154808943460893,0,0,0,0.0376677678106994,0.361918263111382,0.179312930319162,0.0205665842987528,0,0.0444326571023382,0.0569465958414663,0,0,0,0,0
EOS,0.534493380867087,0,0,0.143083218239575,0,0.0082491595459575,0,0,0,0.224500769567151,0,0,0,0,0.462899623375851,0,0,0,0,0
XLM,0,0,0,0,0.0324030485430161,0,0,0.369515445793757,-0.00000000000000000693889390390723,0.193323350332863,0.132039593396092,0.140176616255488,0,0,0.00000000000000000173472347597681,0,0,0,0,0
LTC,0,0,0,0.428715201162788,0.00890180407879208,0,0,0.0474030043424509,0.0148212480724828,0,0,0.103631446643684,0,0.113791801040626,0.103769372532449,0,0,0,0,-0.00247423886342562
ADA,0,0,0,0.19493142062666,0.00226385379425815,0.290855824820419,0,0,0.0687743483129285,0.0598977210015583,0,0,0,0.00966752985362788,0.158776399569961,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0966525518164105,0.284492753987021,0,0,0.186805828059581,0,0.576421062477381,0,0.0179681678285737,0,0,0,0,0,0.100581570941752
TRX,0,0.424797827671689,0.196436621988091,0.134917547286417,0.181072141851724,0.113690106613309,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337339239964391
XMR,0,0,0,0.502329454607113,0.00388815624229195,0.0349073131527002,0,0,0.0228706559106046,0.0199492640343215,0,0.162502216095986,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.055555768120626,0,0,0,0.516564843191086,0,0,0,0,0,0.364345634905435,0,0,0,0,0.0721285446655093
DASH,0,0,0,0.175655445912593,0,0.0152405567516423,0,0.156236181057642,0.00778895336715052,0.0270105861115455,0,0.141413770436954,0,0,0.112125665156253,0,0,0,0,-0.0749172840565095
ETC,0.200941292724782,0.166857954994527,0.00952959465617615,0,0.239997038528732,0.0607663712186558,0,0,0.286405818660042,0,0,0,-0.086458628029394,0,0.0636370102934555,-0.689757620919619,0.466576428661936,0,0,-0.177275098315206
XEM,0,0.262405782776782,0,0,0,0.369604131184782,0,0,-0.0990554577314344,0,0,0.255169448805609,0.0000000000000000277555756156289,0.172408229778365,0,0,0,0,0,0.0264532852858274
BV010082.INDEX,0,0,0,0,0,0.0494823992100197,0,0,0,0,0.0249519085979177,0,0,-0.0601223787862077,0,0,-0.211789808707927,0,0,-0.0376694391453415
CVIX.INDEX,0,0.109379452120806,0,0,0,0.0996020927576244,0,-0.024553980337438,-0.209666468480864,-0.0990864438605043,0.222781716148391,0.26549657776132,-0.275204930181089,0,-0.064650051011527,0,0,0,0,0.0565658419120915
DXY.INDEX,0,0,0,-0.00454951944467578,0,0,0,0,-0.0373450525331499,0.0122056333633758,0.0223494784051709,0,0,0.021353535096996,0,0,0.0719770369799016,0,0,0.00442451941509868
SPX.INDEX,0,0,0,0,0,0.00623240628406604,0,0.0107708081720556,-0.0291500972198306,0,0.00798697992724385,0,0,0,0,0,0,0,0,-0.0579685642356155
VIX.INDEX,0.518667520584214,0,0,0,-0.154923386640922,-0.113569233593036,0,0,-0.156324423479197,-0.235141977127331,0,0,0,0,0.187986962583086,0.00000000000000000346944695195361,0.279739541844296,0,-6.36437902191964,0
