,BTC,ETH,XRP,LTC,DASH,XEM,ETC,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.169863987327615,0,-0.0332555241915534,0.156814030625238,0.149873541001946,0.229607603817692,0.196803866681671,-0.16384309500684,0,0.208139773692147,-0.314179840497191,0.0825135927778961,0,0,0,0,0
ETH,0,0,0,-0.0580058902161504,0.0220278271014345,0,0.187990887520902,0.792738884572851,0,0,0.145866189272962,0,0,0,0,0,0,0
XRP,0,0.0723336344468827,0,-0.114011537435543,-0.242285687196719,-0.0450116559104252,0,0,0,0,1.08147502773822,0,-0.428351585275761,0,0,0,0,0
LTC,-0.104563213054897,0.111891781400519,-0.0285977645253161,0,0.0565458365910314,-0.117313277226447,0.171440536909004,0.0345239699613456,0,0.393270574059072,0.12486682501606,0,0,0.244201925663243,0,0,0,-0.141833481543952
DASH,-0.108406806287697,0,-0.000000000000000000433680868994202,0,0,0.085682949357889,0.142410551446815,0,0.105345811105743,0,-0.216849192439343,-0.0239022573778509,0.0919351205235599,0,0.357589297385713,0,0,0
XEM,0.0344405748862712,0.267559932118297,0.014674287788903,0,0.126224937286918,0,-0.313171823699921,0.133918433071721,0,-0.135061382590238,0,0.211535169092082,0.323129595568622,0,0,0,0,-0.526198875737646
ETC,0,0.286773165145713,-0.0245228926993589,0.151807817391966,0.135229144032045,0.0528350740338743,0,0,0.0239826258210953,0.0669030927591677,0,0,0.0734688244636859,-0.457198467909119,0,0,0,0
XMR,0.264481947551051,0.282804421866417,0.0343056915535987,-0.111951326832547,0,0.0987861607762365,-0.188132182203396,0,0.0853809879382098,-0.0505289989419477,-0.0532857905268234,0,0.068342209546679,0,0,0,0,0
ZEC,-0.0850200792960414,0.0732993545028797,0,-0.104809599756604,0.273658361181124,-0.010621703000192,0,0,0,0.0959257674571561,0,-0.0390671706519627,-0.0805072590777974,0,0,0,0,0
DOGE,0,0.109398971134074,-0.00000000000000000346944695195361,0.264818703073831,0.0858357577914598,-0.122375627097921,-0.0988741998656719,0,0.205028306329264,0,0.268233351446094,0.0863566603498604,0.061081641251705,0,0,0,0,0.239252898187309
XLM,0.0917328383312624,0.0671773546374259,0.37238904579552,0.21668668327658,0,0,0,0,0.0567679266182412,0,0,0,0,0,0,0,0,-0.103036529853417
NEO,0,-0.0735528387823246,-0.0615293040491176,0,0.0316224426075351,0.0388614062846016,0,-0.307092001035225,0.253114555579284,0,0.202351567275485,0,0,0,0,0,0,0.0284653890925833
DGB,0.369282139895802,0.0511608224869259,-0.0587518905763052,0,0.00662766122524435,0.0797730861396491,0,0,0.118139035906373,-0.152608201122568,0,0,0,0,0,0,0,-0.0203800387005506
BV010082.INDEX,0.088777382820047,-0.000000000000000000433680868994202,0,0,0.0189726951669641,0.0109277259614644,-0.128832597183574,0,-0.00651652749643256,0.0254923443675467,0,-0.0059886560260021,0.0315329895387565,0,0,0,0,-0.0462541247824807
CVIX.INDEX,0,-0.035971913751712,0,0.0451176416136032,0,-0.152166500855481,0,0,0.189051631025417,0.0502869678671764,0,0,0.0401476891906995,0,0,0,0,0.27458678168252
DXY.INDEX,0.00940193258256771,0,0,0.000692105624720172,-0.00144226519383004,-0.011385756167174,0,0,0,0,0.00403241386390267,0,-0.00274444648293879,0.073156746911962,0,0,0,0.0248081094849709
SPX.INDEX,0.0152721929916357,0.00893191429479431,0,0.00185865134464318,-0.00258300725148094,-0.00119069631813641,-0.00604614440367565,0.00438476447272461,-0.0123180147362343,0,0.00232536955806877,-0.00563794830277669,0.000000000000000000216840434497101,0,0,0,0,-0.0383911033813153
VIX.INDEX,0,0,0.122965953000017,-0.0558169759431394,0.0507596446186757,-0.238503805481995,-0.0334982164829397,-0.182942587007759,0,0.107384861159379,-0.319964477334253,0,0.166738748944926,-0.735693019140673,0,0,-1.38598817960023,0
