,BTC,ETH,LTC,XRP,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0186281233043319,0.26690592481557,-0.0312531950293502,0,0,0.132977507267396,-0.084205332380847,0,0.0176206379261977,-0.157025328067308,0,0,0,-0.0486053106214478
ETH,0,0,0,0,1.42560624270176,-0.173373341151988,0.31023908791721,-0.844910079479256,0,0.280226910885538,0,0.212439320581058,0,0,0.550331397776979
LTC,0.701514532585231,-0.0098958095873305,0,0.252002982913731,-0.272272606548777,0,-0.155821375246048,0.0216772655075571,0,-0.00209191764142131,0,-0.0604147991181509,0,0,0
XRP,0.0706717372391499,0,-0.0398657728924729,0,-0.130095352754754,0.0710343558569668,0.0939126979184411,-0.0470204088968414,0.26234223272883,-0.154288410937155,0.11875673671885,0.293852412169114,0,0,0
DASH,-0.201817595678589,0.0557297079432417,0,0,0,-0.0340811824908826,-0.0387332043161738,0.0395871807429136,0.135634381173683,0.103552715440944,-0.129322039794027,0,0,0,0.136500560342912
XEM,0.60220016190973,0,0,0.281511413254466,0.394551753615806,0,-0.176415258022619,0.102171549967465,0,0.142006423865945,0,0,0,0,0.224834984922318
DOGE,0.358755992976138,0.0828813548332371,0,0,-0.0237195912441911,-0.115319422680884,0,0,0,0,-0.0713732275428456,-0.326442170846168,0,0,0
XMR,0.474421534111633,0.419513796882347,0,0,-0.123190893722386,-0.168135350002993,0,0,0.259560943142862,0,-0.701551035802949,0.106743847219606,0,0,-0.172865687708478
XLM,-0.351280780913178,0.025013609664274,0.0988633271080381,0.738170393721012,0.0727357322526304,0.0518367918528433,0,0.0583674193299752,0,0,-0.162702139854578,0.245091667166266,-0.928459352547041,0.647443459884541,-0.1598557139855
DGB,-0.722406217884678,0.335305469217177,0.590847888612696,0,0,0.278116398538424,-0.247092998194008,0.430576149268418,-0.338935644128419,0,-0.427235881247475,0,0,0,0.0365120438102355
BV010082.INDEX,-0.115212265884839,0.0390644771786298,0,0.113959166619731,-0.208563241391394,-0.000000000000000000433680868994202,0,-0.00670890102672719,0.0441860606677944,0,0,0.160677783357861,0,0,-0.123123426538769
CVIX.INDEX,0,0.0290408569404852,-0.242672667823658,0.0420152371726897,-0.217742496499209,0,0,0,0.271172256679351,0.012928722227984,0.0170786821803527,0,0,0,0.0567415221703634
DXY.INDEX,-0.00202819372203615,0.000755231927750648,0.0965257343139075,0.03607047539008,0.0388486546804759,0.0145639823493132,0,0.0217290213131769,-0.0595479786700664,0.0215283231581485,0.142586921484178,0.0681180132884155,0,0,0
SPX.INDEX,0,-0.00315869487040381,0,0,0,0.00589407653158705,0,-0.0112640434467711,0,0,0,0,0,0,-0.0807642867124791
VIX.INDEX,-0.166330654128541,0.0435597119527166,-0.296768251133783,0,0,0.0121140614250736,0.347957448353342,-0.154866180233814,0,-0.160952336265052,-0.252103399888138,0.536496933033931,0,-3.61858371795496,0
