,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,MIOTA,TRX,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0576724131661561,0,0.310468898800636,0,0.0311403261689226,0.160669481089673,0,0.103291123451354,0,0,0.0657146040070093,0,0,0,0,0,0,0,0.0364675848663255
ETH,0,0,0,0,0.197096898705741,0,0,0,0.0962401316830514,0.169010089658691,0.0441554179837451,0.0667465057518475,0.0322227766246538,0.141787166006041,0.0652443246499975,0,0,0,0,0
XRP,0,0.134338367839708,0,-0.0596000525523654,0.301267419391149,0.124286517311331,0,-0.138069762648904,0.0770481346969423,0.0962008001712084,0.220332665298593,0.00743329425736642,0,0,0.035980352868072,0,-0.214256475300168,0,0,0.0942519861568912
BCH,0.133645141249363,0,0,0,0,0,0.319564287676734,0.126479814468333,0.138905008941286,0.0730764572914566,0,0.194091569638591,0,0.01559208630938,0,0,0,0,0,0
EOS,0,0,0,0.327852364816523,0,0.217541726403705,0.357613811928976,0,0,0,0,0.228632014013233,0,0,0.130764884729468,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.202879196127636,0.19504468666517,0,0.157543243298002,0.129157743807382,0,0.162112074224632,0,0,0,0,0,0
LTC,0,0,0,0.448201655287555,0.192309004280564,0,0,0,0,0.123820180164683,0.125812940999748,0,0,0,0.0089837189779206,0,0,0,0,0.0473702808016857
ADA,0,0,0,0.272187922073472,0,0.29682482344952,0,0,0,0.107855933279131,0,0.144200182940897,0.0370203569995591,0,0.0904592364465179,0,0,0,0,-0.0621744413831823
XMR,0.44924635200237,0.0785323680170552,0,0.13895668060612,0,0.0293043381874074,0.24013278156927,0.139039434075345,0,0.020752421262349,0,0,0,0.113499366140817,0,0,0,0,0,0.0338575909539292
ETC,0,0.792443620984759,0,0,0.196041528621313,0,0,-0.034763417126619,0.00431600230554295,0,0.316038050170338,-0.214597798468826,0,0,0,0,0,0,0,0
MIOTA,-0.00000000000000000693889390390723,0,0.288692907624145,0,0,0,0.106179632544048,-0.0337668363732895,0,0,0,0.225430530186704,0,0.614283595696618,0,0,0,0,0,0.0437708727526316
TRX,0,0.065742322842809,0,0,0.125972872864426,0,0,0.0982342563397496,0,0,0,0,0.281656835873884,0.196357189942094,0.186968764991192,0,0,0,0,0
DASH,0,0,0,0,0,-0.0137703575859329,0,0.288290074012359,0.190355459480056,0,0,0.0622533077395697,0,0.195476440582316,0.0690039967025241,0,-0.0251121079552116,0,0,0
NEO,0,0,0,0,0.00563129819687807,0,0,0.05221816692386,0.00631756690136583,0,0.425131980046136,0.353415246123521,0.0479571338932245,0,0.0876303199773373,0,0,0,0,0
BNB,-0.098456576164723,0.666063294559333,0,0,0,0,0,0.0327654481553206,0,0,0.179902533822914,0,0,0,0,0,0,0,0,-0.0474063966199866
BV010082.INDEX,0,0,0,0,0,0.010497280722772,0,0,0.0208581070537559,0,0.00256417863701264,0,0,0.0167169145038359,0,0,-0.115392619347867,0,0,-0.0271455363992196
CVIX.INDEX,0,0,-0.0950577137780135,0,0,0.0904045638981655,0.0560733795169764,-0.0317093893117682,0.163168440951158,0.0537116641115505,-0.0610483043800534,0.0854097998272431,-0.223074928608704,0.0834915359676187,0,-1.08651386512375,0,0.688852926706627,0,0.0852635405390917
DXY.INDEX,0,-0.022347191957716,0,0,0,0.00817272534309773,0,-0.0123687038075879,0.0199286123531217,0.024045504889328,-0.0151424566637059,0,-0.00469650445987236,0.00610300590507163,0,0,0.109976726596166,0,0,-0.00221759871784358
SPX.INDEX,0,0,0,0.00915384045574935,-0.0142583840872517,0,0,0.0108340852226704,0.00590305914681338,0,-0.0221730585177449,0.00753744578960617,0.00605486378466309,0,-0.00733693939858576,0,0.0139513729524999,0,0,-0.0598492287525552
VIX.INDEX,0.843625430304841,0,-0.330787952654095,0,0,-0.099330591444136,0,0,-0.371443726559787,0,0,0,-0.205409040505925,0.282481698217539,0,0,0.0513707894114226,0,-1.97719123483227,0
