,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0505653166569884,0.625188122091806,0,0.110728296130089,0.0496088686782061,0,0.0708788289357892,-0.0410821273933932,0,0,0,0,0,0
ETH,0.894814879470124,0,0,0,-0.0773098698256927,0.175668653157795,-0.0430122177557241,0,-1.81779574478126,-0.106840314909925,0.265243484915692,0,-0.385088040418071,0,0,0.040807912795482
XRP,0,-0.0511943646784406,0,0.0615184327046147,-0.0000000000000000000135525271560688,0.0409359057823632,0,0.0986278246497308,-0.0374215456722631,0.0699598822312148,-0.00877046322422956,0,0.465811262279658,0,0,-0.15350632032038
LTC,0.957790129579897,-0.0842479057519626,0,0,0.0157649685149925,0.323127971766599,-0.085186508709335,0,0.021710701306185,0.113387116181754,0,0,0,0,0,-0.0810724595011206
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.015183732472728,0,0.190524741278605,0.0114504866043857,0,-0.0179902194576866,-0.0995369443620386,0,0.140490992092879,0.0950215221977333,0,0.243236673324269,0,0,-0.0268680987257407
XEM,1.29309764638659,0.0214729523579935,0,0,0.0568660221975746,0,0,0,0,0.546209103947095,0.269300100532606,0,0.47113314557429,0,0,0.179160873341321
DOGE,0.12929014964141,0.0664843898523587,0,0.378250037389583,0.0207101493576278,0,-0.0667135851983065,0,0.187503709071295,0.0757320082353575,0.0122994359581069,-0.326851392431551,-0.232548125438792,0,0,0.0690432670479416
XMR,0.843020105795024,-0.319990329382501,0,-0.0630152092888717,-0.0858720472679354,0.183851991167289,-0.0256884861626841,0,0,-0.25073183408264,0,0,-0.157306722508706,0,0,0
XLM,0.0865613286420006,0,0,0.265209433765377,-0.0542169134328864,0.1462007287366,0.187399274422563,0,0,0,-0.105599592122456,0.850810923564477,-0.433720085189657,0,0,0.277284105815528
DGB,-0.786328033994397,0.181226380571734,0.0779072799431763,0.604405805623278,0.0324909957957637,0,0.130568188339523,0,-0.199762497555667,-0.0262442492652648,0,0,0.168399602988061,0,0,0
BV010082.INDEX,-0.237711782217623,0.0156242072198279,-0.167332496096763,-0.0000000000000000138777878078145,0.02996138783553,0,0.0279194770830262,-0.00323008880747215,0,0.0423433257522814,0,0,0.110303636315806,0.637336150499817,1.41266088384494,-0.0310466135424237
CVIX.INDEX,0,-0.143716769291708,0.0644178416336165,-0.0729032816530303,0.012582687288418,0.401258614683814,-0.0165587436510064,0,0,0.067015275150235,0,0,0,0,0,0.149775728130699
DXY.INDEX,0,0,0,0,-0.000757039811505365,0.0426781516697059,0.00639196645197271,-0.0334558133915466,0,-0.00337541864581697,0,0.182661291173068,0.0397473016852713,0,0,0.0135311191197067
SPX.INDEX,0,0,0,0,0,0,-0.0106739254882073,0,0,0.0161478795319053,0,0.0174412556950097,-0.011032536618177,0,0,-0.0814708822855029
VIX.INDEX,0.158847437864739,0.297687724542777,-0.668924704140696,0,0.121972465515475,0,-0.169858272553265,-0.79588614649466,0.121798071467377,0.580764115696539,-0.310767126714288,0,1.21010193017115,0,-1.1722783817832,0
