,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0180139045440728,0.0397856656046801,0,0.079418714470907,0.325375391668271,0,0.151142542357336,0,0,0,0,0,0,0,0,0,0,-0.00760397898759693
ETH,0,0,0,0.297493564710878,0.128352832193998,0,0,0.099237799494547,0.0189237066193586,0.0230793610266498,0,0,0,0.234155507354609,0.191054252788173,0,0,0,0,0
XRP,0,0,0,0.131179724682182,0.110561911189326,0.0592872073358798,0.0778802519664653,0,0,0.2349555105166,-0.0202786995148916,0,0,0.168347433080922,0.0584084900317036,0,0,0,0,0.0353906801613528
BCH,0,0,0,0,0.33931279691653,0,0.117481701000705,0.134018962193451,0.00400019450094675,0.0389693059220221,0.0633729188558066,0.0239444609213447,0,0,0,0,0,0,0,0
EOS,0,0.0285191309731117,0.253520616650935,0,0,0.0376459769399427,0,0.111018262706166,0.123781695183261,0.0932722587185167,0.103682321446896,0.296313469379831,0.0679934678796402,0,0,0,0,0,0,0
XLM,0,0,0,0.201478636922459,0,0,0,0.222066492143717,0.216613950579122,0.0429062742513345,0,0.174361341005287,0.0357573659338294,0,0,0,-0.121759915709351,0,0,0
LTC,0,0,0,0.355670722042162,0.152043561279686,0,0,0,0,0.172539105515841,0.0243743548485035,0,-0.00000000000000000173472347597681,0,0,0,0,0,0,0
ADA,0,0,0,0.180976390266559,0,0.223856819043208,0,0,0.177059739040096,0.249732981495019,0.0553614134014576,0,0,0,0.0656610229797295,0,0,0,0,0
XMR,0,0,0,0,0.19173366303503,0,0,0.188272368129216,0,0,0.0990605033277876,0,0.143617372233685,0.148290292461444,0,0,0,0,0,0
MIOTA,0,0,0.367546128509229,0,0,0.0284310540819496,0,0,0,0,0,0.363237619860222,0.28756762059816,0,0,0,0,0,0,0
DASH,0,0.128039525904645,0,0,0.0851889193555771,0,0,0.294941867151863,0,0.048594220486932,0,0.214986043055453,0,0.0535180481621386,0,0,0,0,0,0
TRX,0,0,0,0,0.139318486282485,0,0,0.086550616158989,0,0.00368788130435148,0.00571956766634101,0,0.488576011425686,0,0,0,0,0,0,0
NEO,0,0.345263345593889,0,0.328467530113975,0.00000000000000000173472347597681,0,0,0,0.0254996617298802,0.160314333422863,0.0752576144406703,0.102561817468004,0,-0.034071335183579,0.188329339514756,0,0,0,0,0
ETC,0,0.319697817770884,0,0,0,0.102357916588364,0,0,0.113536888461129,0.408758247419243,-0.215045553182514,0,0,0,0,0,0,0,0,0.0286542244826126
BNB,0,0,0,0,0,0,0,0,0.116629360984535,0.0637377823040243,0.190027780381379,0,0.365291825295723,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0622897762967777,0,-0.061436442741202,-0.00173218584126014,-0.195101049741094,0.0770428180623986,0.000000000000000000433680868994202,0,0.035329261416232,0.0337567642484522,0,0.0282069036433454,0,0,-0.0379555283247249,0,0,-0.0442368883392587
CVIX.INDEX,-0.184014329589315,0,0.0228053774327449,0,-0.137639376009839,0,0,0.174271309435864,0,-0.0320023641525058,0.0263642331565014,0,0,0.229355936364606,0.163802807535376,0,0,0,0,0.0227046408886402
DXY.INDEX,0,-0.0107912198351086,-0.024022616719643,0,0,0,0,0.0241648481159902,0.0110166935281612,-0.0115799942582621,0,0,0,0.0100366988093113,-0.0116830573919246,0,0.0905889247603985,0,0,0.00642381946052663
SPX.INDEX,0,0,-0.00238039547598056,-0.0132419781999373,0.0143997990271536,-0.0189434566353466,0,0.0206143671976854,0.00760704386420068,0,0,0,0,0,-0.0262791276962047,0.0699812506704871,0.000816912699759707,0,0,-0.0505394214537034
VIX.INDEX,0.152394339091685,0,-0.0518877595874776,0.11509594234617,0,0,0.236359246237648,0,0,0,-0.240300917085735,0,-0.219591557557334,-0.285892964917267,0.351067454658473,0,0.407259201288791,0,-4.61982823507917,0
