,BTC,ETH,XRP,BCH,EOS,LTC,XLM,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0260350148801639,0,-0.0112444618909136,0,0,0.162133132729839,0.0189306960337503,0,0,0.0864478375155968,0.36968512062567,0.110442954613793,0.0216064104599855,0.0543028589149367,0,0,0,0,0
ETH,0,0,0.212596202046153,0.0794793813060013,0.0458889291106122,0,0.0107092633801132,0.00956086538590485,0.0568009128225836,0,0,0.367568170387724,0.102509142817938,0.0763969164384658,0,0,0,0,0,0
XRP,0,0.217521167941663,0,0.0273740217077218,0,0.212384037988344,0,-0.0100026325240339,0,0,0,0,0.0680037410774082,0.0407565908817619,0.112962984664854,0,0,0,0,0.0154987041736704
BCH,0,0,0,0,0.25926889414616,0.343365622202675,0,0.12319991737286,0,0.412729226404324,0.0740600263657046,-0.256575780820849,0.296269696629653,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,-0.114827724849011,0.76721007757047,0,0,0.101920980819102,0.128188117239398,0,0,0,0,0,0.0343286714311596
LTC,0,0.051418384303005,0,0,0.159465732836017,0,0,0.0210117906266071,0,0.0751050673141495,0.126329985317563,0.164878801367116,0.0211755218634168,0.0819514005695804,0,0,0,0,0,0
XLM,0,0.159131108920287,0,0.112035632332017,0.0517477190148979,0,0,0,0,0.0425389811218342,0.0469419002434031,0.206421901494896,0.118531129650625,0.000000000000000000433680868994202,0,0,0,0,0,0
BSV,1.06219302816614,0.194257857664602,-1.77856321511556,0.539065085127557,0.147721820635793,0,-0.490700125728094,0,0.431836433303126,0,0.357263237232541,0,0.425157442774684,0.124378545912097,-0.302919060029064,0,0,0,0,0
TRX,0.108232986449477,0,0,0.0407416427557963,0,0,0,0.0177206214626188,0,0.251657033083754,0,0.267855935809211,0.0656098207539182,0,0.0808357127615606,0,0,0,0,0
ADA,0,0,0,0.124517163533254,0.166114275620568,0,0,0.00499684165616016,0.174644446590925,0,0.15664892477485,0.211753685120024,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0724887325806153,0.0930485797398286,0.0966337357673192,0.219718124504179,0.0588701918672455,0,0,0,0,0.118051840912959,0.0700704894181673,0.225260193788909,0,0,0,0,0
XMR,0.256524173621303,0.21923125615506,0,0,0,0.0956618302319491,0.0401457609674902,0.0105383396213017,0,0.303301687758542,0.028679243971292,0,0,0.0291876691979961,0,0,0,0,0,-0.00629267205327539
BNB,0,0,0,-0.0433725879071448,0.172944279254884,0.30723546355848,0,0,0.0631576496297729,0.427731831710905,-0.0159478691645718,0,0,0,0,0,0,0,0,0
DASH,0,0.211961317279591,0,0,0.273821413329861,0.0825287584160797,0.0897578826042773,0,0,0,0,0.263151060840145,0.0545218246911159,0,0,0,0,0,0,0
XEM,0,0,0,0.165513900138132,0,0,0.28447482664492,0,0.068650367952591,0.184759186401721,0,0.0000000000000000138777878078145,0,0,0,0,0,0,0,0
BV010082.INDEX,0.176072276145041,-0.213404767198711,-0.025624489551455,-0.0178007721102402,0,0.0594005484050716,-0.0835648123645426,0.0133639612185156,-0.0700080524224656,0,0.0725173984207168,0,0,0.0679224364127918,0.0575107629834783,0,0.0454790811499046,0,0,-0.0752016299558118
CVIX.INDEX,0,0,0,0.0390978287474973,-0.0488295461451217,0,0,0.023648291062545,0,0,0.0768661911833512,-0.0503936967907557,-0.108881008707562,0,0.062424771919024,0.158542642194122,0,0,0,0.113833648528015
DXY.INDEX,0,0,0,0.00180286319312511,0,0,-0.00152744082256154,0.00519881480446816,-0.0323876142512488,0,0.0029140447234287,0,0.00562044851032246,0.00424139329448483,0.00762352271337417,0.0525808349479294,0,0,0,0.00378001617115334
SPX.INDEX,0,0,0,-0.0108636762679513,0,0.0235319842811422,0,0.014028597316817,0,0,0,0,0,-0.0483662975730491,0.0500320843541578,0.0826804550107571,0,0,0,-0.120677440179906
VIX.INDEX,0,-0.368200335740353,0.660945971463405,0,0,0.265605522914677,-0.0834985681715049,0.0785649598202926,0,0,0,-0.517216621885713,0.11855911930174,0,0.151630577112059,0,0,0,-4.96220075302111,0
