,BTC,ETH,XRP,BCH,XEM,LTC,MIOTA,NEO,DASH,ETC,XMR,EOS,ZEC,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.124965130158147,0,0.242188676680232,0.0419984126893268,0.031144065617791,0.0657749231672411,0.0556716537450033,0.0591411614471181,0.0513533951812517,0,0,0,0,0,0,0,0.0852695843295469
ETH,0,0,0.121376036200642,0,0,0,0.0710978441432026,0,0.0593784603833072,0.27164676854699,0.00000000000000000693889390390723,0.036587269749067,0.0154505482697895,0,0.194723553183695,0,0,0,0,0
XRP,0,0.135213421172067,0,-0.0186984626518383,0.176146707191494,0,0.0973340066860437,0,0.116081132029462,0,0.0833844663652176,0.0373745602826903,-0.0571397148639494,0.10283965500816,0.0932959704171792,0,0,0,0,0
BCH,-0.340710820884639,0,0.899936704171742,0,0.713951891598065,0,-0.402106983314915,0,0.0115023231533837,0.333268837803771,0.673762102160621,0.0482463793103955,0.614097416132718,-1.52388799379438,-0.136303295287748,0,0,0,0,-0.172063485837201
XEM,0.104067556892117,0,0.250474821880992,0,0,0,0,0.0404343684956582,0,0,0.223280824610637,0.0372902330448724,0,0.0414777687068994,0.058747602615304,0,0,0,0,0
LTC,0.252415829416857,0,0,0,0,0,0.00326470898856846,0.0670365341653145,0,0.167206893777782,0.0000000000000000138777878078145,0,0.126078330194325,0.132593782702571,-0.0847837453511734,0,0,0,0,0
MIOTA,0.591793537329318,0,0.461877642623253,0,0.0652875747173777,0,0,0.0306595744614977,0,0,0,-0.00864169649340478,0,0.536563918552864,-0.201652618048011,0,0,0,0,0
NEO,0,0.0460416519168999,0,0,-0.00000000000000000173472347597681,0.0998945613301655,0.0604027568965589,0,0.290738597430901,0,0,0.070122100813322,0.0600143266605375,0,0.164485438425098,0,0,0,0,-0.144423104882631
DASH,0.0829445333306991,0.107202416401193,0,0,0.131643090155986,0,0,0.058583838855729,0,0.144097168363713,0.297027535309412,0.0211021870314263,0,0,0,0,0,0,0,0.12354717692118
ETC,0,0.189784489427626,0,0,0,0.105319287501165,0.0381625574942992,0.00573154053406638,0,0,0.235267001667183,0,0,0,0.0332171305605354,0,0,0,0,0
XMR,0,0,0,0.0280917042535813,0.108724385046476,0.145758024054162,0,-0.0120834269288231,0.422386728474933,0,0,0,0,0.222983291533608,0.0808332009815598,0,0,0,0,0
EOS,0,0.0603451071491627,0,0,0,-0.260590372298412,0,0.0806966482115072,0,0.54186279475377,0,0,0.228527570578999,0.242655577842892,0.113190603035217,0,0,0,0,0.0300503153863719
ZEC,0,0.148502207588276,0,0.00147226026613316,0,0,0.180753032406158,-0.000000000000000000216840434497101,0,0,0.115945922598247,0.0422429184469153,0,0.113308043727543,0,0,0,0,0,0
XLM,0,0,0.0723249662402086,0,0,0,0.125173408070445,0.0256911154417875,0,0,0.460947959656639,0.103240846679304,0.142572665169084,0,0.13954811635114,0,0,0,0,0
BAT,0,0.186188056661333,0.0486853713717699,0.0432818849950977,0,0,0.18731341184205,-0.0121266385832446,-0.0225425090802435,-0.247973370814677,0.254988909391757,0,0,0.321980624881975,0,0,0,0,0,0
BV010082.INDEX,0,0.00272752875560268,0,0.0110920277432645,0,0,0.00593077266925317,-0.00930714767218834,0,-0.0180413774680379,-0.011405123863937,0,0.0353761882418731,0,0,0,0,0,0,0.00326868641655566
CVIX.INDEX,0,0,0,0,0.0104448905688807,-0.0187569869128011,0.0562881917637719,0.0240538721993947,0,0.00467961413998278,0,0.0206831315455475,-0.101780174549057,-0.056506499946175,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0.00357243704809113,0,0,0,0,0.0041003923184523,0,-0.00312271947134694,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00276568624393942,0,-0.000377825655568716,0,-0.00151427409714736,0,0.00151547380600162,0,0,-0.00113333030419283,0,0,0,0,-0.0570929739172622
VIX.INDEX,0,0.0983551029734692,-0.182333918169678,0,0.0736738553508493,0,-0.0170564063777176,-0.101479673734653,-0.0000000000000000138777878078145,0.142892878725932,0.196700570040992,0.0411056372591352,0,-0.244181340870937,0.134629063194946,0,0,0,0,0
