,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.14591635912292,0.0384441569227201,0.0581764583477911,0,0,0.134993731802214,0.00758231178504641,0,0.0697429599979082,0,0.103548992044666,0.0377157438553932,0,0,0,0,0
ETH,0,0,0.194065948808064,0.321161636627475,0,0,0,0,0.100297015008165,0,0.00781025283295084,0.0813214441022832,0,0.119095099236504,0.0704500194603567,0,0,0,0,0
XRP,0,0.0927662899666627,0,0.169008601710643,0,0,0,0,0.100605797706162,0.121570912278158,0.142807266628328,0,0,0.0444097025566066,0,0,0,0,0,0
BCH,0,0,0,0,0.461214829969788,0,0,0.162232832108905,0.0387257026590895,0,0,0.0435896680565991,0,0.0588385723475366,0,0,0,0,0,0
EOS,0.56536977135045,0,0,0,0,0.0340298048725523,0.231202908862283,0,0,0.230968177626574,0.0304881119342745,0,0,0,0.367043357429766,0,0,0,0,0
XLM,0,0,0,0.0768876155107225,0.131921104056732,0,0,0.472605542504146,0,0.0535418240232327,0,0,0.172841354834753,-0.0374866530817817,0,0,0,0,0,-0.0215166409587532
LTC,0,0,0.114946307721487,0.380163390615076,0.00548181639843275,0,0,0,0.046802857223729,0,0,0,0,0.0934576951753336,0.154044842562444,0,0,0,0,-0.00622357523697946
ADA,0,0,0,0.242314548544485,0.0476758552034931,0.251676879222569,0,0,0.0110639726128008,0,0,0,0,0.0133329536091121,0.241744684298509,0,0,0,0,0
MIOTA,0,0,0,0,0.072021150238187,0.156031903855656,0.410366969024933,0,0,0.0636082868822352,0.42621346077105,0,0,0.0439249956155961,0,-0.0700631770116486,0.502583741549644,0,0,0.103148953955026
TRX,0,0.100670700604835,0,0.469470123699124,0.207623817475354,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0.056297360087388,0,0,0,0,0,0.0000000000000000000067762635780344
NEO,0,0,0,0,0.0689013665015904,0,0,0,0.512154183934106,0,0,0,0,0,0.333413700373934,0,0,0,0,0.0718612886062712
XMR,0.340844791238117,0.299780111491481,0,0,0,0,0,0.0888612710337891,0,0,0.169735623217321,0,0,0.00995848795332,0.114255371717593,0,0,0,0,0
DASH,0,0,0,0.186054308879189,0,0.0944095504449725,0,0,0,0.0113074179797115,0.0849610850333573,0.0377523700474694,0,0,0.226050492129958,0,0,0,0,-0.0587017101431338
ETC,0.299858905667713,0,0,0,0.225839051372281,0,0,0,0.275081345643041,0.0798042146920004,0,0,0,0,0.0837789954893602,0,0,0,0,0
XEM,0,0,0,0,0,0.164993060857773,0,0,0,0.180944146811466,0.295144383998429,0,0,0.119856186927652,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00443862117186896,0,-0.129056276428225,0,0,0,0,0,0,0.147898328760696,0,0,0,0,0,0,0,-0.122794948535827
CVIX.INDEX,0,0,0,0.114790042092649,-0.00000000000000000173472347597681,0.0651801544627118,0,-0.125828325064491,-0.118107538106383,0,0.182250497746451,0.167221985501953,-0.311110312698402,0.0990852342682786,0,0.108039708114486,0,0,0,0.111876405159665
DXY.INDEX,0,-0.022358126520527,0,0,0,0,0,-0.00000000000000000010842021724855,-0.0283462091246814,0.013481445677939,0,0.0210899110841095,0,0.0261533439851134,0,-0.00308217023440795,0.1035280116725,0,0,0.00493016731763991
SPX.INDEX,0.0340306128662228,0,0,0.00598428955162191,0.00407123574689133,0.00934783869932298,0,0,-0.0319952927679221,0,0.00572568482760362,-0.00339678361588229,-0.0107644845245256,0,0,0,0.00386587334659876,0,0,-0.0573242468903232
VIX.INDEX,0,0,0,0,-0.0306480961893422,-0.059988928892043,0,0,-0.067638083267227,0,0.0000000000000000138777878078145,-0.235319851405161,0,0.108846427477121,0.0262807568905584,0,0.209572660491778,0,-8.75862856101904,0
