,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,INNBCL,LINK,ADA,XLM,LEO,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.12663978044177,0,0.0919642780240586,0.160412756848709,0,0.0565456348592887,0.0000000000000000000271050543121376,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.189484870153518,0,0.112615822387098,0.110540779150818,0,0.142352236578071,0.00202571232634187,0,0,0.0916392908419293,0,0.23335204824325,0,0,0,0,-0.000246650108687645
XRP,0,0.129544651500291,0,0.159222516320957,0.00284785491599763,0.168720195790608,0.0746918563503667,0.0400913188601498,0.0889391680033524,-0.000256126600326354,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.247183846561391,0.215610418268095,0.0443707567169409,0.240465670205619,0,-0.000531969313765819,0,0,0,0,0.0603921923326243,0,0,0,0,0
BSV,0,0,0,1.04325288159662,0,0,0.510878109776511,0,0,-0.0170907140428664,-0.0349439898470129,-0.177785808024939,-1.0166368330562,0,0,0,0.16629193213594,0,0,-0.123513006862716
LTC,0,0.211840349770143,0,0.1715483541273,0.038715320982445,0,0.171266574370406,0,0,-0.000810645936193713,0,0.0965574471304638,0,0,0.179306450636238,0,0,0,0,0
EOS,0,0,0,0,0.158130732747607,0.012870017761804,0,0.345896544327363,-0.0147540837808437,0.00457431124980061,-0.00353521009178021,0.349105129994685,0,0,0.138619174772395,-0.0784062255543493,0,0,0,0
BNB,0,0.345923876819986,0,0.218895014987187,0.000000000000000000433680868994202,0,0,0,0.0804295434588043,0,0.0512348916796417,0,0,0,0,0,0,0,0,0
XTZ,0,0.284554645271876,0,-0.00000000000000000173472347597681,0,0,0,0,0,-0.00489252631069505,0.416575686419882,0,0,-0.0576622814133486,0.12238569816438,0,0,0,0,-0.0189490872622158
INNBCL,0,15.6778745352476,4.87937760288947,0.000000000000000111022302462516,-4.32663078250344,1.38073702204973,0,0,-8.14960400099626,0,0,-18.0493546591587,0,10.5218905847438,0,-2.32988402952212,0,0,0,-3.1207114034619
LINK,0,0,0,0,0,0,0,0,0.22443073866522,-0.00785293893702993,0,0,0,0,0.371656818130499,0,-0.0162258391718658,0,0,-0.0978252169500016
ADA,0,0,0,0,-0.0385628179582924,0.275275222135188,0.256418920189284,0,0,0.000731850536919894,0.082991954558234,0,0.0775812709096578,0,0.221599575756019,0,0,0,0,0
XLM,0,0.0658342260857989,0,0.1406733692774,0,0.0639643545936576,0.00555068313301914,0,0,-0.000344475226521589,0,0,0,0,0.20631620653905,0,0,0,0,0
LEO,0.00404805337463698,0,0,0,-0.0224616609954559,-0.112765361559582,0,0.256597948101129,-0.000000000000000000867361737988404,0.00913365836713549,0.0331911546427524,0.192755483221414,0,0,-0.0722174600590787,-0.0979464683586194,0.0947193504792198,0,0,-0.0348421914612055
TRX,0,0,0.0211199059053495,0,0,0.256251712813135,0.217983319421862,0,0,-0.00166436732962749,0,0.289153416069141,0.111227710814737,0,0,0,-0.00843511513368291,0,0,0
BV010082.INDEX,0,0.558084804469515,0,0,0.0449346511327386,0.095687239176459,0,-0.856465850189685,-0.0858289812658357,-0.00918639768683877,0,0,0,0,0,0,-0.144509169649287,0,0,-0.13499545160415
CVIX.INDEX,0,-0.0872708064098442,0,0,0.0404967015705953,0,0,0,-0.0745997182747486,-0.00197448794746794,-0.0641606943836522,0.436499824402565,0,0,-0.400405741508929,0.1503742593698,0,0,0,0.0305526938910479
DXY.INDEX,0,0,0,0.00650826063361796,0,0,0,0,-0.00501976684498345,-0.000561780247212152,-0.00687941267418094,0,0,0,0.00410705108362786,0.0236914129882374,-0.023315315294421,0,0,-0.00785050827450649
SPX.INDEX,0,0,0,0,0.0000000000000000000016940658945086,0.0162124557096802,0,0,0,-0.000471267516131855,0,0.0177419423141417,0,0,0,0.0739726141145806,0,0,0,-0.109357731520697
VIX.INDEX,0,0,0,-0.317053096057113,-0.00000000000000000693889390390723,0,0.186397985714896,0.0986466780445985,-0.000000000000000000867361737988404,-0.00619658210300709,0.0351138436961027,0,0,0,0,-0.0254974416857415,0.0524588856562374,0,-3.92005868663549,0
