,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0350593818185844,0,0,0.086907611846238,0,0.148827302745085,0,0,0.00250436685460534,0.0226907989951067,-0.000000000000000000867361737988404,0,0,0,0,0
ETH,0,0,0,0,0.159423621941924,0,0,0.0513311789956281,0,0,0.0347019244878309,0.0160633269909491,0.0275661575605702,0,0,0,0,0
XRP,0,0.00000000000000000173472347597681,0,0,-0.330264506674065,0,0,0.204303248885901,0.328601385532616,0,0.110860675355963,0,0.0918570166140999,0,0,0,0,0
XEM,0.337329697037425,-0.142416443419702,-0.0712844711822019,0,-0.632366755574827,0.101503586740467,0.157684387898674,0.0556483332215999,0.0479338042585611,0.0837928479236662,0,-0.00654538459024466,0.454838040634966,0,0,0,0,-0.10715177106136
ETC,0,0.334962510756032,-0.102474162891201,0,0,0.0440958501148319,0,0,0,0,0,-0.0166053853974592,0.172561801866843,0,0,0,0,0.0939680499157859
LTC,0.471517939705546,-0.0388653718241268,0.0188228513246953,0.171552817082456,0,0,0.301214126454748,0.186178932814931,0,-0.138616700644857,0.13228209528906,0,0.232869843834315,0,0,0,0,0.071805729295819
DASH,0,0.175208367973767,-0.0392877693460039,0.167385518558091,0,0,0,0.286123041465853,-0.000000000000000000867361737988404,0.417033353438322,-0.0446077603845475,0.0625869847213659,0.0333067652422688,0,0,0,0,0
XMR,0,0,0,0.198674070554206,-0.13084398995234,0,0.436716199331727,0,0.0899379085578169,0.0838561065937549,0,0,-0.14614642068732,0,0,0,0,0
XLM,-0.426236691968223,0,0.382661066035395,0.0916695331281844,0,-0.190412207712916,0.323785289845528,0.393918524028298,0,-0.226233287550968,0.0818667156243592,0.137993871488366,0.241985345627116,0,0,0,0,0
ZEC,0,0.0395055305425412,0,0.0281140861891631,0,0,0.209536451919321,0.000000000000000000867361737988404,-0.0419734343257634,0,0.201702993424039,0.0359287619276888,0.0389031683705871,0,0,0,0,0.0251023739336296
DOGE,0,0,-0.00358384102699947,0,0.00000000000000000693889390390723,0.359072334391995,0,-0.0571695863414041,0.2655677856009,0.40924986655224,0,0.0165509053622142,0.0708381282686554,0,0,0,0,0.474972847230602
DGB,0,0,0.0112335141349094,-0.109472156531581,-0.799876536806499,-0.0607920371825364,0,0.533665725384363,0,-0.258190945010464,0.211196464977223,0,0.636738595132437,0,0,0,0,0
NEO,0,0,0.104825589615677,0.042259747379701,0.292218889176307,0.469259721774682,0,0.16483964931763,-0.0781162475853346,0.357147053920517,0,0.0941545639045385,0,0,0,0,0,0.000000000000000000433680868994202
BV010082.INDEX,0,-0.0147504654969258,0,-0.00341778158545937,0.033315708274532,-0.00502848747026228,-0.0140286975628752,0,0.0159073278635286,0,-0.00554745000130915,0.00883669910405616,0.00795797334380592,0,0,0,0,-0.057346549225729
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0237116971300946,0,0,0,0,0,0
DXY.INDEX,0,0.00449529871396979,0.00163509706177727,-0.0148509307173384,0.015806771022628,-0.00740895388145282,0,0,0.00623369962213687,0.000270920663137371,-0.00391534105563923,-0.00311783925225888,0,0,-0.00494782607833839,0,0,0.0134936543792423
SPX.INDEX,0,0,0,-0.00256805257479541,0,0,0,0,0.00322369985447871,0,0,0.00116188622285911,0,0,0,0,0,-0.0387432918218807
VIX.INDEX,0,-0.0292382281365499,0.0780057710796985,0.00000000000000000346944695195361,0.0675465879304579,-0.0528958625512997,0.293678637486058,-0.260571098570929,0.0328920629916966,0.00917004915517917,0,-0.105998950721673,-0.0613012507698239,-1.11168561466378,0,0,0,0
