,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,DASH,XMR,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.158641827719039,0,0.0532966873936156,0.0926358432961118,0.0404215969781677,0.0167849321650468,0.0529308659137211,0,0,0,0,0,0.0396300522881284,0,0,0,0,0,-0.0003982498440465
ETH,0,0,0.0395219717938612,0.000000000000000000433680868994202,0,0.253658464599122,0,0,0.122670937154146,0,0.0476016973420947,0,0.114172102860903,0,0.0559011181539323,0,0,0,0,0
XRP,0,0.125510891976359,0,0,0,0.104233281289167,0,0.131908245793667,0,0,0,0,0.185183173816228,0.116179804199307,0,0,0,0,0,0
LTC,0,0.252880033339192,0,0,0.154515866480315,0.105828878918444,0.143340356559373,0,0.142293163066827,0.225946671981575,0,0,-0.215787101639151,0.283524181598184,0,0,0,0,0,0
BCH,0,0.301183072978132,0.330517234454602,0.108067132255762,0,0.172933362990016,-0.0791540437189495,0.108189829693944,0.0700582698103707,0,0.0593268457180439,0,0,0.00000000000000000346944695195361,0,0,0,0,0,0
EOS,0,0.246337690065419,0,0.208712639571958,0.189794645048986,0,0.00204620262543806,0.000153447369918088,0,0,-0.182642434031634,0.188381601653785,0.161840807747483,0.0987607103016422,0.247235481355985,0,0,0,0,0
BNB,0,0.0534227524443082,0,0.344325168564196,-0.126871380163711,0.0662279306527295,0,0,0,0.580403759789557,-0.240447565470918,0,0.13593695161065,0,0,0,0,0,0,-0.085100669616016
XLM,0,0.0872764518368873,0.142356998144281,0.158491913338689,0.0222965196931135,0.0485682275931516,0,0,0,0,0,0.167846629098948,0,0.103922461803599,0,0,0,0,0,0
ADA,0,0.0683988319677267,0,0.196115840894746,0.284439282395555,0,0,0.0290634950142841,0,0,0,0,0,0.321885496213698,0,0,-0.102666423757532,0,0,0
TRX,0.264853764984164,0,0.159372749121905,-0.0764962821417307,0,0.00500471381176013,-0.11041557868756,-0.00000000000000000693889390390723,0,0,0.177737716228062,0,0.292221005692526,0.163387632605461,0.0135600739892884,0,0,0,0,0.0499250059272178
BSV,0,0.184446608785998,0,0.0454834721363628,0.207171882218007,0.025292404993843,-0.0360069650931395,0,0,0.0473281490703018,0,0.179585929492274,0,0,0.0725754056727947,0,0,0,0,0.0264731832575976
DASH,0,0.119885062689754,0,0.0610847085195163,-0.00000000000000000346944695195361,0.102955652174658,0.0441897701720183,0.119968693665288,0.170133084313893,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.332497606898159,0,0,-0.0623192562733905,0,0.0558179510478946,0.197127642442271,0,0.197819548344109,0,0.141066553917041,0,0.0981801475979244,0,0,0,0,0,0
MIOTA,0,0.289751163758533,0.240258379885682,0.0335771415102488,-0.0293497364278431,0,0.00569207298780358,0,0.0982756589517262,0,0,0,0.142392710238312,0,0,0,0,0,0,0
NEO,0,0,0,0.0493261415679186,0,0.18166081522834,0.120466522646019,0,0.360362503016246,0,0.0110844542627947,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.0306615676133446,0,-0.0594450053712576,0,0,0.0870305840833786,0.115456204102429,-0.207375896497839,0.0217684519199721,0,0,0,0,-0.0858192218647138
CVIX.INDEX,0,0,0,0.240227181114453,-0.205315599186376,0,-0.0905951963138325,0.247939387490235,0,0,-0.187124426314855,0,-0.187402705854975,-0.182224093484646,0.123971544360791,-0.542900543960904,0,1.57191945331001,0,-0.0068874246380591
DXY.INDEX,0,0,0,0,0,0,0.0156143841756827,0.0150854600942279,0,0,0.0230027331308775,0.0166663871465258,0.0106730283801015,-0.0628667989539214,-0.0193799628389009,0,0.0254639169956546,0,0,0.00190924123427822
SPX.INDEX,0,0,0,-0.0182676878496884,0.000755649917226958,0,0.00193410027691519,0,-0.023305806937278,0,0,0,0.0240568952659804,-0.00575830997329342,0.0319980920284852,0,-0.0195429460399337,0,0,-0.0791430761141906
VIX.INDEX,0,0,0,0,0.116403726027721,-0.367614826204771,0.089994591092024,0,-0.0465794085618789,0,0.157572709507666,-0.184248541714841,0.0840140294914122,0,0.155129238097335,0,0,0,-4.67989040894163,0
