,BTC,ETH,DASH,XRP,XMR,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.320842072952651,0.113977130392206,0,0.344559316102913,0,0.312458727907257,0.121620571515795,-0.26921043102517,0.123521538176743,0.23589106689277,-0.302589786631045,0.0435040607188306,0,0.0396418652491849,0,0,0
ETH,0.292984054669143,0,0.00758260594719393,0,0.614978632604311,0,0,0.0449672877989843,0,0,0,-0.0533756732227237,0.222967940274843,0,0,0,0,0
DASH,-0.274167321231645,0,0,0,0.114390078082294,-0.08362210724661,0,0.131959510219221,0,0,0.160759816896098,0,0.000562990550540459,0,0.217094570012626,0,0,0.398058202855423
XRP,0,-0.0867758340384578,-0.14137992796264,0,0.0155399108877118,0.0947325683068332,0.114409605636585,0.229809652074107,0.300499717477856,-0.530671576026916,0.166613023124344,-0.118728839610261,0.0912544319199889,0,0,0,0,0.236721403903423
XMR,0.315510727369286,0.24495287480175,0,0.133746450096824,0,0.541949122003462,-0.18948329417022,0.0718493426650622,0.13254064859922,0,0,0.0227618717143172,0.0650078127059863,0,-0.347306645604739,0,0,-0.0327352786815226
LTC,0.208161626905322,0,0,0.017705774218434,0.0707042847571249,0,0.0251626119578112,-0.0594692856128079,0.0107401636038,0.0419431156995787,0.0467198885497218,0,-0.0451534307271395,0,0.0399719197960011,0,0,0.0342811741696844
ETC,0,0.267347024078292,0.132737905204077,-0.0991044462040299,0,1.07403667558778,0,0.0546888761717598,0.128392740562053,0.0562494673592761,0.139916288369448,0,0,0,0,0,0,0.241159681838469
XEM,0.589957836399535,0.467009769713376,0.16649953317616,0.0201822453220225,0,-1.24520688794646,-0.178138510274249,0,0.172124962113713,-0.356329334438231,0.14789705411078,0,0,0.761460424757488,-0.483682371264635,0,0,-0.340552484825659
ZEC,0,0.0474368469784681,0.30010851026156,0,0.0244909066426101,0,0,-0.0437491058167027,0,0.215103650325748,0,-0.0237561982566792,-0.113601673498097,0,0,0,0,0
DOGE,0.234700179471831,0,-0.000000000000000000433680868994202,0,0,0,0.0275987371769611,0.010583408324161,0.266107422273984,0,0.263996547113675,-0.080206310096246,0.160252713199247,0,0,0,0,0.135117814602059
XLM,0.143798412122009,0,0,0,0.149051225706745,0,0.182777630494548,0,-0.0546049423411896,0,0,-0.123084945312925,0.153299947537643,0,0,0,0,-0.355163378323058
NEO,-0.145934710030446,-0.0848092993721976,-0.0215806281054619,-0.427659302484056,0,-0.287437555976023,0.17198242862141,0,0.227764563562107,0,0,0,0.139536201234008,0,0,0,0,0.0715227482068587
DGB,0.144574178715855,0.155880105076179,0.134109411295924,-0.111703074894573,-0.197529408371107,0,0,0.0888303027384374,0,0.206398026492922,0.178955798391719,0,0,-0.174104096806782,0.275680500072906,0,0,-0.192334207185793
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0.0892171611122148,0.0635257901515403,0,0,0,0,0,0,0
CVIX.INDEX,0.0732327493297903,-0.0118635266948974,0,0.159360581885181,0,0,0,-0.0871936372597829,0,0.186201618499621,0.0300267637275333,0,0,0,0,0,0,0.302815452134956
DXY.INDEX,0,0.00792224006721017,-0.00304201504590791,0,-0.00724950561911132,0,0.0129735607939428,-0.00934886804839641,-0.00609931654226861,0,0,0,-0.00638724242380851,0.129431580714778,0.0266769315968291,0,0,-0.000000000000000000433680868994202
SPX.INDEX,0.0343442484953237,0.0124247097850014,0.0018045751990018,-0.00652513555541688,0,0,-0.0121127216142046,-0.00175566181917915,-0.0054120500577237,-0.0072392809520281,0.0292603573250805,-0.00363491459290595,-0.00859850919442597,0,0,0,0,-0.046483537817343
VIX.INDEX,0,0.114330867275071,0.0268614498247364,0.0742181191662307,-0.357568663075115,0.571335495340872,0,-0.0494043949359985,-0.0880343698167227,0,0.0295931949738163,0.00000000000000000173472347597681,0,-0.258976475845941,0.319099040964732,0,0,0
