,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,LEO,XMR,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0293958559211324,0.0926361268999008,0,0.0689163397560119,0.0581086275406719,0.0771517875011695,0,0,0,0,0.29775908030054,0,0,0,0,0,0
ETH,0,0,0,0.0552841014864051,0.426457402708003,0.0386999192845575,0.278958899075213,0,0,0,0,0,0,0,0.0406920049120218,0,0,0,0,0
XRP,0,0,0,0.312066588611478,0,0,0.174310932399559,0,0.104905650201987,0.101462123173533,0,0,0,0,0,0,0,0,0,0.118522320358698
BCH,0,0.0513346982117881,0.21953253199621,0,0,0,0.207981846979496,0.0307164891429233,0,0,0.289222822361157,0,0,0,0.0855892282164317,0,0,0,0,0
LTC,0.20549892455208,0.118520485797719,0.116048721454887,0.00820996323690126,0,0.387727327675703,0,0.0202354165103056,-0.0187256052254835,0,0,0.0417515424157372,0,0,0.135345360466337,0,0,0,0,0
EOS,0,0.028565036323897,0,0,0.731226709469506,0,0,0.077280108444095,0,0.0370438171600669,0.120357185799403,0,0,0,0.00322202933598902,0,0,0,0,0
BNB,0.128740204576316,0.036508590415984,0,0.130488920828775,0.263649758177459,0.0459934857646485,0,0,0.0889536606504496,0,0.000749549497577773,0.0599734725120757,0,0.108482568312083,0.0411764442119989,0,0,0,0,-0.00844384918528424
BSV,0,0,0,0.389962261352897,0,0.0329597474610127,0,0,0,0.214514582094946,0.0291917287573768,0.241003979165462,0,0,0.0121270439385371,0,0.508233373488594,0,0,-0.0843607214443839
XTZ,0.250131695804536,0,0.266781916483018,0.119707810552165,0,0,0.19182484021962,0,0,0,-0.242295018914128,0.277206381902213,0.298875913566983,0,-0.0982873387758519,0.0561864495140569,-0.00000000000000000693889390390723,0,0,-0.0546038020991449
XLM,0,0,0.176639227339253,0,0,0.0479707829710192,0,0.154996270938782,-0.0330229559368294,0,0,0,0,0.141263541546188,0.174100015247122,0,0.095457367352052,0,0,0
TRX,-0.246950054631652,0,0,0.284672968674627,0,0,0,0,-0.0729972188695405,0.0709799904976688,0,0.417031512663642,0,0.346117777301197,0.0991015838912552,0.00000000000000000693889390390723,-0.276073696264611,0,0,0
ADA,0,0.0753268219962738,0.0364781087559239,0.0271931734088678,0.253282587625782,0.144806083851697,0,0.0130318405492817,0.019564838104948,0.0742924336194083,0.00283944079384162,0,0,0,0.13119515073438,0,0,0,0,0
LEO,0.342949671848909,0.0842736002958603,0,0,0.029250446418369,-0.232229365145091,0,0,0.0990768419084295,0.0879173471059488,-0.0444503084236802,0.129243316027824,0,-0.0957671387214378,-0.0901365118227068,-0.112017431406882,0,0,0,0.0581224733768871
XMR,0,0,0.0718649774920332,0.134785552039802,0,0.203540684867743,0.147318646794817,0,0.0792447150073904,0,0.170673389568934,0,-0.219383331578116,0,0,0,0,0,0,0
ATOM,0,0,0.0883156733825725,0.0510506396030685,0.0881745470891779,0.0823896070206578,0.0688772911108427,0,0.0000000000000000000542101086242752,0.189236869380706,0,0.394785293385813,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.0418250656492943,0,0.255949947506935,0.00721708805947144,0.108519391771356,0,0,0.00000000000000000173472347597681,0.115880500365167,-0.106509211411324,0.181971437113174,-0.146602640263546,-0.0896005119222201,-0.191409488616895,-0.171661224151602,0,0,0,1.56254310965024,-0.0190348563073315
CVIX.INDEX,0,-0.101133372178914,0,0.188655496357062,0,0,0,0,0.0578085282939135,0.0817940006696971,-0.129195655888977,0,0.221035917894554,0,0.00000000000000000173472347597681,-0.35629206276304,0,0,0,-0.0102213818709907
DXY.INDEX,0,0,0,0,0,0,0,0.00897302231925217,-0.0129384662974719,0,0,-0.00472613297997609,-0.0203199466737982,0,0,0.0174868944825366,0.018582586869753,0,0,-0.00565583339382521
SPX.INDEX,0,0,0,0,0,0.00841470164605829,0,0,-0.00635806923995165,0.0105176788383443,0,0,0,0.00889181209897083,-0.00339314773118888,0.0843568419269989,0,0,0,-0.0384817653185041
VIX.INDEX,-0.154396940653883,0,-0.441866845027125,0,0,0,0,0.0115390920991245,0,0,0,0.571854789589779,-0.389249530243066,0.0752104245662771,-0.232694479721118,0,0.839099159148212,0,-4.18262607423405,0
