,BTC,ETH,ETC,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0100011754310776,-0.0296084928285145,-0.0860687287901853,0.521060820130487,0,0.0665191578314587,0.0754979603795791,0.156313938775773,-0.0200850199224356,0.0299836315019113,0,0,0,0,-0.00870535935542057
ETH,0.951882469322593,0,-0.194254146660416,0,0,0.799489765003831,0,0,-1.03751770045845,0,0.426364050646492,0,-0.0848638819845411,0,0,0.130151460057234
ETC,0,-0.161675207029159,0,0,0,0,0,0,-0.258184230122091,0,0,0,0,0,0,0
XRP,0,-0.0263059090494246,0,0,0.0752145024308057,0,0.0219829730417334,0,0.0115646365048062,0.0479115026739798,0,0,0.390224015852658,0,0,-0.122822307539141
LTC,0.817523272641045,-0.036123845058606,0,0,0,0.174272384008671,-0.0714265913740942,0,0.0750081861621641,0.115376556619553,-0.0187261613460656,0,0,0,0,-0.0829971062353925
DASH,0,0.00351191150220862,0.0170390771048219,0.228461404862099,0.175437217101684,0,-0.0446604701081007,-0.034188601279727,0,0.12467555082309,0.177375177832238,0,0.143020839432524,0,0,-0.0210768290791761
XEM,1.2035170547591,0.00000000000000000346944695195361,0.0442500900272713,0.531969217399927,0,0,0,0,0.00000000000000000173472347597681,0.450681959109943,0.218911781516812,1.11549603626031,0.268742662528028,0,-4.29135863974099,-0.0358153609973639
DOGE,0,0.0852697510520986,0.0215191663530785,0,0.473587208575884,0,-0.0534709113286549,0,0.186475960848232,0,0,0,0,0,0,0
XMR,0.810559339853617,-0.0992901742875906,-0.103686606355625,0,0,0.242948310626055,-0.0951271553737116,0.185551717595087,0,0.100067773465155,0,0,0,0,0,-0.0513373670413173
XLM,0.27414523398046,0,-0.0379972911605888,0,0.0572942680813798,0,0.200687104805218,0,0,0,-0.191870221522255,0,-0.196433998289501,0,0,0.120981430342778
DGB,-0.468258300771486,0.614920096938221,0.134572667519576,0.131548871236164,0.392196813795054,0.305422116435283,0.0330115270808065,-0.56392406061994,0.209201049339035,0.30369692556033,0,-0.627003377688941,0.476508857875351,0,-3.42106174532189,-0.51672564294513
BV010082.INDEX,-0.18774633533144,0,0.0294647622286362,-0.0859678823525775,0.00965384840881905,0,0.0182937705072608,-0.000000000000000000867361737988404,0.000696489145339619,0.0463470149962124,0.00315170311532911,0,0.13325148190103,0.697844271452125,1.82227533543694,0
CVIX.INDEX,0,-0.153956100187883,0.0111129407525817,0,0,0.413994857080883,-0.0387156402443415,0,0,0.0862480204476918,0,0,0,0,0,0.153536002337812
DXY.INDEX,0,-0.0149753973265605,-0.00211484305389493,0.00174692619806242,0,0.0493359499776885,0.00945955167039916,0,-0.0295009631829281,-0.00921843160677883,0,0.166587541205306,0.0170674651114166,0,0,0.0213706886017976
SPX.INDEX,0,0.0000000000000000000135525271560688,0,0,0,0,-0.00796561391201816,0,0,0.0168476794235447,0,0.0166167270303089,0,0,0,-0.0818619704089244
VIX.INDEX,0.255743276218522,0.198942879266571,0.110968997776205,-0.735618835732779,0,0,-0.167483665879234,-0.848380758458969,0,0.568297457379254,-0.274933617098262,0,1.21080165768637,0,-0.925093272485213,0
