,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0323591554183744,0,0.202794663466911,0,0.0835091884584375,0,0,0.0376172098426987,0.11861082349536,0.095484628426562,0.0364353324375262,0,0,0.0148563531081407,0,0,0,0,0
ETH,0,0,0.2143363733122,0.149264964386257,0.263113640355222,0,0,0,0,0,0.147030415612104,0,0,0.00517309538384389,0,0,0,0,0,0
XRP,0,0,0,0.13084318062721,0.132545671175697,0.14856560274011,0.117525232712663,0,0.0426949726984886,0,0,0,0,0.134293135642576,0.0434981366566024,0,0,0,0,0
BCH,0,0.201674270091988,0,0,0.169025587088914,0,0,0.0000000000000000000067762635780344,0.250145801380779,0,0.0488720445700524,0.13270226172835,0.0562593929827754,0.043763450560032,0,0,0,0,0,-0.036914381455781
LTC,0.181446959291315,0.176387062155212,0,0.209904070594904,0,0,0.0517413257727738,0.0527764356638289,0.0188741590781332,0.0670529487948263,0,0,0,0.00192191730880151,0.0337938730042598,0,0,0,0,0
EOS,0,0,0.130944265801402,0,0,0,0,0,0.103820041342466,0.015987499772226,0,0.190319789676028,0,0.119082970695713,0.306996245423004,0,0,0,0,0
ADA,0,0.112419950256643,0.202223361685411,-0.0738218466340198,0.0668593007533617,0.392812606311361,0,0,0.10697403143097,0,0,0.123312096092374,0,0.0704793766395765,0.0109284113082398,0,0,0,0,-0.0422436069143126
XLM,0,0,0.0537945737740742,0.0839121103912424,0,0.0509391739120071,0,0,0.0514338113114032,0,0.27552236426775,0,0,0.0170719581552818,0.21956168557044,0,0,0,0,0
NEO,0.00302486315969369,0,0,0.100040525325617,0,0,0.129561234470259,0,0,0.0354785812509051,0,0.19702625693425,0,0,0.315687664667088,0,0,0,0,0
MIOTA,0,0,0.0131429361039799,0,0.250149694369078,0.073544910194462,0,0.286258166236477,0.0430335879653154,0,0.209857573620609,0.0339421659591915,0,0.013263128837707,0.0531653295094582,0,0,0,0,0
TRX,0,0,0,0.0268227793324336,0,0.22562345676549,0,0.0492299449446683,0,0.609834536054781,0,0,0,0.0926620005970742,0,0,0,0,0,0.121590195250359
XMR,0.435339025800199,0,0,0,0.169556669002888,0.0296858259832918,0,0,0.160306436185176,0.1080738960263,0.00585040198323995,0,0,0,0,0,0,0,0,0
DASH,0,0.347616491092709,0,0.105826967648344,0,0,0.139316672577709,0,0,0,0.109787009674263,0.131507756939184,0,0.00501433419118126,0,0,0,0,0,0
XEM,0,0,0,0,0.19129605874567,-0.0935073721882897,0.396564975882186,0.159728398383493,0,0,0.312016737693886,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.27271524311122,0,0.310934220613727,0,0,0.0965644350426373,0.047560056027412,0,0,0,0.108891696617136,0,0,0,0,0,0
BV010082.INDEX,0,-0.0375073816901334,-0.0416705857434408,0,0,0.0328274655161467,0,0.0571483465022712,-0.0151977869704142,0,-0.0814276409575878,-0.0189383167786999,0.152378310406803,-0.0179222667834373,-0.0000000000000000000542101086242752,0,0,0,0,-0.037892811822618
CVIX.INDEX,0,-0.155584390006802,0.107458429320264,-0.132011648345572,0.0574078317294793,-0.0280826648961713,0.116218827179737,0,0.0342586928061542,0,0,-0.00773444150847328,0.167720261507251,-0.134395948317969,-0.0278406857191716,0,0,0,0,0.0524152807409122
DXY.INDEX,0,0.0302272985386918,0,-0.0189963727716343,-0.00137499380890189,0,0,-0.00419273422055257,0.00575421322272126,0,-0.00821723312459773,-0.0282757811269015,0.0217672327916977,-0.00462007142776886,0.00418324883732059,0,0,0,0,0.00488891913768339
SPX.INDEX,0,0,0,0.00612773371214147,0.0058616232465213,0,0,0,0,0,-0.0648567316332567,0.0141430534492591,0,0.0198134057524673,0,0,0,0,0,-0.052584748943729
VIX.INDEX,-0.580081565864327,0,-0.079657831565464,0,0,0.260278577845149,0,0,0,0,0.145379302452796,0,0,0.105574367897834,-0.0258402562716301,-0.608427629457819,0,0,-4.41532290976653,0
