,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,XMR,TRX,XTZ,DASH,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0903819421164499,0.00886274907725637,0,0.100150435361007,0.229774305247719,0,0.0839095773861878,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0959980845471454,0,0.19190131837403,0.184559910842462,0.110911515294922,0,0.0854800499853796,0.116884694925391,0.110886554994931,0.0266839117531248,0,0,0,0,0,0,0
XRP,0,0.201254078958583,0,0.207843752093593,0.00284206665617573,0,0,0.153225932202958,0,0,0,0.0905514671461777,0.0593257430505706,0.00277882444917795,0,0,0,0,0,0.0715727346382119
BCH,0,0,0,0,0.21669399885862,0.1787129768707,0,0.511365920219622,0,0,0,0,-0.0370682829163462,0.0233839742802365,0.0676931278140549,0,0,0,0,0
BSV,0,0,0,1.22621008694107,0,0,1.22469528740041,0,-1.3792598025003,0,-0.337529215862738,0,0.305706617146168,-0.0929918855469989,-0.350863159168842,0,0,0,0,0
LTC,0,0.0449429357374352,0.0956129083721315,0.0287985141480514,0.0133002439658134,0,0.569968723497215,0,0,0.0360212175194536,0,0.0467422150013785,0,0.0452285126164065,0,0,0,0,0,0
EOS,0,0.358119854712887,0.0418115280896275,0,0.0556124091532047,0.557354552818833,0,0,-0.0780735771451403,0,0,0.0255380780713847,0.0810397710108315,0.0437106937992917,0,0,0,0,0,0
BNB,0,0,0,0,0,0.414179768362599,0,0,0.00700490140402929,0,0.203689856814035,0,0.0214722056405322,0.0989209349816,0,0,0,0,0,0
XLM,0,0,0.113733211868895,0.181056510956876,-0.0467094991094375,0,0,0,0,0.25971348675569,0,0.158952238765138,0.111343173526022,-0.00000000000000000346944695195361,0.0743591777632589,0,0,0,0,0
ADA,0,0.311622229173472,0.134475547827641,0,0,0,0,0,0.0581423130788403,0,0.172795717524594,0.325340510264103,0.0500884727526154,0.0209219662316691,0,0,0,0,0,0
XMR,0,0.0587994968402254,0,0,-0.0778702268980751,0.088291308395541,0,0.572185080861085,0,0,0,0,0.037976649766081,0.10572576108559,0.00531644132299632,0,0,0,0,0
TRX,0,0.127433640423301,0.316815711577511,0.0916909214323485,0,0,0,0,0,0.274585890740308,0,0,0,0.0988622583096881,0.0850211153621524,0,0,0,0,0
XTZ,0,0,0.584942069060654,0,-0.0373011741797371,0,0.221569287838079,0.498691012823714,0.13175239606793,0,-0.307232010299377,-0.450200086437428,0,0.129489010279802,0,0.193537405744873,0,0,0,-0.136404574578121
DASH,0,0,0.0000000000000000277555756156289,0,0.213287478164384,0,0.570297164823168,0.251127373831678,-0.504670612229384,0,0.0721658542244034,0,0.106592269493836,0,0,0,0,0,0,0.279228421930525
ETC,-0.248574498512552,0,-0.307131195803539,0.254952374905747,-0.0415435674723809,0,-0.0516715895595284,0,0,0,0.207404853909102,0.371446917713998,0.173710259207264,0.348494471333813,0,0,-0.0821545607037715,0,0,0
BV010082.INDEX,0,0,0.018530724734601,-0.0171965780285431,0.0198889820414624,-0.327432643602055,0.0755415656007338,-0.159208116232754,0.144829625836567,0,0,0.28773022867186,0,0,0.012910655961026,0,0.0865045458082168,0,0,-0.0494035547404302
CVIX.INDEX,0,0,0,0.0039153617406212,0,0,0.228976255722424,0.0874186503217999,0.119572601675752,-0.168528166525538,0.21834587806598,-0.161629148813211,0.0504985288034711,-0.0583500315672013,-0.133810294234054,0.784963523442791,0,0,0,0.0990918247455767
DXY.INDEX,0,0,0,0,0.00204581364718237,-0.0221826130653126,0,-0.0105918315684174,0.0389368180555573,-0.010374815747941,0.0127524343155719,0,-0.00581897280703457,0.000979748978544847,0.00280690153508587,0.0793624366253437,-0.0148379285736251,0,0,-0.00704517927651538
SPX.INDEX,0,0,0,0.00818968727029688,0.00295475355372451,0,0.0119729307119222,0,0,0,0,0.005418719620999,-0.00589373181557785,-0.00308358654955557,0,0.0609920512021002,0.00653305280012933,0,0,-0.0364745123819049
VIX.INDEX,0,0,-0.189371872913183,-0.340422371572693,0.11262658812263,0,0,0,0.500317674157758,0,0,-0.0492834462103463,-0.21845975451333,0,0,0,0.0130157877790064,0,-5.0565979087873,0
