,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0485125959154904,0,0.0307943670495887,0.0160553271136722,0,0.244410032210948,0,0,0.114368906487003,0,0.120624155593452,0,0,0,0,0,0,0
INNBCL,0,0,16.9088101130683,0,0,-6.66586511184926,0.902768372257175,0,-21.1984179762491,1.66491485155728,0,11.0477997281193,0,0,-2.29198541783013,0,3.22689023828138,0,14.1547565976838,2.9018871246109
ETH,0,0,0,0,0.185387640757483,0.0791154314533381,0,0.194847910241288,0.124889842384563,0,0.261389454997647,0,0.0214327983241851,0,0.0932958435775107,0,0,0,0,0
XRP,0,-0.00421955435382038,0,0,0,0,0,0.132168660463059,0.369051920380279,0,0,0.00696610954889904,0,0.258759900490487,0,0,0,0,0,0.0406998239644154
BCH,0,0,0.319928806242609,0,0,0.277552664033338,0,0.03232327137337,0.0348389642334563,0.0110781686944399,0.0780507570053679,0,0,0.0973415059650205,0.149078964557145,0,0,0,0,0
BSV,0.0959919103700424,-0.0113730179805808,0.177937851944025,0,0.361836171583377,0,0,0,0,0,0,0,0.0252121616669489,0,0.362888785175824,0.0737957824010588,0.0964185744074642,0,0,-0.054010416460138
LTC,0,0,0.0496596697484124,0,0.0577128365633962,0.125817765115164,0,0.116512436039772,0.196192493435881,0,0.120795191923106,0,0,0.136791219014171,0,0,0,0,0,0
BNB,0.0443217004908636,-0.00441190452686474,0.311947572124336,0,0.417075943736691,0,0,0,0,0,0.0551735488383232,0,0.0674600612143137,0,0.0420789574333251,0,0,0,0,0
EOS,0,-0.00335433414733034,0.339630721221274,0,0.384563505259071,0.0525435781961586,0,0,0,0,0.0206314573483204,0.100772929994997,0,0,0,0,0,0,0,0
TAGZ5,0,0,0,0,0.550163395506511,0,0,0,0,0,0.0553946743368412,0.0955270865624168,0,0,0,0,0,0,0,0.0712585570261408
XTZ,0,0,0.40759831336628,0,0,0.0281245738787654,0,0.255833743117525,0,0,0,0,0.325179987773617,0,0,0,0,0,0,0
XLM,0,-0.00105382363709596,0.183642698757403,0.133787145681154,0.257891932424678,0.04755502565077,0,0,0,0,0.0230365504783747,0,0,0.0271313800096393,0.0845911832335818,0,0.00311824944045747,0,0,0.0148732170534186
LINK,0,-0.000443472767771829,0,0,0,0.199885967936313,0,0.190810989052776,0,-0.000622665757451818,0.566469222745042,0,0,0.0525610042112968,0,0,0,0,0,0
ADA,0,-0.00165852867551614,0.0288163249733126,0,0,0,0.106519519133437,0.305462943123612,0.143792753065345,0,0.183021214813713,0,0.119722958800579,0,0.00290358243939214,0,0,0,0,0
XMR,0,0,0.242234454124186,0,0,0.00160325043723758,0,0.299009367210618,0,0,0,0,0,0.301857764617405,0,0,0,0,0,0
BV010082.INDEX,0.455932200852851,-0.0102282269783575,0,0,0,0,0,-0.224003689679194,-0.199948847315702,0.163427171544231,-0.701628681547082,0.729138747091209,0.0301013105750224,0,0,0,0.0279418960917734,0,0,-0.133912889684819
CVIX.INDEX,0,-0.00521455092377966,0,-0.261996130451533,0,0,0,-0.208024952678218,0,-0.168822206076023,0.360066856735155,0,0.0361405398129859,0,0,0.325501841421605,0,0,-0.451669776466652,0.366121779463387
DXY.INDEX,0.0178451667814495,0,0,-0.037077712571519,0,0,0,0,0,0.00187992003965018,0.0438970374365239,0,-0.0238322356245917,0,0,0.0506925873330836,-0.00635311992922471,0,-0.01952888860592,-0.0106368613277095
SPX.INDEX,0,0.00608366759306244,0,0,-0.0514083414335282,-0.147594222822071,0,0,0,-0.0238570334533667,0,0.1478634607248,0.137012615825316,0,-0.0626096321517781,0.304720080835481,0,0,0,-0.237756506769386
VIX.INDEX,0,0.0382531161620489,0.370672843203614,0,0.449241867828596,0.17506095147866,0.232886849719658,-1.37095937922043,0,0.109299467118044,-0.4714259804013,0.625231382445474,0,0,0,0.263638296887959,0.195636878405949,0,-2.02160296129933,0
