,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,LINK,XLM,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00355338841035001,0,0.104095651655075,0.00229886828798272,0.0781917016356167,0.152016277437391,0,0.000464105359551665,0.0375190710661813,0.0121667525085352,0.0547764566059801,0.0692561589523823,0,0,0,0.0985960294742914,0,0,0
ETH,0,0,0.110830219624039,0,0,0,0.243527646939913,0,0,0,0.0617589420683628,0,0.125860881882223,0.163621638333831,0,0,0,0,0,0
XRP,0,0.0577472728549724,0,0,0.033693107039304,0,0.106621126243566,0,0,0,0,0.0639595494874843,0.0987581938156151,0.198813645485145,0,0,0,0,0,0
BCH,0,0.111877300837686,0,0,0.217394817094297,0.176954869615784,0,0.025089293878768,0,0,0,0.114553938705264,0.0604769375478402,-0.000000000000000000867361737988404,0.17807744161403,0,0,0,0,0
BSV,0,0,0,1.30490300625823,0,0,0.829121951091706,0,0,0,0,-1.11196016724944,-0.101851057616472,0,-0.489726696954109,0,0.693481980629072,0,0,-0.00991744246438593
LTC,0.115894254883167,0.291665573391186,0.0470438066504781,0.224064669401024,0.0187810200091771,0,0.0508433797597223,0,0,0,0.0876091657198104,0,0.067663435079981,0,0.0542270262001411,0,0,0,0,0
EOS,0,0,0.170323060716166,0.159397061003338,0.122086053543573,0,0,0,0,0.0502759877118087,0,0,0,0.166467447123528,0.170250586473206,0,0,0,0,0
BNB,0,0,0,0.158293559992234,0,0.102472126345221,0.00692112261635781,0,0.0156515004756895,0.237915912978659,0,0.0446868662361625,0.02441773889342,0.0849783985618462,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.218508306794251,0.106315844429056,0,0,0.306113152559787,0,0,0,0,0,0,0,0,0.0225977176586132
ADA,0,0.123522432382685,0,0,0,0,0.28110216761646,0,0,0,0.0888613674262752,0,0.199081327469981,0.212775311182125,0,0,0,0,0,0
LINK,0.221447373816877,0,0,0.0508073157262162,0.00330241672993177,0,0,0.0598872382834964,0.108825495756191,0,0,0,-0.00000000000000000346944695195361,0.28789559075559,0.117144426587772,0,0,0,0,-0.0235631619405338
XLM,0,0,0.302862203660165,0.0410298124357119,0,0,0,0.0872383562805112,0,0,0,0,0.0133645044314537,0.134168605005278,0,0,0,0,0,-0.0596402811549109
XMR,0,0,0,0,-0.0560610964886713,0.305104398490075,0,0.0110117845016942,0,0.274289214853051,0,0,0,0.24523855634928,0,0,0,0,0,0
TRX,0,0.264600813362438,0.211494184813386,0,0,0.132432568824411,0.118554151957132,0,0,0.142345100431547,0,0,0.0165186289893771,0,0.0727034784522182,0,0,0,0,0
ETC,0,0,0,0.532648596806886,0.0544483283900896,0,0,0,0.0693662477499438,0.0611242711717601,0,0,0.179040697676693,0,0,0,0,0,0,0.183317166606955
BV010082.INDEX,0,0,0.08944509422939,0,0.0323962625292156,-0.339523949046084,0,0,0,0,-0.0142989326932066,0.0301345475539055,-0.00219850015511598,0.0875088927121631,0.0427014648120156,0,-0.0131659134917504,0,0,-0.101035908304097
CVIX.INDEX,0,0,0,0,0.0636099651129294,0,-0.148965783333367,-0.0775498425187279,0,0.308032984932013,-0.0624522710187271,-0.00000000000000000173472347597681,0.153787280964103,-0.386025273756654,0.0170054599373583,0,0,0,0,0
DXY.INDEX,0,0,0,0.00459363161050424,0.00295082141952339,-0.02719750791579,0,0,0,0,0,0.0149081130073122,0.00168156610734284,0,0.000358066966908116,0,-0.0133901886952447,0,0,-0.00905533336136288
SPX.INDEX,0,0.0182276616193549,0,0.00926492491571361,0.00347567602288613,0,-0.0286973257635291,0.0259037530021844,0,0,0,0,-0.00761727481175872,0.00327469044956136,0,0,0,0,0,-0.0855989961694234
VIX.INDEX,0,0.0853270349347504,0,-0.366759147423089,0.00808488959965796,0,0,0.306200068430019,0.117130190746064,0.131381338577506,0.108028660771984,-0.557837680016222,-0.187299126294664,0.230670306068906,0.096951742004279,-0.116266548932773,0,0,-5.33850506334181,0
