,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.135210592074412,0,0.0703898436763201,0.0389113783648052,0.133262890173731,0,0,0,0,0.0846974409687952,0,0,0.0265473783414805,0.0120568443778341,0,0,0,0,0
ETH,0,0,0,0.0980990228317294,0,0.405757552711022,0.0607469044547323,0,0.0551018598104589,0.0251095133423591,0,0,0.179743870590458,0,0.0774212367995486,0,0,0,0,0
XRP,0,0,0,0.0894550876709286,0.0706966438854741,0.220289931647291,0,0,0.00632727435451231,0,0.157994923487977,0,0,0,0.039371707749065,0,0,0,0,0
EOS,0,0,0,0,0.166608924320949,0.44586122315969,0.20973609968945,0,0,-0.0299370965478751,0.148815358894562,0.111822476393424,0,0,0.159139195904635,0,-0.0243143990516331,0,0,0.0159134040040818
LTC,0,0.121266697202765,0,0.10516706044565,0,0.299255174240621,0.0633933897981328,0.0948463372036199,0.101537001858195,0,0.0771372909222001,0.48917521632776,0.0110262634093901,-0.0698886150436736,-0.245436421464657,0,0,0,0,0
BCH,0,0.0422687581432951,0,0.410529831682704,0,0,0.0223774833793221,0,0,0.271015988594201,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0956690598519252,0.211688658202596,0,0,0,0.37183327811613,0,0,0,0,0,0.0282144087903554,0,0,0,0,0
XLM,0,0.0114538528796383,0.137081676088203,0,0,0.114387756637492,0,0,0,0.0735612535915538,0.300290230530407,0,0.0911218710352612,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.105549700305166,0,0.311971129662926,0,0,0.218131093874519,0,0,0,0,0,0,0,0,0.0252397733587365
BSV,0,0,0,0,0,0.501393128936266,0,0.0863449444712677,0.0416182864880235,0,0.0753715126627603,0,0,0,0.0927904982849135,0,0,0,0,0
ADA,0,0.180121873531829,0.224249973548503,0.00972539468666789,0.126768661801308,0.0813559546655266,0.084692149850217,0.0512631289146871,0.0253679691116221,0.0838743414686959,0,0,0.0539430430580557,0.151841542818894,0,0,0,0,0,0
XMR,0,0.0240141044386298,0,0,0,0.137126715052391,0.0399017707400624,0,0,0.0459962739125215,0.175457095136694,0,0.0905315616221083,0,0.0554660545606123,0,0,0,0,0
MIOTA,0,0.166841297505286,0,0.351854817316593,0,0,0,0,0,0,0.167151544433478,0.0846636845637534,0,0.0506526687558275,0,0,0,0,0,-0.00900407032499387
DASH,0,0,0,0,0,0,0,0,0,0,0.337197041822283,0.111212183153973,0.342517826135638,0,0,0,0,0,0,0
MKR,0,0.226658015207116,-0.217616458807637,0.0538664041259353,0,0,0,0,0,0.308146128599318,0,0.286308580080576,-0.105788164250752,0,0,0,0,0,0,-0.104890288937699
BV010082.INDEX,0,-0.27671504558329,0.132530963355802,-0.0970826156249186,0,0,-0.0129894212196153,0,0.0384615452077999,0,0,0.0505242514758675,0.108897789387918,0.0673893637725564,0.11474532596206,0,0,0,0,0
CVIX.INDEX,0,0.156844297261565,0.185209960142707,0,0.0627591630002697,0,-0.0167110786303341,0.134170468902173,-0.150674735989931,-0.107906569543313,0,-0.12418041137998,-0.291135738460107,0,0,-0.0778363195616891,0,0,0,-0.122143251959224
DXY.INDEX,0,0,0,-0.00714351299109585,0,0,0,0,-0.00184348189541824,0.00964732071105736,0,0,0,0.0343276534998349,-0.00000000000000000010842021724855,0.0411967721583234,0.033456142037246,0,0,0.0110772142726224
SPX.INDEX,0,0,0,0,0,0,-0.0085974721442167,0,0,0,0,0,0,0,0,0.0865240625195606,-0.015581440487853,0,0,-0.0654581016902699
VIX.INDEX,0,0,0,0.104036733431178,-0.220064086712489,-0.0798361359690256,0.0333313907670331,0,-0.197484435083424,-0.302287621988161,0.736927012785503,0,0,-0.517148181930911,-0.0998240355947751,-0.00355749301994734,-0.765829607652855,0,-4.08339484892483,0
