,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00687610838572854,-0.0197499254699677,-0.0170774048231183,0.312264905147407,-0.0140832384788582,0.0442432133881596,0,0,0.0362353832427701,0,0,0,0,0,-0.0635233793883165,-0.015493845297097,0,0,0
ETH,0,0,0.00263521647046783,0.0493278533886735,0.254661169415797,0,0.075092603023492,0.27885615573751,0.0949783560888919,0.069195078526452,0,0,0,0.168477055910006,0,0,0,0,0,0
XRP,0,0.165555179338896,0,0.0680889238035779,0,0.0639995311553704,0,0.150373104967638,0,0,0,0.357517883860518,0,0,0,0,0,0,0,-0.0402990205824379
BCH,0,0.296441308729114,0.0689780125689246,0,0,0.00993754112709099,0,0.152599660307619,0,0.269174215130669,0,0,0,0,0,0,0,0,0,0
EOS,0.0980929093180673,0.522578216505265,0,0,0,0.0884740770480753,0,0,0,0.0263321919700848,0.243836610980851,0,0,0.10315226417588,0,0,0,0,0,0
XLM,0,0.179550110386242,0.155512060683636,0,0,0,0,0.136437666692445,0,0.16221342781709,0,0.0485325435278122,0,0,0,0,0,0,0,-0.0258074544006377
LTC,0.0786926378186062,0.252236831338144,-0.00220264238454009,0.144008094876846,0.00000000000000000346944695195361,0.0886402978413597,0,0.000000000000000000216840434497101,0,0.0845331731741737,0,0.16365983739343,0,0,0.0179155275530688,0,0,0,0,0
ADA,0,0.106739153470002,0.068957948467253,0.0502015376345714,0,0,0,0,0.00000000000000000346944695195361,0.204597112455385,-0.0484981893506016,0,0.0837083670380544,0.0977160092204124,0.471800259628833,0,0,0,0,0.0464194853112639
XMR,0,0.195045170556766,0,0,0.391132944072592,0,0,0,0,0,0,0.189500258836211,0,0,0,0,0,0,0,0
TRX,0,0.164910502016616,0.0844700176362493,0.0923039011843883,0.084352298208403,0,0,0.149811461068341,0,0,0,0.110273105179339,0.231665227525785,0,0.025863371735797,0,0,0,0,-0.0719803524635688
DASH,0,0.196418158921981,0,0,0.154590800302162,0,0,0.0193674231668341,0,0,0,0.169333264004755,0,0.409622634476679,0,0,0,0,0,0.0358719209671549
MIOTA,0,0,0.0870904095718045,0.0435445176250526,0,0,0,0,0,0.198437807922255,0,0,0,0.539207623344021,0.0881569325679741,0,0,0,0,-0.025409406071962
BNB,0,0.165855011988739,0,0.0107309672656017,0.126080403381933,0,0,0,0.125699230972261,0.0371726525221855,0,0,0,0.019970915838872,0.0761652230456803,0,0,0,0,-0.0201380560401992
NEO,0,0,0,0.0639301584330085,0.143402621749,0,0,0.289378104985055,0,0,0,0.437367817513958,0,0,0,0,0,0,0,0
ETC,0,0.195263972892674,-0.045455775934792,0.0555029629021394,0,0,0.142637678087709,0.179096307471459,0,0,0,0.151923329293259,0,0.0893553381431909,0,0,0,0,0,-0.0630061673642135
BV010082.INDEX,0,0,0.0338534450093477,-0.0742518500365693,0,0,0,0,0.0617519347757388,0,0.0236554500258549,0,0.0215100150418348,-0.0680771257709029,0,0,-0.0653293694184986,0,0.240206285244946,-0.010779394118374
CVIX.INDEX,0,-0.0541234932952661,0.0702263830719359,0,0,-0.16759945962275,-0.279374130380785,0,0,0,0,0.286859424887079,0.110485208992223,0,0.0828810780232399,0,0,0,0,0.0229834658098413
DXY.INDEX,0.0163936155179576,0.0125868746404464,-0.00190120583009062,-0.027895593969529,0,-0.0133710912659602,-0.0256566298140733,0.0260007547632421,-0.0255369806226596,0,0.0146277632216833,0,0,-0.00924458105844409,0,0.0636923485783436,0,0,0,-0.0105036053019382
SPX.INDEX,0,0,-0.0291738036745311,0,0,0,0,0.00246142713367795,-0.00425423438690544,-0.00405879088158857,0,0,0,0,0,0.0591961681119687,0,0,0,-0.122678297133677
VIX.INDEX,0,0,-0.0403407233953182,0.243170289825154,-0.0486496819548655,-0.215653161704423,0,0,0,0,0,0,0,-0.367362364776329,0.19612739587414,0,0.142252945493978,0,-5.66020704314874,0
