,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XMR,XLM,TRX,ADA,ETC,DASH,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0731300691868029,0.0255921649405643,0,0.119565803694273,0.211521907535317,0.000000000000000000867361737988404,0,0,0.0121535016467929,0,0.021897940609583,0,0,0,0,0,0
ETH,0,0,0,0.0398257173340394,0,0.331080905060759,0.202371652087529,0.0423569831170372,0.149739990432936,0.0580311622019837,0.0545298724641408,0.00348441724198665,0,0,0.011981703679437,0,0,0,0,0
XRP,0,0,0,0.236738093246289,0.00621324735862766,-0.0000000000000000138777878078145,0,0.1617226393557,0,0,0,0.237898420392272,0,0.00000000000000000173472347597681,0.0581304432314862,0,0,0,0,0.0794991890369103
BCH,0,0,0.0602770621812415,0,0.230215595657911,0.201850692976469,0,0.346613051108621,0,0.0369269144189201,-0.00000000000000000346944695195361,0,0,0.0242502471614175,0,0,0,0,0,0
BSV,0,0,0.243191879695293,0.966912336399771,0,0,0.812251448636172,0,-0.602859193702276,-0.607941120974204,0.254246210781266,0,-0.807833693501779,-0.0378549809505309,0.311177188404822,0,0,0,0,-0.118499646783359
LTC,0,0.0321217906493883,0.0425139933014445,0.0492130343068397,0.0158326671447729,0,0.519269702053876,0,0,0,0.0272167990016357,0.140447467783943,0,0.0410406948361598,0.0184926891061478,0,0,0,0,0
EOS,0,0.151829624754215,0,0,0.0749768404260692,0.586363869243179,0,0,0,0,0.0718546745857564,0.0230131622961815,0,0.0511008516584954,0,0,0,0,0,0
BNB,0,0,0,0,-0.00037139544073972,0.416551071937624,0,0,0.207216727692974,0,0,0,0,0.0994738880222069,0.0226642113775409,0,0,0,0,0
XMR,0,0.0487808106930373,0,0,0,0.228737365285473,0,0.272966220864413,0,0,0,0.0683093344932777,0.00994680924991089,0.0631196796209339,0,0,0,0,0,0
XLM,0,0,0.113965702139905,0.149785838504545,-0.0362119284021317,0,0,0,0,0,0.155916725679549,0.28762719878481,0.070053925049031,0,0.115518380470514,0,0,0,0,0
TRX,0,0,0,0.0508265125448205,0.000682855261175763,0,0.235287177155618,0,0,0,0,0.261123073338488,0.20728517301406,0.0570957096116187,-0.0604835703033236,0,0,0,0,-0.00294327578708528
ADA,0,0.306568941187562,0,0,0,0.011850577894921,0.0860009438434331,0,0,0,0.185344619523939,0,0.000000000000000000867361737988404,0.0921914293378338,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.0541835140338101,0,0,0,0.425256037899565,0,0,0.0831436851665346,0.181223127777055,0,0,0,0,-0.153276292182395
DASH,0.33038866265407,0,0.738998079822223,0,0.21042437532649,0,0.358148064091678,0,0,-0.543176611082483,-0.0503954205138943,0,-0.144642580790957,0,0,0,0,0,0,0.0923342961336552
XTZ,0,0,0.503620684904725,0,0,0,0.0335992116389931,0.559688889087146,-0.38113394477732,0.157644501343838,-0.392340334277422,0,0,0.145584659757239,0,0.263014039338208,0,0,0,-0.112848217214541
BV010082.INDEX,0.0794825484754805,0,0.00496227197270469,0,0.0124196747713374,-0.290624020327091,0.00776854922534735,-0.298785013306485,-0.00661113282201607,0.182732054099621,0.269322370418232,0.0746545594412626,0.0113852689289607,0.0135421314328848,0,0,0.104309662783322,0,0.667518129630153,0
CVIX.INDEX,0,0,0,0.0592384728204243,-0.0383412236083316,0,0.27596967224741,0.131796794929097,0.122582527975354,0,-0.128144071443415,-0.133121348839703,-0.133588627415092,-0.060607702217871,0.0575725733641401,0.660122002282837,0,0,0,0.0976619896443517
DXY.INDEX,0,0,0,0,0,-0.00192463049851654,-0.00488106763156214,0,0,0,0,0,0.0165015150166755,0,-0.00983505795700192,0.0235157352543983,0,0,0,0
SPX.INDEX,0,0,0,0.00811448620057167,0.0031657350153886,0,0.00966780506795814,0,0,0,0.00728191456094945,0,0,-0.00279943224223505,-0.00641801543676149,0.0642485316973977,0.00574065767325535,0,0,-0.0363461417075467
VIX.INDEX,0,0,-0.135440725520872,-0.357136597680813,0.107196491345377,0,0,0,-0.00000000000000000693889390390723,0.360786344876444,0,0,0.0655984841095723,0.00250706919326165,-0.227154460153283,0,0,0,-5.11648192051159,0
