,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.156092440241618,0,-0.0101641940838696,0.122561519336256,0,0.0928071509270325,0,0,0.00721529384091099,0.0499606079283853,0.0552037914315361,0,0,0,0,0,0
ETH,0.113515278149509,0,-0.04314318351488,0,0.143224246507098,0,0,0,0.107587424580203,0,-0.0258024000524674,0.113319351498283,0,0.10673662932193,0,0,0,0,0,0.0917829623194522
XRP,0,-0.243584347819185,0,0,-0.223415150635149,0.00438153580638571,0.327558411699262,0,0.132376483695895,0.0687174195090023,0.336956264800978,0,-0.0428803417914346,0,0,0,0,0,0,0
LTC,0.251075206811304,-0.0396322319279868,-0.0654965806971043,0,0,0,0,0,0.173984707402058,-0.00493193411270179,0,0.0847159426690715,0.0264909350090405,0,0.243731610839817,0,0,0,0,0
ETC,0,0.0716858169592166,-0.284194297429237,0.017866416774657,0,0.164251851805425,0.225932110668364,0,0,0.0346385979716245,0.0523423491696082,0,-0.0414691152808825,0,0.0905861075748676,0,0,0,0,0.0415772742973625
XEM,0.680906902519782,0,0.216416986972327,0,-0.121162732933641,0,0,-0.16581862267878,0.0452539599700105,0,0,0.180784717202881,-0.0566243504507984,0,0.125349087901726,0,0,0,0,-0.196106189003277
DASH,0,0.0551392010039396,0.0425516985199132,0.0477650664070987,0,0.0332019638401124,0,0,0.384531304734889,0,0.059689466388672,0.0134201569506883,0,0.0475940130417506,0.00751907637463456,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,-0.123093915719208,0.1528396538991,-0.214457322546735,0.179637196194795,0.639572411625421,0,0,0,0.0747129013329263,0,0,0,-0.151884225878442,0,0,0,0,0
ZEC,0,0.084077889314292,0.0423607289042911,0,0,0,0,0,0.0861886771005732,0,-0.0345686583709536,0.200197657330743,0.00712817341512919,0,0.083150635688806,0,0,0,0,0
XLM,-0.556231835821426,-0.0898435924019016,0.786974783107842,-0.100702789430907,0.315842458730801,0.0498000903350009,0,0,0.367601071960315,-0.118985371722077,0,0,0.00353818606933683,0,0,0,0,0,0,0
DOGE,0,0,0,0.0511748160897118,0.0814391610822887,0.294832893904305,0.152197605963,0,0,0.183544619408601,0.157763933451211,0,0.0428791689649883,0,0.118447925618497,0,0,0,0,0
DGB,0,-0.295436415383368,0.186154711490748,-0.0931046821146284,0,-0.101941921481549,0,0,0.633560786849223,-0.257581269594699,-0.197798515370119,0.477962650577362,0,0.35990506869301,0.195932210992497,0,0,0,0,-0.212453856539734
BAT,-0.40343391328858,0.0674781776778276,0.14861803232961,-0.0835666116418351,-0.0757052864904813,0.123983340442064,-0.022816633943644,0.775524520334125,-0.0258690028725101,0,0,0.106468687448926,0.0405152047776206,0,0,0,0,0,0,0
NEO,0,0,0.107620525019309,0.63280845322916,0.260235908189214,0,0.112397670163092,0,0,0.373356698508659,-0.0545212515629044,0,0.125406060735281,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00806915468569281,0,0,-0.036135035629769,0,0,0,0,0.0241364285963762,0,0.00104232879641098,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0.00758325140915849,0.0244829103491988,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.0208371506592398,0.010106652610744,0,0.00968210842183076,-0.0135362979891051,0,0,0.00282581859786626,0,0.00378380579939092,-0.00269351187985146,-0.00280424783416735,0.00139847520973783,-0.00356604451739652,0,-0.00753793634341782,0,0,0.0113302783301328
SPX.INDEX,0,0,0.00100487720084057,0,0.00417810873476059,-0.0059793951752211,0,0,0.00506509893452383,0,0.0023948443242982,0.000608867697283154,0.00144232883635344,0.00193388102683092,-0.00137506344250469,0.0198063421164216,0,0,0,-0.0354732836950958
VIX.INDEX,0,0,0.116048292416057,0,0.00263013845530127,0,0.327576099572387,0,-0.129923349880482,-0.122997104533987,0.00587019988857166,0,-0.0616050091600746,0.124514866765235,0,0,0,0,0,0
