,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.205322659217148,0.133112098236665,0.0546840195809868,0.0703124483477907,0,0.0422043352839863,0.0683227636435264,0,0.108860323822185,0,0.00236696579764345,0,0,0,0,0,0
ETH,0,0,0.0133475219078536,0,0.0786985961669772,0.11025924717999,0.155333843151387,0.0781655591872417,0,0,0.311011490411204,0,0,0,0.082815074402908,0,0,0,0,0
XRP,0,0,0,-0.0349017815223761,0,-0.0780569190911273,0.0481679672597902,0.286248181440044,0,0.0216535477228912,0,0,0.190103517500628,0.379075955903965,0.148816568116183,0,0,0,0,-0.00419395464486252
BCH,0,0,0,0,0,0.16808794319515,0,0,0,0.216868541381396,0,0.210018553963284,0.0196406925480098,0.0432693662036055,0.199100611971877,0,0,0,0,0
LTC,0,0,0.011362165094335,0.151953798146949,0,0,0,0.0675656370155763,0.15050703646558,0,0,0.0329384792169246,0,0.0144550520591507,0.15097349177318,0,0,0,0,0
NEO,0,0.192781632305583,0.0109141353254566,0.121651820426431,0,0,0.118420150410701,0,0,0.0253235763249074,0,0.0433994957760722,0,0.00000000000000000173472347597681,0.260790548837189,0,0,0,0,0
ADA,0,0,0,0.0171105409695661,0.0639072620074918,0,0,0,0.0560121298588356,0.095579511753936,0,0.216260132004204,0,0.156319045808558,0.0926510849614995,0,0,0,0,0
XLM,0,0,0.118010575239164,0.0696886494244404,0,0.0799967096395875,0,0,0.0404423982977818,0,0,0,0.0234506283370911,0.212187281733714,0.239514063472224,0,0,0,0,0
EOS,0.0703211554579823,0,0.135867551896381,0.00755627038359618,0,-0.105791285046579,0,0.0423508271295989,0,0.264304121182187,0.0621961606720062,0,0,0.0261959341478514,0.449543045373593,0,0,0,0,-0.0187766378182777
XMR,0.00506874084522379,0,0.0165901850294912,0.0529772193636113,0.194960774323883,0.2373163272416,0.233660227436872,0.0408229515473158,0.0694682910681219,0,0,0.0950236088539371,-0.0559175698254198,0,0.0198702984843461,0,0,0,0,0.0722257918000799
DASH,0,0,0,0.121800262906813,0,0,0,0,0.0635571507833632,0.126671785643439,0,0.0203383917977836,0,0.173554694247029,0.160035497757016,0,0,0,0,0
MIOTA,0,0,0.151968455124274,0.267706858308448,0.0818485735397541,0,0,0,0.0303952930805496,0.173747349551079,0,0,0.129289910144071,0.00940097904147589,0,0,0,0,0,0
XEM,0,0,0,0,0.280671260861479,0.136598966647005,0.108392863336579,0.168968034179815,0.0424212458726135,0,0,0,0,0.142952298361234,0.0265846622150838,0,0,0,0,0
TRX,0,-0.0306230544847723,0.291212877550229,0.364599408436695,0,-0.245212575205997,0.00411069973878667,0,0,0.169449337073925,0,0.0678648797866412,0.381962245123694,0,0,0,0,0,0,0.0294145518428557
ETC,0,0,0.115271909767508,0.104861043425599,0,0.190334174941127,0,0.131234006624647,0.13332857461001,0,0,0,0.249460407796084,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00655773621441032,0.0251126797439853,0,-0.00236837597214467,-0.00067075608580891,0,0.0263655979238359,0,0,0,0,-0.0439760956249494,0,0,0,0,0,-0.0339418148684546
CVIX.INDEX,0,0,0,0,0.0669581990293207,0,0.0907123504246194,0,0.02352934553258,-0.0213012152368146,0,-0.0957350487094405,0.0916009556526336,-0.0334762180446359,-0.0944781956055427,0,0,0,0,0.0311713613665791
DXY.INDEX,0,0.0213482998468632,0.0163282736381706,0,0,-0.0113067715750836,0.0238178258993302,-0.0142949981276572,-0.0262557132082929,-0.0076148932235457,0,0,0,-0.01126708877008,0,0,0,0,0,0.00788660929356412
SPX.INDEX,0,-0.0172116015499079,0,0,0,0.0147310172957724,0,0,0,0,0,0,0.0141366636077119,-0.0159676593974793,-0.0119370719883539,0,0,0,0,-0.0599737241628183
VIX.INDEX,-0.585537928469205,0,-0.160585706990096,0,0,0.445696535706167,0,0,0.118974926138503,0,0,-0.249269828216317,0.183142526364737,0.198670644273496,-0.042923069674062,-0.609467491190736,0,0,-3.56996480614428,0
