,BTC,ETH,XRP,EOS,LTC,BCH,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0338501171701606,0.0197864639338364,0.0912779169116497,0.0213615386056053,0,0,0.0450684206550965,0,0,0.199003246216251,-0.0230183044198889,0.182180932041529,0.0131682353653268,0,0,0,0,-0.0157087409127916
ETH,0,0,0,0.363809147516734,0,0.165011587607867,0.00657713359474973,0,0.182231890155486,0.0767215010500972,0,0,0,0.089639865292827,0,0,0,0,0,0
XRP,0,0.080636637154286,0,0.0703269227327839,0.0782034476920518,0.0338474976987936,0,0.10415236915891,0,0,0,0,0.0119946701268345,0.0625368260938776,0.194063462828222,0,0,0,0,0.00351949588656116
EOS,0,0,0,0,0.247796249311789,0,0,0,0.191725803745397,0.00576284632382247,0.359222724084026,0.145428066425597,0.0534688128201835,0,-0.00000000000000000693889390390723,0,0,0,0,0
LTC,0,0.234620764481446,0,0.237609789992808,0,0.0992079475164245,0.0144750462600838,0.179231798171611,0,0.0221665170376389,0,0,0,0,0,0,0,0,0,-0.084351528632064
BCH,0.327833746135209,0,-0.320523144927397,0.383609119695837,0.0395137270053783,0,0.166368280155646,0,-0.0902209018175662,0.619735588823607,0,0,0.0720142616860104,0,0,0,0,0,0,0.109268128585993
TRX,0,-0.0336358738820815,0,0,-0.118880484121303,0.0923058640347738,0,0,0.0492250044823422,0,0.7476939268304,0,0,0,0,0,0,0,0,0.157167502694321
XLM,0,0,0.276511905250956,0,0.00249207759632858,0.0555535827203923,0.0180817309520937,0,0.0979934407798903,0.166981485190121,0.0820266562418401,0,0.0463479240172875,-0.00000000000000000173472347597681,0.152048647001648,0,0,0,0,0
BNB,0,0,0,0.076899568764112,0,0,0,0.176727798787551,0,0,0.31892447972677,0,-0.0272719753909734,0,0.225058911064044,0,0,0,0,0
BSV,0,-0.0539392828628455,-0.248604309325252,0,-0.00000000000000000693889390390723,0.276965347253914,0.0561972102007033,0.479350435907012,0.0907408822715681,0,0,0.16756031019449,0,0,0,0,0,0,0,0
ADA,0,0.253847499964247,0,0.0676688647366258,0.159220457086353,0,0.0294099636432081,0,0.0362069783154982,0,0,0.0152833274117844,0.0806972573317117,0.07254273459401,0.23602985789565,0,0,0,0,0
XMR,0,0.0721388003125063,0,0.301498874774275,0.159169132411242,0.100251794969902,0,0,0,0,0.0470029007284808,0,0.0124520055027153,0.0611158224696835,0,0,0,0,0,0
MIOTA,0,0.140054930625146,0,0.44384714134275,0,0.0804699398501698,0,0,0,0,0,0.126114210121603,0,0.0590295937222125,0,0,0,0,0,0
DASH,0,0.216850788820156,0,0.0448192244220917,0.113042481414749,0.0121627009255293,-0.0183531585897781,0.158042272782611,0,0.110199381798399,0,0.190752118259371,0.0603895756514548,0,0,0,0,0,0,0.00000000000000000010842021724855
NEO,0,0,0.17918805427611,0.313416739994926,0.143849032460845,0.0103760311545696,0.144514188346858,0,0,0,0,0.0782432798482246,0,0.0578416585531523,0,0,0,0,0,0
BV010082.INDEX,0,-0.347126915934072,0.155467205919559,0.0748011477662014,-0.080440733334646,-0.0434843880143678,0.0949661519856151,-0.206353361195566,-0.163384021732313,0.11303185342383,0,0,0.0541711601338174,0.0807464933608043,0.298347822744978,0,0,0,0,-0.0480032214123863
CVIX.INDEX,0,0.322490880090484,-0.0118638103635366,0,0,0.0217131708938059,-0.234801729063319,0,0,0.0273042774599858,0,0.00000000000000000346944695195361,0.124696579321174,0,-0.333233465338394,0,0,0,0,-0.0539218084860678
DXY.INDEX,0,0,0,0.00713914358236055,0,-0.0112620361303874,-0.0395204468435584,0,-0.00446404195655823,0,0.0258422688400121,0,0,0.023835498509771,0,0.0874983289245734,0,0,0,0.018290568293248
SPX.INDEX,0,0,0.0748908780465534,0,0,0,0,0,0,-0.00453417800418065,0,0,-0.00792685728633646,-0.0394756669071187,0,0.107633811717862,-0.0322258181736667,0,0,-0.120882320493144
VIX.INDEX,0,0,0,0.223931566032064,-0.0826458075587549,0,0,0,0.25413095001036,-0.080375657557911,0,0,0,0,0,0,0,0,-1.77220804925884,0
