,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.190220370919865,-0.200849949762836,0.00547240837566694,0,0.0614426163417484,0.308968417651701,0,0.0822086214845127,0,0,0.186173828674718,0,0,0,0,0,0,0,0
ETH,0,0,0,0.221013301721657,0.164863101060754,0,0,0.119036156090068,0,0.0240017051177818,0,-0.00000000000000000346944695195361,0,0.24336119581516,0.193896587079199,0,0,0,0,0
XRP,0,0,0,0.188086730298808,0.0968484498486103,0.0374707939282927,0,0,0,0.246647322340495,0,0,0,0.207594238699641,0.0170295544872261,0,0,0,0,0.0242500178088762
BCH,0,0,0,0,0.329300962450578,0,0.0935304410517598,0.166168699366065,0.00415465437036665,0.0476677005240968,0.0554535274554234,0.0241596117100681,0,0,0,0,0,0,0,0
EOS,0.244081139511682,0.181248579587976,0.0547293259768078,0,0,0.112763905673542,0,0,0.100342872033804,0.0729566181707764,-0.00000000000000000346944695195361,0.334896023445909,0.153122062398294,0,0,0,0,0,0,0
XLM,0,0,0,0.267637798929642,0,0,0,0.207768949428203,0.204047591062184,0,0,0.158175956791658,0.0568775490640271,0,0,0,-0.0539603752733119,0,0,0
LTC,0,0,0,0.387333012996714,0.139341210948772,0,0,0,0,0.176546586094928,0.0138633870631548,0,-0.00000000000000000173472347597681,0,0,0,0,0,0,0
ADA,0,0,0,0.243602617012501,0,0.247037851819461,0,0,0.101770881032841,0.08828798800946,0.172075882352968,0.0561519429977813,0,0,0.0533047868501431,0,0,0,0,0
XMR,0,0,0,0,0.263072757894104,0,0,0.0387422353267883,0,0.0322874316495616,0.284957248206368,0,0.094575736566152,0.00718189336720456,0,0,0,0,0,0
MIOTA,0.179012442230527,0,0.22339870672278,0,0,0.23575436246717,0,-0.188226620213731,0,0,0,0.164129250353561,0.600979046495449,-0.139129623852146,0.10279175648169,0,-0.203648843614628,0,0,0.0628826899402039
DASH,0,0.278861489929101,0,0,0.0414968276388388,0,0,0.26651584826485,0,0.00886459915463314,0,0.243596754129738,0,0,0.0331158938815226,0,0,0,0,0
TRX,0,0,0,0.0237447606895567,0.0983824905113267,0,0,0.170135248305845,0,0.0429760817843051,0.084460079198969,0,0.290097919678735,0,0.103569843208614,0,0,0,0,0
NEO,0,-0.00000000000000000693889390390723,0,0.328609248420354,0.00301042663610919,0,0,0,0.0834551899470338,0.331432389668537,0.0577822577097305,0.165626390450079,0,0,0.157290083298022,0,0,0,0,0
ETC,0.132132518643965,0.313893138193659,0,0,0,0.140000271815525,0,0,0.061920148840847,0.375421576606221,-0.200581301694593,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0.116087561611057,0.0980177589015396,0.248073964527152,0,0.279444395481833,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0622897762967783,0,-0.0614364427412018,-0.00173218584126025,-0.195101049741094,0.0770428180623987,-0.000000000000000000433680868994202,0,0.035329261416232,0.0337567642484517,0,0.0282069036433451,0,0,-0.0379555283247252,0,0,-0.0442368883392586
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733766847518363,0.205432659412249,0,0,0,0,0.14593655120017
DXY.INDEX,0,0,0,0,0,0,0,0.00680384052716262,0.0140039501509216,-0.0247294132187907,0,0,0,0,0,0,0.0864189264051111,0,0,0
SPX.INDEX,0,0,0,-0.00957844579820589,0.0157887590406482,-0.0198613576637816,0,0.016912352234848,0.00406139532706701,0,0,0,-0.00671369628072361,0.00393650759062993,-0.0210210889112766,0.0604604810723204,0,0,0,-0.0541535176838935
VIX.INDEX,0.854359648221032,0,-0.0286856675878559,0,0,-0.114694927181871,0.113367452525937,0,-0.308182595691063,0,-0.253500320909565,0,0,-0.204542505326167,0.0759292453999464,0,0.396960737462585,0,-0.535341226849967,0
