,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0728942063240115,-0.258612208174678,0,-0.0111734838498834,0,0.355580915003206,0.0166643806580844,0.523446132051321,0,-0.174529926648224,0.0688332697104499,0,0,0,0,0,-0.0256325978612769
XRP,-0.657413757862242,0,0.00124454129689449,-0.100221956318627,0,0,0.153814275529898,0.472698817550204,0,0,0.210796488112394,-0.312780077138559,0.162095514680886,0,0,0,0,0
ETH,0,0.0982958484298892,0,-0.0461945301323944,0,-0.112773710459067,0.286139747196556,-0.158919114160661,0.837982506510597,0.0624659741217149,-0.441195157192645,0.0413615717301813,0,0,0,0,0,0
XEM,0,-0.0850407051044095,0,0,0.0491641976250739,0,0,0.164903140808318,0.285696287656872,-0.132028826376865,0,-0.00785718544103066,0.319802629457677,0,0,0,0,0
LTC,0,0,0,0,0,0,0.212870047084698,0.0690028946601118,0,0.306579072036207,0,0,0,0,0,0,0,0
DASH,-0.0803060947260391,-0.0806388222064736,0,0.119034846622681,0.0481076870248254,0,0.0266106465347929,0,0,-0.055455186827049,0.307734279765102,0.0398401037866046,0.106174124063699,0,0,0,0,-0.17117168982662
ETC,0,-0.0474924547646481,0.366533941821944,0.0518155258227177,0.151870896931334,0,0,0.011009279296326,0,-0.083013204872771,0.207948865633606,0,-0.111166943763892,-0.144961003831382,0,0,0,0.250340266611747
XLM,-0.422031887682938,0.259687688509508,-0.243378783081744,-0.0751799703561179,0,0,0.67931471764675,0,0.519750883298964,0.419044658810911,0.277268700610767,0.196093295335953,-0.0509695333390947,0,0,0,0,-0.0719124177996524
XMR,0.148793653208524,-0.0553897785043124,0.241802970418315,0.0689044098366398,-0.0259464549672128,0,-0.120906479449433,0.132852705058142,0,-0.051023847934704,0.0398032153535696,-0.0712827542245868,0.031911700841415,0,0,0,0,0
DOGE,0,0,0,0,0.280970926964593,0,0,0.246121840118041,0.0753988401892711,0,0.216824941157551,0.0139935089423932,0.137800815274674,0,0,0,0,0.462426901426742
ZEC,-0.0289330045156507,0.0498862241407955,0,0.035233977163909,-0.151494338959732,0.333787985403969,0,-0.0868961488948183,0,0.262556435927018,0,0.0309700274667098,0,0,0,0,0,0
DGB,0,0,0.140250302010142,-0.0911431826924832,-0.221578990296632,-0.0469036797352576,0,0.0411536297605924,0,0,0,0,0.214324713257708,0,0,0,0,-0.0793395330589015
NEO,-0.481920964578868,-0.0786515273793091,0,0,0.033154454477887,-0.148986983787124,0,0.0191338295852231,0,0.0365683536939159,0.469750996742078,0.048229500971136,0,0,0,0,0,0.166149732562715
BV010082.INDEX,0,-0.000756391227649283,0.00525961395290562,0,-0.0204024156519295,-0.0223430967357156,-0.0332018689500315,0.0134003399722579,0,0,0,0.00851682998826435,-0.0255283110521981,0,0,0,0,-0.0665080482689941
CVIX.INDEX,0.068213551777712,0.0354469785496282,-0.0120426830811354,-0.0535602425435834,-0.0235333901305682,-0.0109151155117157,0.0266008455430682,0,0.200781922809265,0,0,0.0346070213081543,0,0,0,0,0,0.172575723577644
DXY.INDEX,0,-0.0026649067911197,0.0168778811791231,-0.00953951452846961,0.00472479252314983,-0.0241919126509092,0.00838532927947196,0.0115839900121862,0,-0.0163465130029281,0,-0.00286116236779217,-0.00191535525026843,0,-0.00490183355986549,0,0,0.012530224106848
SPX.INDEX,0.0055992495281345,-0.000182795729936391,0.00567696053618044,-0.00458140788550049,0,0,0,0.00464592765637678,0,0,-0.00231765688770021,0,0,0,0,0,0,-0.0359339430945215
VIX.INDEX,0,0,-0.179473859042932,-0.0987104124754057,-0.0525485550639863,0.124240934303056,0.0997641035353735,0.0594430961816697,-0.00521902325641046,0.0676523327102851,-0.0545741762656075,0,0,-0.841365105057406,-0.156901214141873,0,0,0
