,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,XEM,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.19142327635882,-0.00000000000000000010842021724855,0,0,0,0.0872143158308997,0.152573201162494,0.0157679453090357,0.0502716020311407,0,0.0736977363251207,0,0,0,0,0,0.0122419054714908
ETH,0,0,0.0838198568199833,0.252488707564446,0.289344329374635,0,0.0689325801980612,0,0,0.038307987076182,0,0.0535552143987812,0,0,0,0,0,0,0,0
XRP,0,0,0,0.192605018389184,0.00656272959544675,0,0,0.261784936783457,0.0284473140919146,0,0,0.0556146155092673,0,0,0.0319445883281708,0,0,0,0,0
BCH,0,0.324892991681486,0,0,0.266326406650145,0,0,0.215909757211997,0.0986567778430204,0,0,0,0.0570402046315655,0.0928209198638345,0.00401830903500442,0,0,0,0,0
LTC,0.0810111047000302,0.2710232468569,0,0.24707006711384,0,0,0.0187912416729316,0.0722897185160025,0,0.133193436281762,0,0.0337153544300906,0,0,0.0171214803980733,0,0,0,0,0
EOS,0,0,0,0,0,0,0,-0.0700320436190586,0,0,0.244197023781318,0,0.164378480912005,0,0.289883987810519,0,0,0,0,-0.10077541837925
ADA,0,0.412091080532104,0,0,0,0.000955277293470669,0,0.10531361974205,0.294758460772046,0.117796958774027,0.082896356126836,0.135947733432741,0,0,0.00000000000000000173472347597681,0,0,0,0,-0.0536978469913176
XLM,0,0,0,0.140330708878366,0,0,0.169835838350663,0,0,0.248786467161998,0.00960887218737547,0.208566943361205,0.171506523547758,0.0353493906405915,0,0,0,0,0,-0.0184837164724081
NEO,0,0.341454728474431,0,0,0,0,0.0506670606643254,0.10054222114827,0,0.063899453312002,0.131184607710485,0,0,0.0291368031371361,0.182298909793826,0,0,0,0,0
MIOTA,0,0,0.295583257855602,0,0,0,0.088472421302011,0,0.282010212300474,0,0,0.0420134888150607,0.163972944446652,0.0809137853612948,0,0,0,0,0,0
XMR,0.529221097995409,0,0,0.00000000000000000010842021724855,0.209424616797774,0,0,0.156642653676976,0.0584112169063805,0.0946126253774403,0,-0.0644840646954186,0,0,0,0,0,0,0,0.0763950942062262
XEM,0,0.135172570458029,0,0,0,-0.0798162388899985,0.276518496874522,0,0.410021862022655,0,0,0,0,0.199017520185779,0,0,0,0,0,-0.0308661168877707
DASH,0.344266104651409,0.123796981990988,0,0.0319873686538736,0.00110671300051432,0,0.0825143451981482,0,0.0683074254807218,0.0740984451802521,0,0.0414280699763025,0,0.0734117844853347,0,0,0,0,0,0.0597176438704704
TRX,0,0,0,0.32628332685594,0,0,0,-0.299695771691544,0,0.324289573917308,0,0.041656411314606,0.455510771532629,0,0.00000000000000000346944695195361,0,0,0,0,0
ETC,0,0,0.0872917683830744,0,0,0.204325309466305,0,0.0839585491270542,0,0.279925570472079,0,0.118992104181479,0,0.0998786380608943,0,0,0,0,0,-0.0276055096072056
BV010082.INDEX,0,0,0,0,0,0.00970469098788632,0,0.0339419192423869,0,0,0,0,0.0811184314371345,-0.0306502514275323,-0.0164360314158302,0,0,0,0,-0.0705756468238149
CVIX.INDEX,0,-0.0113626498578991,0,-0.050642002308832,0,-0.0840620996979869,0.0944561549452156,0.0770127738644861,-0.090336011319689,0,-0.0589318944354202,-0.222581485298585,0.206760726550443,0.0460685288209804,0,0,0,0,0,-0.00341574362419585
DXY.INDEX,0,0,0.0276339936451783,-0.0147623119183688,-0.0169073659985063,-0.00924999230827154,0,-0.0159376630863727,0,0,-0.0187626314326008,-0.00402955520928832,0.0559903747605033,-0.015690405047612,0.00744460221334024,0,0,0,0.0783172503284058,0.0151466529588882
SPX.INDEX,-0.0232930663402623,0,0,0,0,0.0316793977721132,-0.0221409727823653,0,0,0,0,-0.00617444445396265,0,-0.0330947502531683,0.0234434625969948,0,0,0,0,-0.0886590080393157
VIX.INDEX,0,0,0,0,-0.096721773527513,0,0,0,0,-0.161608955095616,0,0,0.129052880237642,0.152017894493361,0,-0.543969599335216,0,0,-3.76244846917176,0
