,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0760654529597134,0,0.117380097273343,0,0,0.0663669454504573,0,0.210233853385792,0,0.023922730746332,0,0,0,0,0,0,0.00177352501807358
ETH,0,0,0.34094163789599,0.00898819741706954,0,0.165175063727819,0.0742596900222989,0.101538191477448,0,0,0.0536018347211576,0,0.060116586351957,0,0.00492933598280082,0,0,0,0,0
XRP,0,0.11320679979383,0,0,0,0.0636330136295664,0.0603965403688794,0.274140729443037,0.0154889742227149,0.132405305217946,0,0,0,0,0.058752004176529,0,0,0,0,0
BCH,0.604381002093297,0,-0.0488242591393855,0,0.302155510252557,0.053211804271863,0,0,0.293043947190517,0,0,0,0,-0.168050726054511,0.00873876853191214,0,-0.0525050040935368,0,0,-0.0356762253383529
LTC,0,0,0,0.229417465899009,0,0.211915397009567,0,0,0.184385914160069,0.0000000000000000000542101086242752,0,0,0.170013339010886,0,0.0593138081820237,0,0,0,0,0
EOS,0,0.276651807859791,0,0.248870910845307,0,0,0,0,0,0.0721232210148469,0,0,0.120011459851712,0,0.0524933172708703,0,0,0,0,0.0229362694242748
BNB,0,0,0,0,0,0,0,0,0.0934998488469829,0,0.487548741469044,0,0.240562011766277,0.0511134642446721,0.0430731360005201,0,0,0,0,-0.0539614920511325
XLM,0,0,0.211101317902381,0.100171437323844,0,0,0,0,0.0707544254195348,0.0984232546331241,0.086615339917193,0,0.0408634455091079,0,0.016411030898483,0,0,0,0,-0.0210447773376285
ADA,0,0,0,0.205470531834821,0.321993444858826,0,0.0218933502539684,0.276218043204069,0,0.0566536763851994,0,0,0.00000000000000000346944695195361,0.021229547486151,0,0,0,0,0,-0.00752508943033556
TRX,0,0.375995827185727,0,0,0,0,0,0.252827704820564,0.0861802011397863,0,0.084396148173321,0.0111759305887114,0.0427005689675556,0.0949128775945615,0.0518925041021218,0,0,0,0,0.145496769185563
XMR,0,0.550242119148939,0,0,0,0,0.123318073889538,0,0,0,0,0.19995664740939,0,0.046530255968356,0.0368212077229699,0,0,0,0,-0.0307049702695996
DASH,0,0.11731161992892,0,0,0,0,0.124639208320801,0,0,0.045881302942551,0.121449182928901,0,0,0.104964263835238,0,0,0,0,0,0
BSV,0,0,-0.270932976854757,0,0.583982709814181,0,0,0,0.00000000000000000693889390390723,0.116833854757533,0,0.172606793202369,0,0.151525902145181,0.0289877298380438,0,0,0,0,0.0702762740135055
MIOTA,0,0,0,0,0,0,0.159294810959861,0.301809251778987,0.0380266856118135,0.0351215261587244,0.15385463847111,0,0.0254826293434998,0,0,0,0,0,0,0
XTZ,0,0,0.177902508119362,-0.208837519005168,0,0.364950737134792,-0.145308227292959,1.07493766952779,0,-0.313494233607938,-0.000000000000000000867361737988404,0,0,0,0,0,-0.321838962174191,0,0,0
BV010082.INDEX,0.0491964677264778,0.222199188657829,0,0.0573826755145736,0.0106678223445685,0.0379495828500286,0.0227667229822467,0.000000000000000000433680868994202,-0.168206913121952,0.0149016936118071,0,-0.149882198161684,0,0,-0.050175123471714,0,0,0,0,-0.0637326614612356
CVIX.INDEX,0,0,0,0,0,-0.0954040192506478,0,0.40018469851802,-0.100496697328924,0,0,0,0,0,-0.258664231722731,0,0,0,0,0.102860675490914
DXY.INDEX,0,0.0252233774815813,0,-0.000000000000000000433680868994202,-0.0218557837903754,0,0.0108861901495229,0.0171213797681311,0,0,0.0197690042485276,0,0,-0.0280544325050602,-0.0040065158046805,0,0,0,0,0.00390011828613427
SPX.INDEX,-0.0183731747641547,0,0,0,0,0,0,0,-0.0269091503245558,0,0,0,0.011070285288231,0,0.00474108212326795,0.0669698432047332,0.00449721658260343,0,0,-0.0649204204624573
VIX.INDEX,-0.206264651107771,0,0.347094174974326,0,0,-0.204574757217248,-0.000479277270003884,-1.15676133282209,-0.0444041391028909,1.12627005164094,0,-0.499096079066566,0.0387641475533356,0,0.104308098099565,-0.286393276002802,0.0366253807656241,0,-1.95695752400368,0
