,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0289912690072992,0.0824752136693187,0,0.192474227887246,0,0.0154895432303837,0.0324910136469175,0.139814248895882,0,0,0,0.0541629746541998,0,0,0,0,0
ETH,0,0,0.0425349566482648,0,0.248975416545659,0,0.15312310421096,0.0194423522422171,0.0821962712726755,0.213841955853252,0,0.0637306631761558,-0.000536776460686981,0,0,0,0,0,0,0.0304569267915803
XRP,-0.17215802703185,0.632390467408586,0,0,0,-0.10946388337533,0,0,0.124786465733583,0,0,0,0.0109088433309761,0,0.0841212192758199,0,0,0,0,-0.154366723845217
BCH,0.164874763051613,0,0,0,0.207385295273577,-0.197430116157072,0.367993380564044,0.221680646963656,-0.204200223688404,0,0,0,0.055742846338772,0.134754366247041,0,0,0,0,0,0
LTC,0,0.151491315962486,0.0969971552419064,-0.156688286484301,0,0,0.197418235059784,0.113279540322312,0,-0.119573430216131,0.727851235753405,-0.0647234229874399,-0.0803876344593298,0,0,0,0,0,0,-0.106421253193235
DASH,0,0,0.0816354821947908,0.175480449757834,0,0,0.26667854087769,0,0.0610914344021728,0,0,0,-0.00704977155500684,0.11550156812369,0,0,0,0,0,0
XEM,0,0.402776231360449,0,0.215934457801529,0.0811834357672691,0.164350639332482,0,0.077984885367838,0,0.119671378826112,0,0,0.0178037000401397,0,0,0,0,0,0,0
NEO,0,0,0.0825683421657604,0.283859303064128,0.059836575205868,0,0.14010430511587,0,0.109781880915841,0,0,0,0.173876008280735,0,0.255926985836386,0,0,0,0,-0.33773839388843
XMR,0,0,0.244578581086746,0,0,0,0.0740114418056583,0.107615446238427,0,0,0.13252851280141,0,0.0262976951876048,0.205734107012988,0,0,0,0,0,0
MIOTA,0,0,0,0,-0.0413431654864428,0,0.0246350826653999,-0.219738201050023,0.0799107487736316,0,0,0,0.0840388258934227,0.503065795489486,0.398659802986615,0,0,0,0,0.12664561036245
ETC,0,0,0.0381541017994227,0,0.556453500585674,0,0.104147467073914,0,0.0683306497220839,0.121770251680982,0,0,0.0370263641428872,0.0279282206739866,0,0,0,0,0,0
ADA,0,0,0.0423056723483256,-0.0015004808075439,0,0,0.0283294542636425,0.0662064577216855,0.119626447576836,0,0,0,-0.11493734496233,0,0,0,0.46665513886895,0,0,0
XLM,0,0,0.0782757908830972,0,0,0,0,0.0193633865368988,0.324190547053154,0.672467645607134,0,0,0,0,-0.0131470657930353,0,0,0,0,0.000000000000000000216840434497101
ZEC,0,0,-0.00685447304948787,0,0,0.295182854616973,0.290814134617763,-0.0514302836799275,0,0.192213229875154,0.0743162691887761,0,0.0429278005702303,0,0.169088538903779,0,0,0,0,0
EOS,0,0.278874770352797,0,0,0.270601878627409,0.0267260200837282,0,0.1987622814219,0.0683955987349538,0,0,0,0.069659311660508,0.130866056650204,0,0,0,0,0,0
BV010082.INDEX,0,0.0151128756074676,0.0274703621205562,-0.0478315354037535,-0.0523060499993024,-0.0159415022766596,0,0.0271531194721747,-0.0212787418674931,0,0.0256223138810208,-0.0065056497660196,0.00676040385330551,0,0.0583871839270819,0,0,0,0,-0.0526240336780304
CVIX.INDEX,0,0,0,0.0881244137936139,0,-0.110540386396555,0.103423435909132,-0.0283111194239149,0.00914888437930876,-0.014121709758974,0,0.00166436174896506,0,-0.0258096853721404,-0.0345062697335111,0,0,0,0,0.0618608472898839
DXY.INDEX,0,0,0,0,0,-0.0268705890361999,0,0.00991300199482366,0.00193953380010184,0.00548885372518457,0,0,0.00267869900542435,0.00581381320915506,0,0,0,0,0,-0.00448998272284339
SPX.INDEX,0,0,0.000681360810819017,0,0.000266614803791617,-0.00173830816138289,0,0,-0.00758751195390823,0,0,-0.000613522793676248,0.000953095058342676,0,0.00599929483572151,0,0,0,0,-0.0380512051486974
VIX.INDEX,0,0.209374201873076,-0.0712386653196692,0,0,-0.340334557633294,0.10735210267653,0,-0.0276230312889878,0.073831489896859,-0.073490040013978,0.111069390598532,0,0.153508690323249,-0.134140855472706,0,0,0,0,0
