,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.123956939568735,0.270081110831753,0,0.37679110604942,0.0925333497190879,0.00696197056011443,0,0,0,0,0
XRP,0.313003983547315,0,0.0644572602970667,0,0.439441918367753,0.0445128226914916,0.105746453878685,-0.118279726501068,-0.221066005159403,0,0,0,0.192683112405162
LTC,0.478221689214761,0,0,0.625650031051822,0,-0.0000000000000000138777878078145,0,0.126870576440489,0,0.416291087101931,0,0,0.0299063171123898
DOGE,0.0164613585921947,0,0.0878458097867385,0,0,0.447050606206988,0.0514890121174384,0.0117131428436931,0,0,0,0,0
XLM,0.719043910853326,0.174674223282749,0,0,0,0,-0.153827680617885,0.0148386762543651,0,-0.162970252089186,0,0,0
DASH,0.920693464562301,0.0763937315348787,0.0227220207284907,0,-0.00693876197802701,0,0,0.0703841316302034,0,0,0,0,0.0862181641424444
XMR,1.0464284504416,-0.0987158841599368,0.00000000000000000693889390390723,0,0,0,0,0.0769232288689732,0,0,0,0,-0.16022922656713
DGB,0.242684584068365,0,-0.00000000000000000693889390390723,0.377404641484838,0.146403942186451,0.137433186747366,0,0,0,0,0,0,-0.13180030366095
BV010082.INDEX,0,0,0.0312572440637171,-0.0728439759044103,0.0240931900209677,0,0,0,0,-0.0364503043375642,0,0,-0.0420758591117346
CVIX.INDEX,0.279418802733088,-0.0744346590671083,0.0607804088265963,-0.12697421547049,0.0789697607245893,-0.102391913937468,0,0.0332471798928979,-0.180911481214969,0,0,0,0.0218039092262034
DXY.INDEX,0.020047746910156,-0.0106488045889488,0.00591771985220131,0,0,0,0,-0.00716469623100289,0,0,0,0,-0.0084275172792859
SPX.INDEX,0,-0.0376254722120051,0,0.0465142710243633,0.00965582254315555,0.00709109479806599,-0.0263478943431362,-0.011958552125819,0,0,0,0,-0.103162828034399
VIX.INDEX,0.327762701064647,0,0.0926704411113025,0,-0.129687037645217,0.0380031358172609,-0.273601138776514,-0.0311384527068285,0,0,0,-5.27351433650299,0
